dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
3,0,bc,1.0,-3.312985897064209,0.1034,0.0161,3.5570459365844727
3,0,forward_kl,1.0,-0.05807746574282646,0.0,0.4798,-1.8754396438598633
3,0,wasserstein,0.03,-0.11260449141263962,0.0,0.2319,0.486912339925766
3,0,partial_ot,0.03,-0.10996074229478836,0.0,0.2439,0.1219586580991745
3,0,unbalanced_ot,0.03,-0.1107432097196579,0.0,0.2461,0.24869969487190247
3,0,wasserstein,0.05,-0.11629686504602432,0.0,0.2289,0.5816883444786072
3,0,partial_ot,0.05,-0.11080361157655716,0.0,0.2378,0.11897508800029755
3,0,unbalanced_ot,0.05,-0.11181040108203888,0.0,0.2332,0.3139100968837738
3,0,wasserstein,0.1,-0.119671531021595,0.0,0.2253,1.356009840965271
3,0,partial_ot,0.1,-0.11134406924247742,0.0,0.2356,0.1157885268330574
3,0,unbalanced_ot,0.1,-0.11219602078199387,0.0,0.2357,0.5273248553276062
3,0,wasserstein,0.3,-0.30742335319519043,0.0,0.0998,3.5895836353302
3,0,partial_ot,0.3,-0.11169374734163284,0.0,0.2341,0.0962580144405365
3,0,unbalanced_ot,0.3,-0.11516601592302322,0.0,0.229,1.3605091571807861
3,0,wasserstein,1.0,-1.5750612020492554,0.0179,0.0404,10.086180686950684
3,0,partial_ot,1.0,-0.11219363659620285,0.0,0.2344,0.11838383972644806
3,0,unbalanced_ot,1.0,-0.8127713203430176,0.0011,0.0611,6.848493576049805
3,1,bc,1.0,-3.4131906032562256,0.1091,0.0161,3.6162657737731934
3,1,forward_kl,1.0,-0.06050223484635353,0.0,0.4667,-1.6735203266143799
3,1,wasserstein,0.03,-0.11422490328550339,0.0,0.2281,0.4799397885799408
3,1,partial_ot,0.03,-0.11188048124313354,0.0,0.2294,0.11164052039384842
3,1,unbalanced_ot,0.03,-0.11404021084308624,0.0,0.2326,0.247525155544281
3,1,wasserstein,0.05,-0.11388242244720459,0.0,0.2377,0.8544728755950928
3,1,partial_ot,0.05,-0.10943487286567688,0.0,0.2484,0.11678079515695572
3,1,unbalanced_ot,0.05,-0.11141174286603928,0.0,0.2382,0.26373302936553955
3,1,wasserstein,0.1,-0.1222512423992157,0.0,0.2143,1.5056594610214233
3,1,partial_ot,0.1,-0.11154480278491974,0.0,0.2378,0.10931072384119034
3,1,unbalanced_ot,0.1,-0.11438388377428055,0.0,0.2287,0.5097681879997253
3,1,wasserstein,0.3,-0.2942955195903778,0.0,0.1009,3.750476121902466
3,1,partial_ot,0.3,-0.11174208670854568,0.0,0.2382,0.1284351944923401
3,1,unbalanced_ot,0.3,-0.11630145460367203,0.0,0.2318,1.2405880689620972
3,1,wasserstein,1.0,-1.5658513307571411,0.0162,0.0419,10.566514015197754
3,1,partial_ot,1.0,-0.11344951391220093,0.0,0.2303,0.11890514194965363
3,1,unbalanced_ot,1.0,-0.7678521275520325,0.0003,0.0633,5.856619358062744
3,2,bc,1.0,-3.42922306060791,0.109,0.0152,3.699411630630493
3,2,forward_kl,1.0,-0.05898602306842804,0.0,0.477,-2.1026604175567627
3,2,wasserstein,0.03,-0.114655502140522,0.0,0.2302,0.42122024297714233
3,2,partial_ot,0.03,-0.10943416506052017,0.0,0.2452,0.11974692344665527
3,2,unbalanced_ot,0.03,-0.11007843166589737,0.0,0.2404,0.22366249561309814
3,2,wasserstein,0.05,-0.11364784091711044,0.0,0.239,0.7299638390541077
3,2,partial_ot,0.05,-0.11055736988782883,0.0,0.2409,0.11270719766616821
3,2,unbalanced_ot,0.05,-0.11110073328018188,0.0,0.2379,0.3176306486129761
3,2,wasserstein,0.1,-0.1241934597492218,0.0,0.2158,1.3310704231262207
3,2,partial_ot,0.1,-0.11237968504428864,0.0,0.2381,0.11483930796384811
3,2,unbalanced_ot,0.1,-0.11110401898622513,0.0,0.2321,0.4692997336387634
3,2,wasserstein,0.3,-0.30809152126312256,0.0,0.1022,3.6856751441955566
3,2,partial_ot,0.3,-0.11024748533964157,0.0,0.2487,0.11357416212558746
3,2,unbalanced_ot,0.3,-0.11520330607891083,0.0,0.2333,1.4486802816390991
3,2,wasserstein,1.0,-1.5825228691101074,0.017,0.0385,9.358012199401855
3,2,partial_ot,1.0,-0.11388517916202545,0.0,0.2307,0.11997418105602264
3,2,unbalanced_ot,1.0,-0.7731451988220215,0.0007,0.06,5.821216106414795
4,0,bc,1.0,-3.3379273414611816,0.0996,0.0098,3.6579055786132812
4,0,forward_kl,1.0,-0.06417298316955566,0.0,0.5356,-2.4961113929748535
4,0,wasserstein,0.03,-0.14934565126895905,0.0,0.1792,0.5254120826721191
4,0,partial_ot,0.03,-0.14846110343933105,0.0,0.187,0.1532483845949173
4,0,unbalanced_ot,0.03,-0.14770512282848358,0.0,0.1893,0.27727019786834717
4,0,wasserstein,0.05,-0.1515696793794632,0.0,0.1741,0.6680194139480591
4,0,partial_ot,0.05,-0.148732990026474,0.0,0.1819,0.14371265470981598
4,0,unbalanced_ot,0.05,-0.1474597305059433,0.0,0.1788,0.35437631607055664
4,0,wasserstein,0.1,-0.15486730635166168,0.0,0.1785,1.2854465246200562
4,0,partial_ot,0.1,-0.14612163603305817,0.0,0.1873,0.1362552046775818
4,0,unbalanced_ot,0.1,-0.14954496920108795,0.0,0.183,0.6327308416366577
4,0,wasserstein,0.3,-0.33380675315856934,0.0,0.0856,3.8953728675842285
4,0,partial_ot,0.3,-0.14568689465522766,0.0,0.1891,0.15098240971565247
4,0,unbalanced_ot,0.3,-0.15155890583992004,0.0,0.1791,1.5424673557281494
4,0,wasserstein,1.0,-1.605583667755127,0.0179,0.033,10.308576583862305
