modality,q_quality,dim,forward_kl_mean_reward,best_wasserstein_reward,best_partial_reward,best_unbalanced_reward,best_ot_minus_kl,all_ot_beat_kl
low,clean,3,-0.2706582099199295,-0.3577001690864563,-0.3563339114189148,-0.3585028201341629,-0.08567570149898529,0
low,clean,4,-0.35625387728214264,-0.4800184816122055,-0.4761534631252289,-0.48048536479473114,-0.11989958584308624,0
low,clean,5,-0.44288042187690735,-0.6003129184246063,-0.5970572829246521,-0.5977609157562256,-0.15417686104774475,0
low,clean,8,-0.70730921626091,-0.9598919451236725,-0.952046275138855,-0.9567629098892212,-0.24473705887794495,0
low,mid,3,-0.3521205484867096,-0.3611258417367935,-0.35588936507701874,-0.357286736369133,-0.003768816590309143,0
low,mid,4,-0.4236387312412262,-0.48147109150886536,-0.4775895029306412,-0.47718101739883423,-0.05354228615760803,0
low,mid,5,-0.5527169406414032,-0.6016813516616821,-0.5958806574344635,-0.596633791923523,-0.0431637167930603,0
low,mid,8,-0.7523773312568665,-0.9539176821708679,-0.9497524797916412,-0.9557453989982605,-0.19737514853477478,0
low,noisy,3,-0.5900129973888397,-0.3606474697589874,-0.35835157334804535,-0.35897955298423767,0.23166142404079437,1
low,noisy,4,-0.6462414264678955,-0.4800846725702286,-0.47798432409763336,-0.47625261545181274,0.16998881101608276,1
low,noisy,5,-0.7100189030170441,-0.6003832221031189,-0.5952616631984711,-0.5975124537944794,0.114757239818573,1
low,noisy,8,-1.0733027458190918,-0.9525448679924011,-0.950226217508316,-0.9554380774497986,0.12307652831077576,1
mid,clean,3,-0.2687535434961319,-0.36013248562812805,-0.3563528507947922,-0.35881973803043365,-0.08759930729866028,0
mid,clean,4,-0.3536897152662277,-0.48124486207962036,-0.4762113690376282,-0.48083826899528503,-0.12252165377140045,0
mid,clean,5,-0.43992777168750763,-0.601530909538269,-0.597351610660553,-0.5983423590660095,-0.15742383897304535,0
mid,clean,8,-0.7018693387508392,-0.962719053030014,-0.9544135332107544,-0.962100476026535,-0.25254419445991516,0
mid,mid,3,-0.4005427360534668,-0.36313289403915405,-0.3558875024318695,-0.3602689653635025,0.04465523362159729,1
mid,mid,4,-0.4712335914373398,-0.48272232711315155,-0.4778231382369995,-0.47770002484321594,-0.00646643340587616,0
mid,mid,5,-0.5881028473377228,-0.6037134230136871,-0.5959462821483612,-0.597185343503952,-0.007843434810638428,0
mid,mid,8,-0.8852565288543701,-0.9598610699176788,-0.9536671936511993,-0.9622308015823364,-0.06841066479682922,0
mid,noisy,3,-0.6462299525737762,-0.3619415611028671,-0.35840532183647156,-0.3600546419620514,0.2878246307373047,1
mid,noisy,4,-0.6109085977077484,-0.4812947064638138,-0.47800783812999725,-0.47713227570056915,0.13377632200717926,1
mid,noisy,5,-0.7929350137710571,-0.6017285883426666,-0.595531553030014,-0.5980738401412964,0.1974034607410431,1
mid,noisy,8,-1.1317184567451477,-0.9579433798789978,-0.9521055221557617,-0.9600030481815338,0.179612934589386,1
high,clean,3,-0.26572972536087036,-0.3621295392513275,-0.35728617012500763,-0.35901185870170593,-0.09155644476413727,0
high,clean,4,-0.3500203639268875,-0.4822913259267807,-0.47789596021175385,-0.4811348170042038,-0.12787559628486633,0
high,clean,5,-0.43575480580329895,-0.6026682555675507,-0.6005441248416901,-0.5987849235534668,-0.16303011775016785,0
high,clean,8,-0.696083664894104,-0.9646984934806824,-0.9553716778755188,-0.9623742401599884,-0.2592880129814148,0
high,mid,3,-0.5378139019012451,-0.3641144633293152,-0.3577580899000168,-0.3604665547609329,0.18005581200122833,1
high,mid,4,-0.5505582392215729,-0.483669176697731,-0.47994545102119446,-0.47817011177539825,0.07238812744617462,1
high,mid,5,-0.6490187644958496,-0.6047410368919373,-0.5968471467494965,-0.5976027846336365,0.05217161774635315,1
high,mid,8,-0.8581390678882599,-0.9642630815505981,-0.9555813074111938,-0.962589293718338,-0.09744223952293396,0
high,noisy,3,-0.6474843323230743,-0.3629029393196106,-0.36140555143356323,-0.3610197454690933,0.286464586853981,1
high,noisy,4,-0.7415845990180969,-0.4823068082332611,-0.47863490879535675,-0.4775891602039337,0.2639954388141632,1
high,noisy,5,-0.8494608402252197,-0.6026700735092163,-0.5974384248256683,-0.5984845757484436,0.2520224153995514,1
high,noisy,8,-1.2203845977783203,-0.9651841819286346,-0.9576583802700043,-0.9602622091770172,0.26272621750831604,1
