dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
3,bc,1.0,2,-1.2742608189582825,0.014516055583953857,0.0005,9.999999999999996e-05,0.012199999999999999,0.0007999999999999995
3,forward_kl,1.0,2,-0.26572972536087036,0.00014403462409973145,0.0,0.0,0.0421,0.0011000000000000003
3,partial_ot,0.03,2,-0.36104895174503326,0.003853932023048401,0.0,0.0,0.0271,0.0008999999999999998
3,partial_ot,0.05,2,-0.35728617012500763,0.0034428685903549194,0.0,0.0,0.0268,0.0006999999999999992
3,partial_ot,0.1,2,-0.3585548847913742,0.005419477820396423,0.0,0.0,0.0276,0.0005999999999999998
3,partial_ot,0.3,2,-0.36279870569705963,0.0009141415357589722,0.0,0.0,0.02635,0.0006499999999999995
3,partial_ot,1.0,2,-0.4151661992073059,0.003165602684020996,0.0,0.0,0.0218,0.0005000000000000004
3,unbalanced_ot,0.03,2,-0.35901185870170593,0.0036388635635375977,0.0,0.0,0.028650000000000002,0.00045000000000000075
3,unbalanced_ot,0.05,2,-0.36394689977169037,0.003351643681526184,0.0,0.0,0.02815,0.0006499999999999995
3,unbalanced_ot,0.1,2,-0.36590565741062164,0.003005966544151306,0.0,0.0,0.0266,0.0002999999999999999
3,unbalanced_ot,0.3,2,-0.38422904908657074,0.004030361771583557,0.0,0.0,0.024149999999999998,0.00115
3,unbalanced_ot,1.0,2,-1.7797288298606873,0.02363210916519165,0.00465,0.0005499999999999997,0.00825,4.99999999999997e-05
3,wasserstein,0.03,2,-0.36330048739910126,0.00014488399028778076,0.0,0.0,0.0284,0.0006000000000000016
3,wasserstein,0.05,2,-0.3621295392513275,0.00024643540382385254,0.0,0.0,0.027049999999999998,0.00045000000000000075
3,wasserstein,0.1,2,-0.37301962077617645,8.001923561096191e-06,0.0,0.0,0.0277,0.0005000000000000004
3,wasserstein,0.3,2,-0.8622741401195526,0.02233251929283142,0.0,0.0,0.0133,0.00010000000000000026
3,wasserstein,1.0,2,-1.8648054003715515,0.023681938648223877,0.006200000000000001,0.0009000000000000002,0.0079,0.00030000000000000035
4,bc,1.0,2,-1.356301486492157,0.013935267925262451,0.00065,0.00015000000000000001,0.00465,0.0004500000000000003
4,forward_kl,1.0,2,-0.3500203639268875,0.0004511326551437378,0.0,0.0,0.0195,0.00040000000000000105
4,partial_ot,0.03,2,-0.47789596021175385,0.0027423352003097534,0.0,0.0,0.0108,0.0008999999999999998
4,partial_ot,0.05,2,-0.480643555521965,0.004986807703971863,0.0,0.0,0.0093,0.0
4,partial_ot,0.1,2,-0.4779813438653946,0.0014987736940383911,0.0,0.0,0.0111,0.0008999999999999998
4,partial_ot,0.3,2,-0.4862998127937317,0.0020367205142974854,0.0,0.0,0.0106,0.0005999999999999998
4,partial_ot,1.0,2,-0.5337532460689545,0.000660330057144165,0.0,0.0,0.0091,0.0
4,unbalanced_ot,0.03,2,-0.4811348170042038,0.0010200589895248413,0.0,0.0,0.0103,0.0005999999999999998
4,unbalanced_ot,0.05,2,-0.48214447498321533,0.0024664998054504395,0.0,0.0,0.01115,0.0008500000000000001
4,unbalanced_ot,0.1,2,-0.4832862466573715,0.006704315543174744,0.0,0.0,0.0107,0.0014000000000000002
4,unbalanced_ot,0.3,2,-0.5028281807899475,0.002179861068725586,0.0,0.0,0.00975,4.99999999999997e-05
4,unbalanced_ot,1.0,2,-1.960574984550476,0.010004520416259766,0.0057,0.0002000000000000001,0.0032,0.0005
4,wasserstein,0.03,2,-0.4822913259267807,0.005898311734199524,0.0,0.0,0.0109,0.0003999999999999993
4,wasserstein,0.05,2,-0.4861675798892975,0.0008441805839538574,0.0,0.0,0.010249999999999999,0.0004499999999999999
4,wasserstein,0.1,2,-0.49547484517097473,0.004772692918777466,0.0,0.0,0.00995,0.0006500000000000004
4,wasserstein,0.3,2,-0.9753023386001587,0.005733013153076172,0.0,0.0,0.00465,0.0009499999999999999
4,wasserstein,1.0,2,-1.9767040014266968,0.01611769199371338,0.00625,0.00014999999999999996,0.0020499999999999997,4.999999999999992e-05
5,bc,1.0,2,-1.4739124178886414,0.0038837790489196777,0.0007,0.0,0.0023499999999999997,0.00025
5,forward_kl,1.0,2,-0.43575480580329895,0.0015231668949127197,0.0,0.0,0.00865,0.0010500000000000002
5,partial_ot,0.03,2,-0.6005441248416901,0.00389668345451355,0.0,0.0,0.0039,0.0005000000000000002
5,partial_ot,0.05,2,-0.6007792949676514,0.0027101635932922363,0.0,0.0,0.00405,5.000000000000013e-05
5,partial_ot,0.1,2,-0.6046851277351379,0.00037860870361328125,0.0,0.0,0.00385,0.00014999999999999996
5,partial_ot,0.3,2,-0.6039173305034637,0.0009274184703826904,0.0,0.0,0.00365,5.000000000000013e-05
5,partial_ot,1.0,2,-0.6593336760997772,0.0010443627834320068,0.0,0.0,0.00275,0.00014999999999999996
5,unbalanced_ot,0.03,2,-0.6024702489376068,0.002342313528060913,0.0,0.0,0.0034,0.0
5,unbalanced_ot,0.05,2,-0.5987849235534668,0.00011527538299560547,0.0,0.0,0.0040999999999999995,0.00039999999999999975
5,unbalanced_ot,0.1,2,-0.6013717353343964,0.002344757318496704,0.0,0.0,0.00415,0.00034999999999999983
5,unbalanced_ot,0.3,2,-0.625365674495697,0.00131988525390625,0.0,0.0,0.0035,0.0006000000000000003
5,unbalanced_ot,1.0,2,-2.030339539051056,0.03149145841598511,0.004699999999999999,0.0002000000000000001,0.0013,0.00019999999999999998
5,wasserstein,0.03,2,-0.6026682555675507,0.0019615590572357178,0.0,0.0,0.00485,0.00035000000000000005
