dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
3,0,bc,1.0,-1.2597447633743286,0.0004,0.013,12.18188190460205
3,0,forward_kl,1.0,-0.5568007826805115,0.0,0.0187,0.08931571245193481
3,0,wasserstein,0.03,-0.37130340933799744,0.0,0.0277,1.2052099704742432
3,0,partial_ot,0.03,-0.3595152795314789,0.0,0.0268,0.7916033864021301
3,0,unbalanced_ot,0.03,-0.3594326078891754,0.0,0.0299,0.5079881548881531
3,0,wasserstein,0.05,-0.36387771368026733,0.0,0.0278,1.6759320497512817
3,0,partial_ot,0.05,-0.35439759492874146,0.0,0.0272,0.4448719322681427
3,0,unbalanced_ot,0.05,-0.3637178838253021,0.0,0.0268,0.7586228847503662
3,0,wasserstein,0.1,-0.3687812387943268,0.0,0.0269,3.0338282585144043
3,0,partial_ot,0.1,-0.3537205457687378,0.0,0.0271,0.19529521465301514
3,0,unbalanced_ot,0.1,-0.36810776591300964,0.0,0.0242,0.8899568319320679
3,0,wasserstein,0.3,-0.8430123329162598,0.0,0.0111,7.837749004364014
3,0,partial_ot,0.3,-0.3681814670562744,0.0,0.0293,0.44321882724761963
3,0,unbalanced_ot,0.3,-0.37860792875289917,0.0,0.0241,2.913196086883545
3,0,wasserstein,1.0,-1.814834713935852,0.0051,0.0075,18.82453727722168
3,0,partial_ot,1.0,-0.41639238595962524,0.0,0.0253,0.17871719598770142
3,0,unbalanced_ot,1.0,-1.8902899026870728,0.0057,0.0085,15.010727882385254
3,1,bc,1.0,-1.2887768745422363,0.0006,0.0114,13.63991641998291
3,1,forward_kl,1.0,-0.5188270211219788,0.0,0.0183,1.9718077182769775
3,1,wasserstein,0.03,-0.35692551732063293,0.0,0.0272,1.0714682340621948
3,1,partial_ot,0.03,-0.35705578327178955,0.0,0.0261,-0.060363754630088806
3,1,unbalanced_ot,0.03,-0.36150050163269043,0.0,0.0277,0.46577614545822144
3,1,wasserstein,0.05,-0.3667830228805542,0.0,0.0254,1.57854425907135
3,1,partial_ot,0.05,-0.36576157808303833,0.0,0.0273,0.6832758784294128
3,1,unbalanced_ot,0.05,-0.3628840744495392,0.0,0.0269,0.7303845882415771
3,1,wasserstein,0.1,-0.3827068507671356,0.0,0.0257,2.765953779220581
3,1,partial_ot,0.1,-0.3617956340312958,0.0,0.0284,0.595569372177124
3,1,unbalanced_ot,0.1,-0.3589531183242798,0.0,0.0259,1.6473222970962524
3,1,wasserstein,0.3,-0.864061713218689,0.0,0.0119,6.680976390838623
3,1,partial_ot,0.3,-0.36256393790245056,0.0,0.025,0.8401974439620972
3,1,unbalanced_ot,0.3,-0.3772607147693634,0.0,0.0268,3.6357970237731934
3,1,wasserstein,1.0,-1.8807495832443237,0.0063,0.0078,19.650083541870117
3,1,partial_ot,1.0,-0.41911593079566956,0.0,0.0251,0.6808403134346008
3,1,unbalanced_ot,1.0,-1.7937324047088623,0.0056,0.0078,13.103628158569336
4,0,bc,1.0,-1.3423662185668945,0.0005,0.0051,12.108499526977539
4,0,forward_kl,1.0,-0.585074782371521,0.0,0.0089,-0.2688940465450287
4,0,wasserstein,0.03,-0.481784850358963,0.0,0.0129,1.5918166637420654
4,0,partial_ot,0.03,-0.48512446880340576,0.0,0.0095,0.46248921751976013
4,0,unbalanced_ot,0.03,-0.482074111700058,0.0,0.0091,0.8891714811325073
4,0,wasserstein,0.05,-0.4900071918964386,0.0,0.0098,1.6266372203826904
4,0,partial_ot,0.05,-0.4756651818752289,0.0,0.009,0.3563160300254822
4,0,unbalanced_ot,0.05,-0.4786956012248993,0.0,0.012,0.957926869392395
4,0,wasserstein,0.1,-0.4973939061164856,0.0,0.0101,3.2799949645996094
4,0,partial_ot,0.1,-0.48238104581832886,0.0,0.008,1.0201548337936401
4,0,unbalanced_ot,0.1,-0.48633691668510437,0.0,0.0112,1.39651358127594
4,0,wasserstein,0.3,-0.9593654274940491,0.0,0.0063,8.082171440124512
4,0,partial_ot,0.3,-0.48242393136024475,0.0,0.0108,0.7261022925376892
4,0,unbalanced_ot,0.3,-0.5061861276626587,0.0,0.0111,3.6428632736206055
4,0,wasserstein,1.0,-1.935671329498291,0.0047,0.0032,19.641843795776367
4,0,partial_ot,1.0,-0.5372865796089172,0.0,0.0087,0.5431508421897888
4,0,unbalanced_ot,1.0,-1.9189790487289429,0.0056,0.0035,13.473153114318848
4,1,bc,1.0,-1.3702367544174194,0.0008,0.0042,13.835709571838379
4,1,forward_kl,1.0,-0.5160416960716248,0.0,0.0114,-0.4493594467639923
4,1,wasserstein,0.03,-0.485553503036499,0.0,0.0111,0.904881477355957
4,1,partial_ot,0.03,-0.47831982374191284,0.0,0.0112,0.533936083316803
4,1,unbalanced_ot,0.03,-0.4831072688102722,0.0,0.0097,0.6183791160583496
4,1,wasserstein,0.05,-0.48355042934417725,0.0,0.0112,1.399985671043396
4,1,partial_ot,0.05,-0.48422572016716003,0.0,0.011,0.3889041543006897
4,1,unbalanced_ot,0.05,-0.4776446223258972,0.0,0.0105,0.7054726481437683
4,1,wasserstein,0.1,-0.49452143907546997,0.0,0.012,3.3036129474639893
4,1,partial_ot,0.1,-0.4813300371170044,0.0,0.0108,0.45152342319488525
4,1,unbalanced_ot,0.1,-0.47608187794685364,0.0,0.0136,1.2599115371704102
4,1,wasserstein,0.3,-0.9671595692634583,0.0,0.0038,7.193256855010986
4,1,partial_ot,0.3,-0.48687222599983215,0.0,0.0113,1.052996277809143
4,1,unbalanced_ot,0.3,-0.504387617111206,0.0,0.0096,3.2342772483825684
4,1,wasserstein,1.0,-1.9680771827697754,0.0061,0.0028,19.447818756103516
4,1,partial_ot,1.0,-0.5266813635826111,0.0,0.0097,1.0048047304153442
4,1,unbalanced_ot,1.0,-1.9873839616775513,0.0074,0.0025,12.975208282470703
5,0,bc,1.0,-1.477796196937561,0.0007,0.0021,12.149256706237793
5,0,forward_kl,1.0,-0.6166045069694519,0.0,0.0038,-0.7747456431388855
5,0,wasserstein,0.03,-0.6028802394866943,0.0,0.0041,1.2240378856658936
5,0,partial_ot,0.03,-0.599694550037384,0.0,0.0031,0.46886035799980164
5,0,unbalanced_ot,0.03,-0.6041184663772583,0.0,0.0039,0.9834762811660767
5,0,wasserstein,0.05,-0.6143198013305664,0.0,0.0043,2.5036845207214355
5,0,partial_ot,0.05,-0.5980714559555054,0.0,0.0047,0.2959343194961548
5,0,unbalanced_ot,0.05,-0.5945088863372803,0.0,0.005,1.3551256656646729
5,0,wasserstein,0.1,-0.6174114942550659,0.0,0.0043,2.7071404457092285
5,0,partial_ot,0.1,-0.5982171893119812,0.0,0.0021,0.8634612560272217
5,0,unbalanced_ot,0.1,-0.5936773419380188,0.0,0.0046,1.5137343406677246
5,0,wasserstein,0.3,-1.1040655374526978,0.0,0.0017,7.344685077667236
5,0,partial_ot,0.3,-0.6016650199890137,0.0,0.0039,0.7277086973190308
5,0,unbalanced_ot,0.3,-0.623896062374115,0.0,0.003,3.5277233123779297
5,0,wasserstein,1.0,-2.043180465698242,0.0048,0.0012,19.71648406982422
5,0,partial_ot,1.0,-0.652736485004425,0.0,0.0029,1.0388754606246948
5,0,unbalanced_ot,1.0,-2.0680131912231445,0.0056,0.0013,12.038708686828613
5,1,bc,1.0,-1.4700286388397217,0.0007,0.0026,13.647773742675781
5,1,forward_kl,1.0,-0.6814330220222473,0.0,0.0035,0.5326815247535706
5,1,wasserstein,0.03,-0.6066018342971802,0.0,0.0045,1.2492272853851318
5,1,partial_ot,0.03,-0.599750280380249,0.0,0.0036,0.5733051300048828
5,1,unbalanced_ot,0.03,-0.6066968441009521,0.0,0.0042,0.7671034336090088
5,1,wasserstein,0.05,-0.5977405905723572,0.0,0.0045,2.1773550510406494
5,1,partial_ot,0.05,-0.5956228375434875,0.0,0.0039,0.3828018009662628
5,1,unbalanced_ot,0.05,-0.6006966829299927,0.0,0.0049,1.1661765575408936
5,1,wasserstein,0.1,-0.6177926063537598,0.0,0.0043,2.9504480361938477
5,1,partial_ot,0.1,-0.6123351454734802,0.0,0.0039,0.5781899690628052
5,1,unbalanced_ot,0.1,-0.6058828234672546,0.0,0.0046,1.5174949169158936
5,1,wasserstein,0.3,-1.122070074081421,0.0,0.0013,8.10515308380127
5,1,partial_ot,0.3,-0.6089542508125305,0.0,0.0036,0.502901017665863
5,1,unbalanced_ot,0.3,-0.6212398409843445,0.0,0.0034,3.5807766914367676
5,1,wasserstein,1.0,-2.0702590942382812,0.006,0.0019,20.215442657470703
5,1,partial_ot,1.0,-0.6567119359970093,0.0,0.0035,1.103366732597351
5,1,unbalanced_ot,1.0,-2.011237859725952,0.0056,0.0012,12.791973114013672
8,0,bc,1.0,-1.741037130355835,0.0006,0.0,12.103049278259277
8,0,forward_kl,1.0,-0.8579486608505249,0.0,0.0006,-1.4926550388336182
8,0,wasserstein,0.03,-0.9645845890045166,0.0,0.0004,1.8726458549499512
8,0,partial_ot,0.03,-0.9544646739959717,0.0,0.0006,0.9854034185409546
8,0,unbalanced_ot,0.03,-0.9543706774711609,0.0,0.0005,1.7272937297821045
8,0,wasserstein,0.05,-0.9655636548995972,0.0,0.0003,2.556884288787842
8,0,partial_ot,0.05,-0.9587545990943909,0.0,0.0005,0.8852764964103699
8,0,unbalanced_ot,0.05,-0.9697720408439636,0.0,0.0006,1.469911813735962
8,0,wasserstein,0.1,-0.9630951285362244,0.0,0.0,3.605936050415039
8,0,partial_ot,0.1,-0.9579521417617798,0.0,0.0004,1.1363080739974976
8,0,unbalanced_ot,0.1,-0.9669767618179321,0.0,0.0004,1.8914735317230225
8,0,wasserstein,0.3,-1.4541569948196411,0.0,0.0001,7.998244762420654
8,0,partial_ot,0.3,-0.9655818343162537,0.0,0.0006,1.5783331394195557
8,0,unbalanced_ot,0.3,-0.977385938167572,0.0,0.0001,3.886021137237549
8,0,wasserstein,1.0,-2.432492256164551,0.0059,0.0002,22.337373733520508
8,0,partial_ot,1.0,-1.007629156112671,0.0,0.0003,1.1666492223739624
8,0,unbalanced_ot,1.0,-2.4034862518310547,0.0055,0.0001,15.189634323120117
8,1,bc,1.0,-1.7588021755218506,0.0009,0.0005,13.590669631958008
8,1,forward_kl,1.0,-0.8583294749259949,0.0,0.0005,-0.12071820348501205
8,1,wasserstein,0.03,-0.969350278377533,0.0,0.0004,1.9712300300598145
8,1,partial_ot,0.03,-0.9596400260925293,0.0,0.0003,0.9574400782585144
8,1,unbalanced_ot,0.03,-0.9708079099655151,0.0,0.0001,1.2291431427001953
8,1,wasserstein,0.05,-0.9629625082015991,0.0,0.0003,2.154491424560547
8,1,partial_ot,0.05,-0.9524080157279968,0.0,0.0005,1.0350942611694336
8,1,unbalanced_ot,0.05,-0.9626336693763733,0.0,0.0003,1.343338966369629
8,1,wasserstein,0.1,-0.9717560410499573,0.0,0.0002,2.9475066661834717
8,1,partial_ot,0.1,-0.9607341885566711,0.0,0.0001,1.495204210281372
8,1,unbalanced_ot,0.1,-0.966223418712616,0.0,0.0002,1.8198707103729248
8,1,wasserstein,0.3,-1.4354093074798584,0.0,0.0001,8.018672943115234
8,1,partial_ot,0.3,-0.9679906964302063,0.0,0.0004,0.893146812915802
8,1,unbalanced_ot,0.3,-0.9782121181488037,0.0,0.0002,3.9796547889709473
8,1,wasserstein,1.0,-2.508711338043213,0.0059,0.0,20.081523895263672
8,1,partial_ot,1.0,-1.0084397792816162,0.0,0.0003,3.6945269107818604
8,1,unbalanced_ot,1.0,-2.4535043239593506,0.0063,0.0,12.54627513885498
