dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
3,0,bc,1.0,-1.2597447633743286,0.0004,0.013,12.18188190460205
3,0,forward_kl,1.0,-0.6491144299507141,0.0,0.0145,0.2351229339838028
3,0,wasserstein,0.03,-0.362235963344574,0.0,0.0286,2.0265934467315674
3,0,partial_ot,0.03,-0.3658318817615509,0.0,0.0238,0.39389142394065857
3,0,unbalanced_ot,0.03,-0.3622366487979889,0.0,0.0278,1.017677903175354
3,0,wasserstein,0.05,-0.36951136589050293,0.0,0.0272,1.6906909942626953
3,0,partial_ot,0.05,-0.35942426323890686,0.0,0.0269,0.07310255616903305
3,0,unbalanced_ot,0.05,-0.3604542016983032,0.0,0.0275,1.055148720741272
3,0,wasserstein,0.1,-0.3798758089542389,0.0,0.0273,3.1844756603240967
3,0,partial_ot,0.1,-0.3636171519756317,0.0,0.0256,1.5813511610031128
3,0,unbalanced_ot,0.1,-0.36363720893859863,0.0,0.0275,1.3543682098388672
3,0,wasserstein,0.3,-0.8461135029792786,0.0,0.0126,7.43273401260376
3,0,partial_ot,0.3,-0.3619483709335327,0.0,0.0289,0.8736355304718018
3,0,unbalanced_ot,0.3,-0.3815380334854126,0.0,0.0243,3.3125317096710205
3,0,wasserstein,1.0,-1.8604187965393066,0.0062,0.0071,18.907901763916016
3,0,partial_ot,1.0,-0.4190267026424408,0.0,0.022,0.49124330282211304
3,0,unbalanced_ot,1.0,-1.8420382738113403,0.0055,0.0065,14.724438667297363
3,1,bc,1.0,-1.2887768745422363,0.0006,0.0114,13.63991641998291
3,1,forward_kl,1.0,-0.6458542346954346,0.0,0.0162,0.16623100638389587
3,1,wasserstein,0.03,-0.3635699152946472,0.0,0.0271,0.4122144877910614
3,1,partial_ot,0.03,-0.3592890501022339,0.0,0.0276,0.39176085591316223
3,1,unbalanced_ot,0.03,-0.36118924617767334,0.0,0.0276,0.21274682879447937
3,1,wasserstein,0.05,-0.36404502391815186,0.0,0.0291,0.9523163437843323
3,1,partial_ot,0.05,-0.36685243248939514,0.0,0.0273,0.08065882325172424
3,1,unbalanced_ot,0.05,-0.36181873083114624,0.0,0.0273,0.3812607526779175
3,1,wasserstein,0.1,-0.3752240836620331,0.0,0.0283,3.4645071029663086
3,1,partial_ot,0.1,-0.35919395089149475,0.0,0.0293,0.3627414107322693
3,1,unbalanced_ot,0.1,-0.358402281999588,0.0,0.0279,1.45499849319458
3,1,wasserstein,0.3,-0.8654642701148987,0.0,0.0123,7.598597049713135
3,1,partial_ot,0.3,-0.3657180666923523,0.0,0.0264,1.3989105224609375
3,1,unbalanced_ot,0.3,-0.3852778375148773,0.0,0.0249,3.4570817947387695
3,1,wasserstein,1.0,-1.9056485891342163,0.0069,0.0074,18.849475860595703
3,1,partial_ot,1.0,-0.415312260389328,0.0,0.0224,1.499403953552246
3,1,unbalanced_ot,1.0,-1.8458346128463745,0.0062,0.0071,13.003701210021973
4,0,bc,1.0,-1.3423662185668945,0.0005,0.0051,12.108499526977539
4,0,forward_kl,1.0,-0.7617264986038208,0.0,0.0049,0.6974306106567383
4,0,wasserstein,0.03,-0.48174405097961426,0.0,0.0113,0.9366274476051331
4,0,partial_ot,0.03,-0.47789061069488525,0.0,0.0095,0.12828943133354187
4,0,unbalanced_ot,0.03,-0.4837504029273987,0.0,0.0111,1.0976098775863647
4,0,wasserstein,0.05,-0.49273842573165894,0.0,0.0114,2.9022021293640137
4,0,partial_ot,0.05,-0.47883984446525574,0.0,0.0093,-0.21127186715602875
4,0,unbalanced_ot,0.05,-0.4722059667110443,0.0,0.0111,1.4309539794921875
4,0,wasserstein,0.1,-0.49334412813186646,0.0,0.0116,3.1101808547973633
4,0,partial_ot,0.1,-0.4781266748905182,0.0,0.0094,1.0254230499267578
4,0,unbalanced_ot,0.1,-0.4736102521419525,0.0,0.0112,1.444799780845642
4,0,wasserstein,0.3,-0.9684823155403137,0.0,0.0047,7.856503963470459
