dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
3,0,bc,1.0,-1.046651840209961,0.0913,0.0307,2.254865884780884
3,0,forward_kl,1.0,-0.270430326461792,0.0,0.1229,-0.49265608191490173
3,0,wasserstein,0.03,-0.36125433444976807,0.0,0.0867,0.3540949821472168
3,0,partial_ot,0.03,-0.35664424300193787,0.0,0.0853,0.38407081365585327
3,0,unbalanced_ot,0.03,-0.3621666133403778,0.0,0.0861,0.39094266295433044
3,0,wasserstein,0.05,-0.35729384422302246,0.0001,0.0875,0.408246785402298
3,0,partial_ot,0.05,-0.3533165156841278,0.0001,0.0838,0.4053410291671753
3,0,unbalanced_ot,0.05,-0.3596388101577759,0.0,0.0869,0.3675290048122406
3,0,wasserstein,0.1,-0.35919082164764404,0.0001,0.086,0.46918705105781555
3,0,partial_ot,0.1,-0.3512055277824402,0.0,0.0862,0.4224715828895569
3,0,unbalanced_ot,0.1,-0.36646711826324463,0.0001,0.0846,0.4302499294281006
3,0,wasserstein,0.3,-0.3604232370853424,0.0,0.0878,0.6809786558151245
3,0,partial_ot,0.3,-0.35792481899261475,0.0,0.0822,0.38448306918144226
3,0,unbalanced_ot,0.3,-0.36631086468696594,0.0001,0.0786,0.5333724021911621
3,0,wasserstein,1.0,-0.3662513792514801,0.0,0.0807,1.5022461414337158
3,0,partial_ot,1.0,-0.35904762148857117,0.0,0.0836,0.35868576169013977
3,0,unbalanced_ot,1.0,-0.36303243041038513,0.0,0.0803,1.2784563302993774
3,1,bc,1.0,-1.0882682800292969,0.1046,0.0299,2.146953821182251
3,1,forward_kl,1.0,-0.270886093378067,0.0,0.1214,-0.5258340835571289
3,1,wasserstein,0.03,-0.36070001125335693,0.0001,0.0859,0.3854074478149414
3,1,partial_ot,0.03,-0.3643781244754791,0.0,0.0837,0.37958815693855286
3,1,unbalanced_ot,0.03,-0.354839026927948,0.0001,0.0862,0.34341689944267273
3,1,wasserstein,0.05,-0.35810649394989014,0.0001,0.083,0.4209795296192169
