dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
3,bc,1.0,2,-1.067460060119629,0.02080821990966797,0.09795000000000001,0.006649999999999996,0.0303,0.00040000000000000105
3,forward_kl,1.0,2,-0.2706582099199295,0.0002278834581375122,0.0,0.0,0.12215,0.0007500000000000007
3,partial_ot,0.03,2,-0.3605111837387085,0.00386694073677063,0.0,0.0,0.08449999999999999,0.0008000000000000021
3,partial_ot,0.05,2,-0.3563339114189148,0.0030173957347869873,0.0001,0.0,0.0866,0.002799999999999997
3,partial_ot,0.1,2,-0.35667529702186584,0.005469769239425659,0.0,0.0,0.08465,0.0015500000000000028
3,partial_ot,0.3,2,-0.3569844365119934,0.0009403824806213379,0.0,0.0,0.0832,0.0010000000000000009
3,partial_ot,1.0,2,-0.3600708097219467,0.0010231882333755493,0.0,0.0,0.08235,0.0012499999999999942
3,unbalanced_ot,0.03,2,-0.3585028201341629,0.003663793206214905,5e-05,5e-05,0.08615,5.000000000000143e-05
3,unbalanced_ot,0.05,2,-0.3630622327327728,0.0034234225749969482,0.0,0.0,0.08455,0.002350000000000005
3,unbalanced_ot,0.1,2,-0.36367568373680115,0.0027914345264434814,5e-05,5e-05,0.0857,0.0011000000000000038
3,unbalanced_ot,0.3,2,-0.3630843460559845,0.0032265186309814453,0.0001,0.0,0.08145,0.002849999999999999
3,unbalanced_ot,1.0,2,-0.36042363941669464,0.0026087909936904907,0.0,0.0,0.0811,0.0008000000000000021
3,wasserstein,0.03,2,-0.3609771728515625,0.0002771615982055664,5e-05,5e-05,0.0863,0.0003999999999999976
3,wasserstein,0.05,2,-0.3577001690864563,0.0004063248634338379,0.0001,0.0,0.08524999999999999,0.002249999999999995
3,wasserstein,0.1,2,-0.3590865433216095,0.0001042783260345459,5e-05,5e-05,0.08715,0.0011500000000000052
3,wasserstein,0.3,2,-0.3629980683326721,0.002574831247329712,0.0,0.0,0.08455,0.003250000000000003
3,wasserstein,1.0,2,-0.36720310151576996,0.000951722264289856,0.0,0.0,0.07844999999999999,0.002249999999999995
4,bc,1.0,2,-1.2177621126174927,0.026080608367919922,0.09765,0.005650000000000002,0.0165,0.0016000000000000007
4,forward_kl,1.0,2,-0.35625387728214264,0.0003880709409713745,0.0,0.0,0.08,0.0025000000000000022
4,partial_ot,0.03,2,-0.4772884398698807,0.00267048180103302,0.0,0.0,0.04735,0.003649999999999997
4,partial_ot,0.05,2,-0.47977954149246216,0.005047500133514404,0.0,0.0,0.0458,0.0017000000000000001
4,partial_ot,0.1,2,-0.4761534631252289,0.0014026761054992676,0.0,0.0,0.0492,0.0003999999999999976
4,partial_ot,0.3,2,-0.4792695939540863,0.002464383840560913,0.0,0.0,0.046,0.0
4,partial_ot,1.0,2,-0.4825699031352997,0.0001270771026611328,5e-05,5e-05,0.047850000000000004,0.0011500000000000017
4,unbalanced_ot,0.03,2,-0.48056186735630035,0.0009605437517166138,5e-05,5e-05,0.0464,0.00040000000000000105
4,unbalanced_ot,0.05,2,-0.48112036287784576,0.002317383885383606,0.00019999999999999998,9.999999999999999e-05,0.0498,0.0009999999999999974
4,unbalanced_ot,0.1,2,-0.480996236205101,0.006602779030799866,0.0,0.0,0.0503,0.003300000000000001
4,unbalanced_ot,0.3,2,-0.48048536479473114,0.001954004168510437,5e-05,5e-05,0.0455,0.0001999999999999988
4,unbalanced_ot,1.0,2,-0.488082617521286,0.007264554500579834,0.0,0.0,0.04695,0.00145
4,wasserstein,0.03,2,-0.4800184816122055,0.0058784931898117065,5e-05,5e-05,0.0475,0.0017000000000000001
4,wasserstein,0.05,2,-0.4816761165857315,0.0010143071413040161,0.0,0.0,0.0461,0.001400000000000002
4,wasserstein,0.1,2,-0.4815325438976288,0.00434720516204834,0.0,0.0,0.0475,0.0013999999999999985
4,wasserstein,0.3,2,-0.4852170944213867,0.002255380153656006,5e-05,5e-05,0.047799999999999995,0.0002999999999999982
4,wasserstein,1.0,2,-0.4919571280479431,0.004119426012039185,0.0001,0.0,0.0446,0.0025000000000000022
5,bc,1.0,2,-1.3732566237449646,0.014202892780303955,0.09875,0.0027500000000000024,0.00805,0.0004500000000000003
5,forward_kl,1.0,2,-0.44288042187690735,0.0012707412242889404,0.0,0.0,0.051699999999999996,0.0017999999999999995
5,partial_ot,0.03,2,-0.6000053584575653,0.0038815438747406006,0.0,0.0,0.02775,0.0009499999999999995
5,partial_ot,0.05,2,-0.5997828543186188,0.0024965107440948486,0.0,0.0,0.0267,0.00010000000000000113
5,partial_ot,0.1,2,-0.6027769148349762,0.0005305111408233643,0.0,0.0,0.02635,0.0006499999999999995
5,partial_ot,0.3,2,-0.5970572829246521,0.0015311241149902344,0.0001,0.0,0.02685,0.0003499999999999996
5,partial_ot,1.0,2,-0.6011774837970734,0.005413442850112915,0.0,0.0,0.02815,0.0001499999999999991
5,unbalanced_ot,0.03,2,-0.6018241941928864,0.002289801836013794,5e-05,5e-05,0.0271,0.0016000000000000007
5,unbalanced_ot,0.05,2,-0.5977609157562256,0.00011330842971801758,0.0,0.0,0.026099999999999998,0.00039999999999999937
5,unbalanced_ot,0.1,2,-0.599036455154419,0.0022270679473876953,0.0001,0.0,0.0286,0.002100000000000001
5,unbalanced_ot,0.3,2,-0.6030708849430084,0.0002708137035369873,0.0,0.0,0.0252,0.0002999999999999999
5,unbalanced_ot,1.0,2,-0.6018189787864685,0.004430115222930908,0.0,0.0,0.02765,0.0006499999999999995
5,wasserstein,0.03,2,-0.6003129184246063,0.001828223466873169,0.0,0.0,0.0283,0.000700000000000001
5,wasserstein,0.05,2,-0.6050713956356049,0.005825906991958618,0.0,0.0,0.02725,0.0005499999999999984
5,wasserstein,0.1,2,-0.6028680503368378,0.0031953155994415283,0.00015000000000000001,5e-05,0.02975,0.0026499999999999996
5,wasserstein,0.3,2,-0.6080925464630127,0.0024644136428833008,0.0,0.0,0.02725,0.001850000000000001
5,wasserstein,1.0,2,-0.613798975944519,0.0038653016090393066,5e-05,5e-05,0.02605,0.0006500000000000013
8,bc,1.0,2,-1.8257720470428467,0.010397076606750488,0.0974,0.0034000000000000002,0.0012499999999999998,5.000000000000002e-05
8,forward_kl,1.0,2,-0.70730921626091,0.002087026834487915,0.0,0.0,0.0165,0.0008000000000000004
8,partial_ot,0.03,2,-0.9587372243404388,0.0031985342502593994,0.0,0.0,0.0052,0.0002000000000000001
8,partial_ot,0.05,2,-0.9541888236999512,0.004177868366241455,0.0,0.0,0.0053,0.00019999999999999966
8,partial_ot,0.1,2,-0.9610084593296051,0.00017055869102478027,0.0001,0.0001,0.0054,0.0002999999999999999
8,partial_ot,0.3,2,-0.9549099504947662,0.00014141201972961426,0.0,0.0,0.006200000000000001,0.0002000000000000001
8,partial_ot,1.0,2,-0.952046275138855,0.0012871026992797852,0.0,0.0,0.00535,0.00014999999999999996
8,unbalanced_ot,0.03,2,-0.9616492092609406,0.004734784364700317,5e-05,5e-05,0.00575,0.0005500000000000001
8,unbalanced_ot,0.05,2,-0.9623472392559052,0.0018114745616912842,5e-05,5e-05,0.0065,0.0007000000000000001
8,unbalanced_ot,0.1,2,-0.9616201817989349,0.00186958909034729,0.0,0.0,0.0056500000000000005,0.0005499999999999997
8,unbalanced_ot,0.3,2,-0.9567629098892212,0.00032383203506469727,5e-05,5e-05,0.0058,9.999999999999984e-05
8,unbalanced_ot,1.0,2,-0.959621012210846,0.002862989902496338,0.0001,0.0,0.00455,0.00035000000000000005
8,wasserstein,0.03,2,-0.9635896980762482,0.0055633485317230225,5e-05,5e-05,0.0060999999999999995,0.0006999999999999997
8,wasserstein,0.05,2,-0.9604087769985199,0.0014271438121795654,0.0,0.0,0.00555,0.00014999999999999996
8,wasserstein,0.1,2,-0.9598919451236725,0.006182938814163208,0.0,0.0,0.0051,0.0005
8,wasserstein,0.3,2,-0.9604805409908295,0.0014501512050628662,0.0,0.0,0.0049,0.0002000000000000001
8,wasserstein,1.0,2,-0.9754323661327362,0.002487748861312866,0.0,0.0,0.00615,0.0002500000000000002
