dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
3,0,bc,1.0,-1.046651840209961,0.0913,0.0307,2.254865884780884
3,0,forward_kl,1.0,-0.3800014853477478,0.0002,0.0825,0.5679949522018433
3,0,wasserstein,0.03,-0.36909493803977966,0.0,0.0827,0.5111401081085205
3,0,partial_ot,0.03,-0.35896414518356323,0.0,0.0824,0.790226936340332
3,0,unbalanced_ot,0.03,-0.35897141695022583,0.0,0.0835,0.2475263476371765
3,0,wasserstein,0.05,-0.3596997559070587,0.0,0.0844,0.539893627166748
3,0,partial_ot,0.05,-0.35371166467666626,0.0,0.0845,0.44338753819465637
3,0,unbalanced_ot,0.05,-0.3628903925418854,0.0002,0.087,0.3319567143917084
3,0,wasserstein,0.1,-0.3548179566860199,0.0,0.0875,0.5398721694946289
3,0,partial_ot,0.1,-0.35176563262939453,0.0,0.0847,0.1890832781791687
3,0,unbalanced_ot,0.1,-0.365678995847702,0.0,0.0814,0.16708165407180786
3,0,wasserstein,0.3,-0.3671113848686218,0.0,0.0798,0.8923532962799072
3,0,partial_ot,0.3,-0.36259183287620544,0.0,0.0863,0.35024577379226685
3,0,unbalanced_ot,0.3,-0.3578009307384491,0.0001,0.0838,0.46877217292785645
3,0,wasserstein,1.0,-0.3653411567211151,0.0,0.0824,1.2198418378829956
3,0,partial_ot,1.0,-0.3608883321285248,0.0,0.0868,-0.10642549395561218
3,0,unbalanced_ot,1.0,-0.3721403181552887,0.0,0.0828,1.1841305494308472
3,1,bc,1.0,-1.0882682800292969,0.1046,0.0299,2.146953821182251
3,1,forward_kl,1.0,-0.3242396116256714,0.0,0.0961,0.7145518064498901
3,1,wasserstein,0.03,-0.35457947850227356,0.0,0.0866,0.4455026388168335
3,1,partial_ot,0.03,-0.35651278495788574,0.0,0.0865,-0.06919651478528976
3,1,unbalanced_ot,0.03,-0.36094847321510315,0.0,0.0826,0.21707086265087128
3,1,wasserstein,0.05,-0.3625519275665283,0.0,0.082,0.5154850482940674
3,1,partial_ot,0.05,-0.36446231603622437,0.0,0.0837,0.6456271409988403
3,1,unbalanced_ot,0.05,-0.36202213168144226,0.0,0.0839,0.22817564010620117
3,1,wasserstein,0.1,-0.3681563436985016,0.0,0.0848,0.4358940124511719
3,1,partial_ot,0.1,-0.36001309752464294,0.0,0.0856,0.5456387400627136
3,1,unbalanced_ot,0.1,-0.3570438027381897,0.0001,0.0871,0.7746849060058594
3,1,wasserstein,0.3,-0.3658638596534729,0.0,0.0833,0.381487101316452
3,1,partial_ot,0.3,-0.3561071455478668,0.0,0.0833,0.2867310345172882
3,1,unbalanced_ot,0.3,-0.3567725419998169,0.0,0.0869,0.8365849852561951
3,1,wasserstein,1.0,-0.37199866771698,0.0,0.0815,1.9111707210540771
3,1,partial_ot,1.0,-0.3614884912967682,0.0001,0.0867,0.58875972032547
3,1,unbalanced_ot,1.0,-0.3600543439388275,0.0,0.0815,1.2046129703521729
4,0,bc,1.0,-1.1916815042495728,0.092,0.0181,2.4940524101257324
4,0,forward_kl,1.0,-0.41785553097724915,0.0,0.0588,-0.301344633102417
4,0,wasserstein,0.03,-0.479645311832428,0.0,0.0486,0.8871332406997681
4,0,partial_ot,0.03,-0.48448458313941956,0.0,0.0456,0.4590620696544647
4,0,unbalanced_ot,0.03,-0.48144999146461487,0.0001,0.0451,0.6621015667915344
4,0,wasserstein,0.05,-0.4851791560649872,0.0,0.0475,0.5582515001296997
4,0,partial_ot,0.05,-0.47471746802330017,0.0001,0.0442,0.35135549306869507
4,0,unbalanced_ot,0.05,-0.4775770604610443,0.0001,0.0472,0.6030271649360657
4,0,wasserstein,0.1,-0.4837227463722229,0.0,0.0469,0.7361156940460205
4,0,partial_ot,0.1,-0.48086151480674744,0.0,0.0447,0.9685774445533752
4,0,unbalanced_ot,0.1,-0.4839673936367035,0.0,0.046,0.6454997658729553
4,0,wasserstein,0.3,-0.48905545473098755,0.0001,0.0479,0.9085988998413086
4,0,partial_ot,0.3,-0.4758986234664917,0.0,0.0476,0.7055408358573914
4,0,unbalanced_ot,0.3,-0.4834763705730438,0.0,0.0457,0.8239110708236694
4,0,wasserstein,1.0,-0.4884214699268341,0.0,0.0462,1.9236719608306885
4,0,partial_ot,1.0,-0.486408531665802,0.0,0.0456,0.4468691051006317
4,0,unbalanced_ot,1.0,-0.48540645837783813,0.0,0.0456,2.102854013442993
4,1,bc,1.0,-1.2438427209854126,0.1033,0.0149,2.866436719894409
4,1,forward_kl,1.0,-0.42942193150520325,0.0,0.0574,-0.5651675462722778
4,1,wasserstein,0.03,-0.48329687118530273,0.0002,0.0486,0.27628302574157715
4,1,partial_ot,0.03,-0.4778388738632202,0.0,0.0501,0.49656984210014343
4,1,unbalanced_ot,0.03,-0.48260626196861267,0.0,0.0457,0.347513884305954
4,1,wasserstein,0.05,-0.47945258021354675,0.0001,0.0474,0.30367571115493774
4,1,partial_ot,0.05,-0.4834119975566864,0.0,0.0477,0.36021602153778076
4,1,unbalanced_ot,0.05,-0.47678497433662415,0.0,0.0496,0.3378092646598816
4,1,wasserstein,0.1,-0.480884313583374,0.0,0.0487,0.9263855814933777
4,1,partial_ot,0.1,-0.4795025885105133,0.0,0.0456,0.44203174114227295
4,1,unbalanced_ot,0.1,-0.4739738702774048,0.0001,0.0509,0.6688074469566345
4,1,wasserstein,0.3,-0.48574209213256836,0.0,0.0481,0.9944261312484741
4,1,partial_ot,0.3,-0.47928038239479065,0.0001,0.0487,0.6327680945396423
4,1,unbalanced_ot,0.3,-0.4829661548137665,0.0,0.046,0.7734941840171814
4,1,wasserstein,1.0,-0.49679097533226013,0.0,0.0432,1.7780705690383911
4,1,partial_ot,1.0,-0.4744882881641388,0.0,0.0494,0.9213735461235046
4,1,unbalanced_ot,1.0,-0.4838855564594269,0.0,0.0455,1.3913207054138184
5,0,bc,1.0,-1.3590537309646606,0.096,0.0085,2.995872974395752
5,0,forward_kl,1.0,-0.5722283124923706,0.0,0.032,-0.6092128157615662
5,0,wasserstein,0.03,-0.6005622744560242,0.0,0.0269,0.5326544046401978
5,0,partial_ot,0.03,-0.5991364121437073,0.0,0.0265,0.46632495522499084
5,0,unbalanced_ot,0.03,-0.6035595536231995,0.0,0.0298,0.7678882479667664
5,0,wasserstein,0.05,-0.6095484495162964,0.0,0.0286,1.175795078277588
5,0,partial_ot,0.05,-0.5972655415534973,0.0001,0.0288,0.2884242534637451
5,0,unbalanced_ot,0.05,-0.5935011506080627,0.0,0.0261,0.8693703413009644
5,0,wasserstein,0.1,-0.6031062602996826,0.0002,0.0256,0.7394943237304688
5,0,partial_ot,0.1,-0.5960462093353271,0.0001,0.0273,0.8554799556732178
5,0,unbalanced_ot,0.1,-0.5913621783256531,0.0,0.0286,0.7037330269813538
5,0,wasserstein,0.3,-0.6065914034843445,0.0001,0.0259,1.07448148727417
5,0,partial_ot,0.3,-0.5942608118057251,0.0,0.0284,0.35650548338890076
5,0,unbalanced_ot,0.3,-0.5991333723068237,0.0,0.0237,1.0465089082717896
5,0,wasserstein,1.0,-0.6057920455932617,0.0,0.0258,2.6292521953582764
5,0,partial_ot,1.0,-0.5986616015434265,0.0,0.0295,0.9173875451087952
5,0,unbalanced_ot,1.0,-0.6039138436317444,0.0,0.0275,2.2383131980895996
5,1,bc,1.0,-1.3874595165252686,0.1015,0.0076,3.21441650390625
5,1,forward_kl,1.0,-0.5332055687904358,0.0,0.0333,-0.8091583847999573
5,1,wasserstein,0.03,-0.6042649149894714,0.0,0.0263,0.6207694411277771
5,1,partial_ot,0.03,-0.59922856092453,0.0,0.0263,0.5505307912826538
5,1,unbalanced_ot,0.03,-0.6060498952865601,0.0,0.0265,0.5917201638221741
5,1,wasserstein,0.05,-0.5938142538070679,0.0001,0.0282,1.0226871967315674
5,1,partial_ot,0.05,-0.5944957733154297,0.0,0.0272,0.37930965423583984
5,1,unbalanced_ot,0.05,-0.5997664332389832,0.0,0.0265,0.7317229509353638
5,1,wasserstein,0.1,-0.6023538112640381,0.0001,0.032,0.5569897294044495
5,1,partial_ot,0.1,-0.6105305552482605,0.0,0.0243,0.4460851848125458
5,1,unbalanced_ot,0.1,-0.6036483645439148,0.0001,0.0277,0.7869982123374939
5,1,wasserstein,0.3,-0.6061213612556458,0.0,0.0262,1.22467041015625
5,1,partial_ot,0.3,-0.6016906499862671,0.0,0.0269,0.45741498470306396
5,1,unbalanced_ot,0.3,-0.6014299988746643,0.0,0.0266,1.052412509918213
5,1,wasserstein,1.0,-0.6097291707992554,0.0001,0.0255,2.5961337089538574
5,1,partial_ot,1.0,-0.5955663919448853,0.0,0.0301,0.8107771277427673
5,1,unbalanced_ot,1.0,-0.5960808992385864,0.0001,0.027,1.6195510625839233
8,0,bc,1.0,-1.8153749704360962,0.094,0.0012,4.192797660827637
8,0,forward_kl,1.0,-0.7760908007621765,0.0,0.0127,-1.3343491554260254
8,0,wasserstein,0.03,-0.9625149369239807,0.0,0.005,1.1937062740325928
8,0,partial_ot,0.03,-0.9537090063095093,0.0,0.004,0.9741896390914917
8,0,unbalanced_ot,0.03,-0.9535975456237793,0.0,0.0059,1.480850100517273
8,0,wasserstein,0.05,-0.9609621167182922,0.0,0.0064,1.3927340507507324
8,0,partial_ot,0.05,-0.9574289321899414,0.0,0.0059,0.8798823356628418
8,0,unbalanced_ot,0.05,-0.9684425592422485,0.0,0.0053,1.0961382389068604
8,0,wasserstein,0.1,-0.9499412178993225,0.0,0.0054,1.4963926076889038
8,0,partial_ot,0.1,-0.9554170966148376,0.0002,0.0053,1.0233923196792603
