dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
3,bc,1.0,2,-1.067460060119629,0.02080821990966797,0.09795000000000001,0.006649999999999996,0.0303,0.00040000000000000105
3,forward_kl,1.0,2,-0.3521205484867096,0.027880936861038208,0.0001,0.0001,0.0893,0.0068000000000000005
3,partial_ot,0.03,2,-0.3577384650707245,0.0012256801128387451,0.0,0.0,0.08445,0.0020499999999999963
3,partial_ot,0.05,2,-0.3590869903564453,0.005375325679779053,0.0,0.0,0.08410000000000001,0.0004000000000000045
3,partial_ot,0.1,2,-0.35588936507701874,0.0041237324476242065,0.0,0.0,0.08515,0.000449999999999999
3,partial_ot,0.3,2,-0.35934948921203613,0.0032423436641693115,0.0,0.0,0.0848,0.0015000000000000013
3,partial_ot,1.0,2,-0.3611884117126465,0.0003000795841217041,5e-05,5e-05,0.08675,5.000000000000143e-05
3,unbalanced_ot,0.03,2,-0.3599599450826645,0.0009885281324386597,0.0,0.0,0.08305000000000001,0.000449999999999999
3,unbalanced_ot,0.05,2,-0.3624562621116638,0.0004341304302215576,0.0001,0.0001,0.08545,0.0015499999999999958
3,unbalanced_ot,0.1,2,-0.36136139929294586,0.0043175965547561646,5e-05,5e-05,0.08424999999999999,0.002849999999999999
3,unbalanced_ot,0.3,2,-0.357286736369133,0.0005141943693161011,5e-05,5e-05,0.08535000000000001,0.0015500000000000028
3,unbalanced_ot,1.0,2,-0.3660973310470581,0.006042987108230591,0.0,0.0,0.08215,0.0006499999999999978
3,wasserstein,0.03,2,-0.3618372082710266,0.007257729768753052,0.0,0.0,0.08465,0.0019500000000000003
3,wasserstein,0.05,2,-0.3611258417367935,0.0014260858297348022,0.0,0.0,0.0832,0.0011999999999999997
3,wasserstein,0.1,2,-0.36148715019226074,0.006669193506240845,0.0,0.0,0.08615,0.001349999999999997
3,wasserstein,0.3,2,-0.36648762226104736,0.0006237626075744629,0.0,0.0,0.08155,0.0017500000000000016
3,wasserstein,1.0,2,-0.36866991221904755,0.003328755497932434,0.0,0.0,0.08195,0.000449999999999999
4,bc,1.0,2,-1.2177621126174927,0.026080608367919922,0.09765,0.005650000000000002,0.0165,0.0016000000000000007
4,forward_kl,1.0,2,-0.4236387312412262,0.005783200263977051,0.0,0.0,0.0581,0.0006999999999999992
4,partial_ot,0.03,2,-0.4811617285013199,0.0033228546380996704,0.0,0.0,0.047850000000000004,0.0022499999999999985
4,partial_ot,0.05,2,-0.4790647327899933,0.004347264766693115,5e-05,5e-05,0.045950000000000005,0.001749999999999998
4,partial_ot,0.1,2,-0.48018205165863037,0.0006794631481170654,0.0,0.0,0.045149999999999996,0.0004500000000000025
4,partial_ot,0.3,2,-0.4775895029306412,0.001690879464149475,5e-05,5e-05,0.04815,0.0005499999999999984
4,partial_ot,1.0,2,-0.4804484099149704,0.005960121750831604,0.0,0.0,0.0475,0.001899999999999999
4,unbalanced_ot,0.03,2,-0.48202812671661377,0.0005781352519989014,5e-05,5e-05,0.045399999999999996,0.0002999999999999982
4,unbalanced_ot,0.05,2,-0.47718101739883423,0.000396043062210083,5e-05,5e-05,0.0484,0.0011999999999999997
4,unbalanced_ot,0.1,2,-0.47897063195705414,0.004996761679649353,5e-05,5e-05,0.04845,0.002450000000000001
4,unbalanced_ot,0.3,2,-0.48322126269340515,0.0002551078796386719,0.0,0.0,0.04585,0.00015000000000000083
4,unbalanced_ot,1.0,2,-0.4846460074186325,0.0007604509592056274,0.0,0.0,0.04555,5.000000000000143e-05
4,wasserstein,0.03,2,-0.48147109150886536,0.001825779676437378,0.0001,0.0001,0.0486,0.0
4,wasserstein,0.05,2,-0.48231586813926697,0.002863287925720215,5e-05,5e-05,0.04745,5.000000000000143e-05
4,wasserstein,0.1,2,-0.48230352997779846,0.0014192163944244385,0.0,0.0,0.047799999999999995,0.0009000000000000015
4,wasserstein,0.3,2,-0.48739877343177795,0.0016566812992095947,5e-05,5e-05,0.048,9.99999999999994e-05
4,wasserstein,1.0,2,-0.4926062226295471,0.004184752702713013,0.0,0.0,0.044700000000000004,0.0014999999999999979
5,bc,1.0,2,-1.3732566237449646,0.014202892780303955,0.09875,0.0027500000000000024,0.00805,0.0004500000000000003
5,forward_kl,1.0,2,-0.5527169406414032,0.019511371850967407,0.0,0.0,0.03265,0.0006500000000000013
5,partial_ot,0.03,2,-0.5991824865341187,4.607439041137695e-05,0.0,0.0,0.0264,9.99999999999994e-05
5,partial_ot,0.05,2,-0.5958806574344635,0.0013848841190338135,5e-05,5e-05,0.027999999999999997,0.0008000000000000004
5,partial_ot,0.1,2,-0.6032883822917938,0.007242172956466675,5e-05,5e-05,0.0258,0.0015000000000000013
5,partial_ot,0.3,2,-0.5979757308959961,0.003714919090270996,0.0,0.0,0.02765,0.0007500000000000007
5,partial_ot,1.0,2,-0.5971139967441559,0.0015476047992706299,0.0,0.0,0.0298,0.0002999999999999999
5,unbalanced_ot,0.03,2,-0.6048047244548798,0.0012451708316802979,0.0,0.0,0.02815,0.0016500000000000004
5,unbalanced_ot,0.05,2,-0.596633791923523,0.003132641315460205,0.0,0.0,0.0263,0.0001999999999999988
5,unbalanced_ot,0.1,2,-0.5975052714347839,0.006143093109130859,5e-05,5e-05,0.02815,0.00045000000000000075
5,unbalanced_ot,0.3,2,-0.600281685590744,0.001148313283920288,0.0,0.0,0.02515,0.00145
5,unbalanced_ot,1.0,2,-0.5999973714351654,0.0039164721965789795,5e-05,5e-05,0.02725,0.0002500000000000002
5,wasserstein,0.03,2,-0.6024135947227478,0.0018513202667236328,0.0,0.0,0.0266,0.0002999999999999999
5,wasserstein,0.05,2,-0.6016813516616821,0.007867097854614258,5e-05,5e-05,0.0284,0.00020000000000000052
5,wasserstein,0.1,2,-0.6027300357818604,0.0003762245178222656,0.00015000000000000001,5e-05,0.0288,0.0031999999999999997
5,wasserstein,0.3,2,-0.6063563823699951,0.00023502111434936523,5e-05,5e-05,0.02605,0.00015000000000000083
5,wasserstein,1.0,2,-0.6077606081962585,0.001968562602996826,5e-05,5e-05,0.02565,0.00015000000000000083
8,bc,1.0,2,-1.8257720470428467,0.010397076606750488,0.0974,0.0034000000000000002,0.0012499999999999998,5.000000000000002e-05
8,forward_kl,1.0,2,-0.7523773312568665,0.02371346950531006,0.0,0.0,0.0137,0.001
8,partial_ot,0.03,2,-0.9562568068504333,0.0025478005409240723,0.0,0.0,0.00485,0.0008500000000000001
8,partial_ot,0.05,2,-0.9543270170688629,0.003101915121078491,0.0,0.0,0.00535,0.0005500000000000001
8,partial_ot,0.1,2,-0.9565711915493011,0.001154094934463501,0.0001,0.0001,0.0049,0.0004000000000000002
8,partial_ot,0.3,2,-0.9575208425521851,0.0013270974159240723,0.0,0.0,0.0058,0.00039999999999999975
8,partial_ot,1.0,2,-0.9497524797916412,0.0014102160930633545,0.0,0.0,0.0056,0.00019999999999999966
8,unbalanced_ot,0.03,2,-0.9618301093578339,0.008232563734054565,5e-05,5e-05,0.0059,0.0
8,unbalanced_ot,0.05,2,-0.9649326205253601,0.0035099387168884277,5e-05,5e-05,0.006200000000000001,0.0009000000000000002
8,unbalanced_ot,0.1,2,-0.9637968242168427,0.0005392134189605713,0.0,0.0,0.00545,0.0005500000000000001
8,unbalanced_ot,0.3,2,-0.9557453989982605,0.0004950165748596191,5e-05,5e-05,0.0054,0.0002999999999999999
8,unbalanced_ot,1.0,2,-0.9593125283718109,0.0005329549312591553,0.0001,0.0,0.00475,0.0002500000000000002
8,wasserstein,0.03,2,-0.9647790491580963,0.0022641122341156006,5e-05,5e-05,0.0057,0.0007000000000000001
8,wasserstein,0.05,2,-0.9600808024406433,0.0008813142776489258,0.0,0.0,0.00585,0.0005500000000000001
8,wasserstein,0.1,2,-0.9539176821708679,0.00397646427154541,0.0,0.0,0.0057,0.0002999999999999999
8,wasserstein,0.3,2,-0.9584472477436066,0.0002664029598236084,0.0,0.0,0.00485,0.0002500000000000002
8,wasserstein,1.0,2,-0.9719695746898651,0.0035394132137298584,0.0,0.0,0.0058,0.0
