dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
3,0,bc,1.0,-1.046651840209961,0.0913,0.0307,2.254865884780884
3,0,forward_kl,1.0,-0.6100480556488037,0.0094,0.0443,1.1557358503341675
3,0,wasserstein,0.03,-0.360134482383728,0.0001,0.0871,1.3123528957366943
3,0,partial_ot,0.03,-0.3652436137199402,0.0,0.0793,0.39250579476356506
3,0,unbalanced_ot,0.03,-0.3617078959941864,0.0,0.0836,0.7857153415679932
3,0,wasserstein,0.05,-0.36513030529022217,0.0,0.0827,0.545214056968689
3,0,partial_ot,0.05,-0.3587641716003418,0.0,0.0834,0.07191633433103561
3,0,unbalanced_ot,0.05,-0.3595663905143738,0.0,0.0859,0.627693772315979
3,0,wasserstein,0.1,-0.36529541015625,0.0,0.0841,0.7379757165908813
3,0,partial_ot,0.1,-0.36169669032096863,0.0,0.0818,1.5731827020645142
3,0,unbalanced_ot,0.1,-0.36139094829559326,0.0,0.0822,0.6080835461616516
3,0,wasserstein,0.3,-0.36421939730644226,0.0,0.0813,0.6534165143966675
3,0,partial_ot,0.3,-0.3564092516899109,0.0,0.0874,0.7887499928474426
3,0,unbalanced_ot,0.3,-0.36061254143714905,0.0,0.0837,0.6611394286155701
3,0,wasserstein,1.0,-0.36920830607414246,0.0,0.0853,1.9673781394958496
3,0,partial_ot,1.0,-0.3642561733722687,0.0,0.081,0.21445925533771515
3,0,unbalanced_ot,1.0,-0.36626648902893066,0.0001,0.0843,1.9952881336212158
3,1,bc,1.0,-1.0882682800292969,0.1046,0.0299,2.146953821182251
3,1,forward_kl,1.0,-0.5699779391288757,0.0026,0.0455,0.34843891859054565
3,1,wasserstein,0.03,-0.3611604571342468,0.0,0.0835,-0.22422395646572113
3,1,partial_ot,0.03,-0.35877642035484314,0.0,0.088,0.3841025233268738
3,1,unbalanced_ot,0.03,-0.3607163429260254,0.0,0.0809,-0.03266525641083717
3,1,wasserstein,0.05,-0.3597060441970825,0.0001,0.0873,-0.13759708404541016
3,1,partial_ot,0.05,-0.36546817421913147,0.0001,0.085,0.04014837369322777
3,1,unbalanced_ot,0.05,-0.36090394854545593,0.0,0.0846,-0.09785779565572739
3,1,wasserstein,0.1,-0.3601663112640381,0.0,0.0904,1.1497607231140137
3,1,partial_ot,0.1,-0.3574337363243103,0.0,0.0866,0.30894020199775696
3,1,unbalanced_ot,0.1,-0.3565681576728821,0.0001,0.0866,0.648241400718689
3,1,wasserstein,0.3,-0.364374041557312,0.0,0.084,1.0574431419372559
3,1,partial_ot,0.3,-0.3602938950061798,0.0,0.0844,0.8290500640869141
3,1,unbalanced_ot,0.3,-0.3633638620376587,0.0,0.0846,0.8838929533958435
3,1,wasserstein,1.0,-0.37434399127960205,0.0,0.0854,1.2242655754089355
3,1,partial_ot,1.0,-0.3584841191768646,0.0,0.0899,1.412235975265503
