dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
3,bc,1.0,2,-1.067460060119629,0.02080821990966797,0.09795000000000001,0.006649999999999996,0.0303,0.00040000000000000105
3,forward_kl,1.0,2,-0.5900129973888397,0.02003505825996399,0.006,0.0034000000000000002,0.044899999999999995,0.0005999999999999998
3,partial_ot,0.03,2,-0.36201001703739166,0.003233596682548523,0.0,0.0,0.08365,0.00435
3,partial_ot,0.05,2,-0.36211617290973663,0.0033520013093948364,5e-05,5e-05,0.0842,0.0008000000000000021
3,partial_ot,0.1,2,-0.35956521332263947,0.0021314769983291626,0.0,0.0,0.0842,0.0023999999999999994
3,partial_ot,0.3,2,-0.35835157334804535,0.0019423216581344604,0.0,0.0,0.0859,0.0015000000000000013
3,partial_ot,1.0,2,-0.36137014627456665,0.0028860270977020264,0.0,0.0,0.08545,0.004449999999999996
3,unbalanced_ot,0.03,2,-0.3612121194601059,0.0004957765340805054,0.0,0.0,0.08224999999999999,0.001349999999999997
3,unbalanced_ot,0.05,2,-0.36023516952991486,0.0006687790155410767,0.0,0.0,0.08524999999999999,0.0006500000000000047
3,unbalanced_ot,0.1,2,-0.35897955298423767,0.002411395311355591,5e-05,5e-05,0.0844,0.0022000000000000006
3,unbalanced_ot,0.3,2,-0.36198820173740387,0.0013756603002548218,0.0,0.0,0.08415,0.000449999999999999
3,unbalanced_ot,1.0,2,-0.3656174838542938,0.0006490051746368408,5e-05,5e-05,0.0853,0.0010000000000000009
3,wasserstein,0.03,2,-0.3606474697589874,0.0005129873752593994,5e-05,5e-05,0.0853,0.001799999999999996
3,wasserstein,0.05,2,-0.36241817474365234,0.0027121305465698242,5e-05,5e-05,0.08499999999999999,0.0023000000000000034
3,wasserstein,0.1,2,-0.36273086071014404,0.002564549446105957,0.0,0.0,0.08725,0.00315
3,wasserstein,0.3,2,-0.36429671943187714,7.732212543487549e-05,0.0,0.0,0.08265,0.001350000000000004
3,wasserstein,1.0,2,-0.37177614867687225,0.0025678426027297974,0.0,0.0,0.08535000000000001,5.000000000000143e-05
4,bc,1.0,2,-1.2177621126174927,0.026080608367919922,0.09765,0.005650000000000002,0.0165,0.0016000000000000007
4,forward_kl,1.0,2,-0.6462414264678955,0.043096840381622314,0.0049499999999999995,0.00365,0.03125,0.0023499999999999997
4,partial_ot,0.03,2,-0.4780459702014923,0.0008570551872253418,0.0,0.0,0.046700000000000005,0.0005999999999999998
4,partial_ot,0.05,2,-0.47798432409763336,4.859268665313721e-05,0.0,0.0,0.04675,0.002349999999999998
4,partial_ot,0.1,2,-0.4810027778148651,0.004530757665634155,0.0,0.0,0.0451,0.001299999999999999
4,partial_ot,0.3,2,-0.4787788391113281,0.004297196865081787,0.0002,0.0,0.0482,0.0011999999999999997
4,partial_ot,1.0,2,-0.47815607488155365,0.00240539014339447,0.0,0.0,0.050949999999999995,0.0005499999999999984
4,unbalanced_ot,0.03,2,-0.4850260466337204,0.00198151171207428,0.0001,0.0001,0.047,0.000899999999999998
4,unbalanced_ot,0.05,2,-0.47662702202796936,0.005511850118637085,0.0,0.0,0.04675,0.002149999999999999
4,unbalanced_ot,0.1,2,-0.47625261545181274,0.00489690899848938,0.0001,0.0001,0.0498,0.0009000000000000015
4,unbalanced_ot,0.3,2,-0.48152095079421997,0.0009638071060180664,0.0,0.0,0.044950000000000004,0.0009500000000000029
4,unbalanced_ot,1.0,2,-0.4832337945699692,0.003299221396446228,0.0,0.0,0.0435,0.002199999999999997
4,wasserstein,0.03,2,-0.4800846725702286,0.0005155354738235474,5e-05,5e-05,0.04735,0.0005499999999999984
4,wasserstein,0.05,2,-0.482902467250824,0.005014479160308838,0.0001,0.0,0.04875,0.002149999999999999
4,wasserstein,0.1,2,-0.48178422451019287,0.001649320125579834,5e-05,5e-05,0.048049999999999995,0.0005499999999999984
4,wasserstein,0.3,2,-0.48594674468040466,0.003036797046661377,0.0,0.0,0.04705,0.0002500000000000002
4,wasserstein,1.0,2,-0.48788268864154816,0.0030659884214401245,5e-05,5e-05,0.0446,0.0013999999999999985
5,bc,1.0,2,-1.3732566237449646,0.014202892780303955,0.09875,0.0027500000000000024,0.00805,0.0004500000000000003
5,forward_kl,1.0,2,-0.7100189030170441,0.035715252161026,0.00105,0.00095,0.0196,0.0014000000000000002
5,partial_ot,0.03,2,-0.6029437184333801,0.003939688205718994,0.0001,0.0001,0.02655,0.0020499999999999997
