dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
3,0,bc,1.0,-1.2701185941696167,0.0045,0.0214,7.085505485534668
3,0,forward_kl,1.0,-0.2689385712146759,0.0,0.078,-0.5731821656227112
3,0,wasserstein,0.03,-0.3625081479549408,0.0,0.0529,0.6980267763137817
3,0,partial_ot,0.03,-0.3566444218158722,0.0,0.0525,0.38431039452552795
3,0,unbalanced_ot,0.03,-0.3624626100063324,0.0,0.0509,0.4825870990753174
3,0,wasserstein,0.05,-0.3598974645137787,0.0,0.0514,0.9517152309417725
3,0,partial_ot,0.05,-0.35333964228630066,0.0,0.0497,0.4055657684803009
3,0,unbalanced_ot,0.05,-0.3601565659046173,0.0,0.0523,0.5534831881523132
3,0,wasserstein,0.1,-0.3651857376098633,0.0,0.0525,1.733940839767456
3,0,partial_ot,0.1,-0.3512113094329834,0.0,0.0529,0.4234509766101837
3,0,unbalanced_ot,0.1,-0.3676685094833374,0.0,0.0507,0.7880033254623413
3,0,wasserstein,0.3,-0.46696966886520386,0.0,0.0378,4.635523319244385
3,0,partial_ot,0.3,-0.3578927218914032,0.0,0.0501,0.3862268626689911
3,0,unbalanced_ot,0.3,-0.3717927634716034,0.0,0.0477,1.7950561046600342
3,0,wasserstein,1.0,-1.4317142963409424,0.007,0.0166,10.39275074005127
3,0,partial_ot,1.0,-0.3593516945838928,0.0,0.0517,0.3628225028514862
3,0,unbalanced_ot,1.0,-0.9077247977256775,0.0003,0.0242,7.283726215362549
3,1,bc,1.0,-1.298720359802246,0.0047,0.0198,7.64774227142334
3,1,forward_kl,1.0,-0.2685685157775879,0.0,0.0754,-0.5304732322692871
3,1,wasserstein,0.03,-0.3620820939540863,0.0,0.0512,0.6686309576034546
3,1,partial_ot,0.03,-0.36438196897506714,0.0,0.0526,0.37970128655433655
3,1,unbalanced_ot,0.03,-0.3551768660545349,0.0,0.0533,0.43640321493148804
3,1,wasserstein,0.05,-0.3603675067424774,0.0,0.0501,0.8487589359283447
3,1,partial_ot,0.05,-0.3593660593032837,0.0,0.0535,0.35067635774612427
3,1,unbalanced_ot,0.05,-0.3670508563518524,0.0,0.0484,0.6529626846313477
3,1,wasserstein,0.1,-0.3650033175945282,0.0,0.0514,1.553892970085144
3,1,partial_ot,0.1,-0.36216336488723755,0.0,0.0517,0.4126490354537964
3,1,unbalanced_ot,0.1,-0.3620010018348694,0.0,0.0496,0.7512426376342773
3,1,wasserstein,0.3,-0.4821779727935791,0.0,0.0357,3.7985453605651855
3,1,partial_ot,0.3,-0.35611197352409363,0.0,0.0505,0.39478570222854614
3,1,unbalanced_ot,0.3,-0.36510875821113586,0.0,0.0497,1.7919405698776245
3,1,wasserstein,1.0,-1.5348873138427734,0.0126,0.0136,9.981576919555664
3,1,partial_ot,1.0,-0.3615938425064087,0.0,0.0487,0.3389046788215637
3,1,unbalanced_ot,1.0,-0.8721648454666138,0.0004,0.0214,7.5515289306640625
4,0,bc,1.0,-1.3648430109024048,0.004,0.0115,7.110243797302246
4,0,forward_kl,1.0,-0.3543666899204254,0.0,0.0422,-0.8489233255386353
4,0,wasserstein,0.03,-0.4870542883872986,0.0,0.0258,0.9533436298370361
4,0,partial_ot,0.03,-0.4799814522266388,0.0,0.0226,0.46441495418548584
4,0,unbalanced_ot,0.03,-0.4818415641784668,0.0,0.0248,0.61858069896698
4,0,wasserstein,0.05,-0.48328495025634766,0.0,0.0229,0.917750358581543
4,0,partial_ot,0.05,-0.47477519512176514,0.0,0.0221,0.47307726740837097
4,0,unbalanced_ot,0.05,-0.48414701223373413,0.0,0.0274,0.6450057029724121
4,0,wasserstein,0.1,-0.4830162227153778,0.0,0.0232,1.6988695859909058
4,0,partial_ot,0.1,-0.4747716784477234,0.0,0.0251,0.4792175590991974
4,0,unbalanced_ot,0.1,-0.4888215959072113,0.0,0.0229,0.995071530342102
4,0,wasserstein,0.3,-0.5959122180938721,0.0,0.0195,4.117934226989746
4,0,partial_ot,0.3,-0.48183783888816833,0.0,0.0239,0.4502783417701721
4,0,unbalanced_ot,0.3,-0.4842313528060913,0.0,0.0246,1.8662711381912231
4,0,wasserstein,1.0,-1.5988820791244507,0.0092,0.007,11.108514785766602
4,0,partial_ot,1.0,-0.48328953981399536,0.0,0.0256,0.5081650018692017
4,0,unbalanced_ot,1.0,-1.0418459177017212,0.0002,0.0114,7.898453712463379
4,1,bc,1.0,-1.394167184829712,0.0053,0.0095,7.975297927856445
4,1,forward_kl,1.0,-0.35301274061203003,0.0,0.0448,-0.8491615056991577
4,1,wasserstein,0.03,-0.47543543577194214,0.0,0.0256,0.7707772254943848
4,1,partial_ot,0.03,-0.47463905811309814,0.0,0.0297,0.5059390664100647
4,1,unbalanced_ot,0.03,-0.47983497381210327,0.0,0.0238,0.6729986071586609
4,1,wasserstein,0.05,-0.4848673939704895,0.0,0.0228,1.0754673480987549
4,1,partial_ot,0.05,-0.484845370054245,0.0,0.0246,0.5287565588951111
4,1,unbalanced_ot,0.05,-0.4791736900806427,0.0,0.0243,0.7450886964797974
4,1,wasserstein,0.1,-0.49194130301475525,0.0,0.0239,1.7716293334960938
4,1,partial_ot,0.1,-0.47765105962753296,0.0,0.0265,0.5509490966796875
4,1,unbalanced_ot,0.1,-0.475617915391922,0.0,0.0269,0.9412224292755127
4,1,wasserstein,0.3,-0.5917389988899231,0.0,0.0157,3.700226306915283
4,1,partial_ot,0.3,-0.47697240114212036,0.0,0.0239,0.4358062446117401
4,1,unbalanced_ot,0.3,-0.4884515702724457,0.0,0.0232,1.9403784275054932
4,1,wasserstein,1.0,-1.6404671669006348,0.0118,0.0064,9.529557228088379
4,1,partial_ot,1.0,-0.4831450581550598,0.0,0.0263,0.4595268666744232
4,1,unbalanced_ot,1.0,-1.0323865413665771,0.0006,0.0104,7.728569507598877
5,0,bc,1.0,-1.5075799226760864,0.005,0.0052,7.344499111175537
5,0,forward_kl,1.0,-0.44124993681907654,0.0,0.024,-1.1301829814910889
5,0,wasserstein,0.03,-0.5997359156608582,0.0,0.0134,0.9802271127700806
5,0,partial_ot,0.03,-0.6039320826530457,0.0,0.0111,0.5247080326080322
5,0,unbalanced_ot,0.03,-0.5998828411102295,0.0,0.0125,0.7185865044593811
5,0,wasserstein,0.05,-0.6134242415428162,0.0,0.0121,1.2272248268127441
5,0,partial_ot,0.05,-0.5973528027534485,0.0,0.0105,0.5897643566131592
5,0,unbalanced_ot,0.05,-0.5981475114822388,0.0,0.0117,0.8831368088722229
5,0,wasserstein,0.1,-0.6125529408454895,0.0,0.0116,1.6796811819076538
5,0,partial_ot,0.1,-0.6022944450378418,0.0,0.0114,0.6223966479301453
5,0,unbalanced_ot,0.1,-0.6026191115379333,0.0,0.0103,1.1121923923492432
5,0,wasserstein,0.3,-0.7217044830322266,0.0,0.0083,4.012644290924072
5,0,partial_ot,0.3,-0.5958505868911743,0.0,0.011,0.6496906876564026
5,0,unbalanced_ot,0.3,-0.6099249720573425,0.0,0.0101,2.2186245918273926
5,0,wasserstein,1.0,-1.6995394229888916,0.009,0.0037,11.757551193237305
5,0,partial_ot,1.0,-0.6083242893218994,0.0,0.0107,0.6395825147628784
5,0,unbalanced_ot,1.0,-1.164975881576538,0.0004,0.0056,7.11810827255249
5,1,bc,1.0,-1.499877691268921,0.0061,0.0063,7.952511310577393
5,1,forward_kl,1.0,-0.4386056065559387,0.0,0.0247,-1.1215293407440186
5,1,wasserstein,0.03,-0.6033259034156799,0.0,0.0124,0.9035744667053223
5,1,partial_ot,0.03,-0.5961905121803284,0.0,0.0131,0.599446177482605
5,1,unbalanced_ot,0.03,-0.604420006275177,0.0,0.0105,0.6806867122650146
5,1,wasserstein,0.05,-0.6012215614318848,0.0,0.0102,1.0960150957107544
5,1,partial_ot,0.05,-0.6023801565170288,0.0,0.0118,0.612257182598114
5,1,unbalanced_ot,0.05,-0.5985372066497803,0.0,0.0119,0.8814457654953003
5,1,wasserstein,0.1,-0.6059204339981079,0.0,0.0151,1.9152469635009766
5,1,partial_ot,0.1,-0.6034813523292542,0.0,0.0119,0.5891937613487244
5,1,unbalanced_ot,0.1,-0.5978881120681763,0.0,0.0126,1.0976214408874512
5,1,wasserstein,0.3,-0.7179180383682251,0.0,0.0086,3.845262050628662
5,1,partial_ot,0.3,-0.5988526344299316,0.0,0.0124,0.5476186871528625
5,1,unbalanced_ot,0.3,-0.6090190410614014,0.0,0.0121,1.9464454650878906
5,1,wasserstein,1.0,-1.7382680177688599,0.0108,0.0038,11.788238525390625
5,1,partial_ot,1.0,-0.5967518091201782,0.0,0.013,0.6476629972457886
5,1,unbalanced_ot,1.0,-1.1239299774169922,0.0008,0.0056,6.502899169921875
8,0,bc,1.0,-1.8007240295410156,0.0048,0.0008,7.7499918937683105
8,0,forward_kl,1.0,-0.7039418816566467,0.0,0.0057,-1.9146273136138916
8,0,wasserstein,0.03,-0.9592764377593994,0.0,0.0015,1.3414214849472046
8,0,partial_ot,0.03,-0.9556817412376404,0.0,0.0017,0.9344834685325623
8,0,unbalanced_ot,0.03,-0.9574273228645325,0.0,0.002,1.1929833889007568
8,0,wasserstein,0.05,-0.964301586151123,0.0,0.0016,1.6395263671875
8,0,partial_ot,0.05,-0.9585958123207092,0.0,0.0012,0.9228900074958801
8,0,unbalanced_ot,0.05,-0.9649993181228638,0.0,0.0017,1.209455966949463
8,0,wasserstein,0.1,-0.9594757556915283,0.0,0.0011,2.1657607555389404
8,0,partial_ot,0.1,-0.9616878628730774,0.0,0.0018,0.9772672653198242
8,0,unbalanced_ot,0.1,-0.9612406492233276,0.0,0.0017,1.4295576810836792
8,0,wasserstein,0.3,-1.0567137002944946,0.0,0.0012,4.812780857086182
8,0,partial_ot,0.3,-0.9555821418762207,0.0,0.0017,0.890331506729126
8,0,unbalanced_ot,0.3,-0.962128221988678,0.0,0.001,2.5401620864868164
8,0,wasserstein,1.0,-2.046048402786255,0.0093,0.0005,13.50806999206543
8,0,partial_ot,1.0,-0.9573630094528198,0.0,0.0013,1.0102354288101196
8,0,unbalanced_ot,1.0,-1.5270599126815796,0.0005,0.0005,7.190576076507568
8,1,bc,1.0,-1.819059133529663,0.0063,0.001,8.60063362121582
8,1,forward_kl,1.0,-0.6997967958450317,0.0,0.0053,-1.9258959293365479
8,1,wasserstein,0.03,-0.9704256057739258,0.0,0.0021,1.377052664756775
8,1,partial_ot,0.03,-0.962109386920929,0.0,0.0014,0.9901815056800842
8,1,unbalanced_ot,0.03,-0.9667736291885376,0.0,0.0018,1.1124268770217896
8,1,wasserstein,0.05,-0.961136519908905,0.0,0.0018,1.843180537223816
8,1,partial_ot,0.05,-0.9502312541007996,0.0,0.0014,0.8976065516471863
8,1,unbalanced_ot,0.05,-0.9613621830940247,0.0,0.0015,1.273987889289856
8,1,wasserstein,0.1,-0.971912682056427,0.0,0.0014,2.240875005722046
8,1,partial_ot,0.1,-0.9612917900085449,0.0,0.0014,1.0811774730682373
8,1,unbalanced_ot,0.1,-0.964987576007843,0.0,0.0012,1.574774980545044
8,1,wasserstein,0.3,-1.0606857538223267,0.0,0.0007,4.761622428894043
8,1,partial_ot,0.3,-0.9563152194023132,0.0,0.0022,1.0211172103881836
8,1,unbalanced_ot,0.3,-0.9640921950340271,0.0,0.0016,2.6372506618499756
8,1,wasserstein,1.0,-2.144967555999756,0.0102,0.0006,11.844843864440918
8,1,partial_ot,1.0,-0.9546248912811279,0.0,0.0019,1.0708369016647339
8,1,unbalanced_ot,1.0,-1.4871472120285034,0.0006,0.0004,8.246967315673828
