dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
3,0,bc,1.0,-1.2701185941696167,0.0045,0.0214,7.085505485534668
3,0,forward_kl,1.0,-0.4440416991710663,0.0,0.0423,2.0318634510040283
3,0,wasserstein,0.03,-0.3703659474849701,0.0,0.0504,0.8478341102600098
3,0,partial_ot,0.03,-0.3589513301849365,0.0,0.0484,0.7904102206230164
3,0,unbalanced_ot,0.03,-0.35923200845718384,0.0,0.0534,0.34881892800331116
3,0,wasserstein,0.05,-0.36205390095710754,0.0,0.0506,1.0801329612731934
3,0,partial_ot,0.05,-0.3537364602088928,0.0,0.0532,0.4437183439731598
3,0,unbalanced_ot,0.05,-0.36331236362457275,0.0,0.0523,0.520938515663147
3,0,wasserstein,0.1,-0.360784649848938,0.0,0.0491,1.8134222030639648
3,0,partial_ot,0.1,-0.3517761826515198,0.0,0.0494,0.18960195779800415
3,0,unbalanced_ot,0.1,-0.36689022183418274,0.0,0.0497,0.4916475713253021
3,0,wasserstein,0.3,-0.47244638204574585,0.0,0.0346,4.824658393859863
3,0,partial_ot,0.3,-0.3625791072845459,0.0,0.0536,0.35205376148223877
3,0,unbalanced_ot,0.3,-0.3631231486797333,0.0,0.05,1.7337208986282349
3,0,wasserstein,1.0,-1.424967646598816,0.0073,0.016,10.254051208496094
3,0,partial_ot,1.0,-0.36171939969062805,0.0,0.0527,-0.09685182571411133
3,0,unbalanced_ot,1.0,-0.9468074440956116,0.0003,0.0219,7.351806163787842
3,1,bc,1.0,-1.298720359802246,0.0047,0.0198,7.64774227142334
3,1,forward_kl,1.0,-0.3570437729358673,0.0,0.0507,1.3845021724700928
3,1,wasserstein,0.03,-0.355899840593338,0.0,0.054,0.728073239326477
3,1,partial_ot,0.03,-0.3565119206905365,0.0,0.0528,-0.06906760483980179
3,1,unbalanced_ot,0.03,-0.36130592226982117,0.0,0.0499,0.3080686628818512
3,1,wasserstein,0.05,-0.36475640535354614,0.0,0.0485,0.9319266080856323
3,1,partial_ot,0.05,-0.3644755482673645,0.0,0.0501,0.6458876729011536
3,1,unbalanced_ot,0.05,-0.3625069260597229,0.0,0.0519,0.4549838900566101
3,1,wasserstein,0.1,-0.37440693378448486,0.0,0.0503,1.4474953413009644
3,1,partial_ot,0.1,-0.35999882221221924,0.0,0.0523,0.5462377071380615
3,1,unbalanced_ot,0.1,-0.35805386304855347,0.0,0.0517,1.1781213283538818
3,1,wasserstein,0.3,-0.4789268672466278,0.0,0.0341,3.511373996734619
3,1,partial_ot,0.3,-0.35615843534469604,0.0,0.0475,0.288873553276062
3,1,unbalanced_ot,0.3,-0.3617364168167114,0.0,0.0517,2.027425527572632
3,1,wasserstein,1.0,-1.5419811010360718,0.0119,0.0158,10.937481880187988
3,1,partial_ot,1.0,-0.3617877960205078,0.0,0.0515,0.5920782685279846
3,1,unbalanced_ot,1.0,-0.8870462775230408,0.0003,0.0225,6.843936920166016
4,0,bc,1.0,-1.3648430109024048,0.004,0.0115,7.110243797302246
4,0,forward_kl,1.0,-0.5018529295921326,0.0,0.0257,7.487060546875
4,0,wasserstein,0.03,-0.48081639409065247,0.0,0.0266,1.254570484161377
4,0,partial_ot,0.03,-0.4845064580440521,0.0,0.0248,0.4591566026210785
4,0,unbalanced_ot,0.03,-0.48178309202194214,0.0,0.023,0.7591397166252136
4,0,wasserstein,0.05,-0.4878641664981842,0.0,0.0233,0.957929253578186
4,0,partial_ot,0.05,-0.4747599959373474,0.0,0.0216,0.3517034351825714
4,0,unbalanced_ot,0.05,-0.4782828688621521,0.0,0.0242,0.7600422501564026
4,0,wasserstein,0.1,-0.48961636424064636,0.0,0.0242,1.8886163234710693
4,0,partial_ot,0.1,-0.480877548456192,0.0,0.0222,0.9692837595939636
4,0,unbalanced_ot,0.1,-0.4851219654083252,0.0,0.0229,0.9976474046707153
4,0,wasserstein,0.3,-0.593021810054779,0.0,0.0194,4.225512504577637
4,0,partial_ot,0.3,-0.4762299656867981,0.0,0.0245,0.7080075740814209
4,0,unbalanced_ot,0.3,-0.4893106520175934,0.0,0.0249,1.9600646495819092
4,0,wasserstein,1.0,-1.5745062828063965,0.0072,0.0084,10.900969505310059
4,0,partial_ot,1.0,-0.48743683099746704,0.0,0.026,0.45710673928260803
4,0,unbalanced_ot,1.0,-1.0069187879562378,0.0002,0.0108,7.756565093994141
4,1,bc,1.0,-1.394167184829712,0.0053,0.0095,7.975297927856445
4,1,forward_kl,1.0,-0.440614253282547,0.0,0.0319,-0.31615638732910156
4,1,wasserstein,0.03,-0.48462826013565063,0.0,0.0237,0.5583920478820801
4,1,partial_ot,0.03,-0.4778650403022766,0.0,0.0264,0.49704116582870483
4,1,unbalanced_ot,0.03,-0.4828566908836365,0.0,0.0235,0.4806853234767914
4,1,wasserstein,0.05,-0.48160186409950256,0.0,0.025,0.7967501878738403
4,1,partial_ot,0.05,-0.4834531247615814,0.0,0.0242,0.36068522930145264
4,1,unbalanced_ot,0.05,-0.4771171808242798,0.0,0.0237,0.5192375183105469
4,1,wasserstein,0.1,-0.4865955114364624,0.0,0.0258,2.0715770721435547
4,1,partial_ot,0.1,-0.4795924723148346,0.0,0.024,0.44319841265678406
4,1,unbalanced_ot,0.1,-0.4750753343105316,0.0,0.0274,0.9656313061714172
4,1,wasserstein,0.3,-0.5911990404129028,0.0,0.0173,3.7724075317382812
4,1,partial_ot,0.3,-0.4794163107872009,0.0,0.0248,0.635408878326416
4,1,unbalanced_ot,0.3,-0.48856231570243835,0.0,0.0227,1.8833324909210205
4,1,wasserstein,1.0,-1.6133191585540771,0.0096,0.0077,9.387493133544922
4,1,partial_ot,1.0,-0.47489380836486816,0.0,0.026,0.9261273145675659
