dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
3,0,bc,1.0,-1.2701185941696167,0.0045,0.0214,7.085505485534668
3,0,forward_kl,1.0,-0.6308185458183289,0.0,0.0255,2.7026209831237793
3,0,wasserstein,0.03,-0.36131104826927185,0.0,0.0526,1.6628084182739258
3,0,partial_ot,0.03,-0.36524224281311035,0.0,0.0472,0.392645925283432
3,0,unbalanced_ot,0.03,-0.3620026111602783,0.0,0.051,0.8762099146842957
3,0,wasserstein,0.05,-0.36759546399116516,0.0,0.0505,1.0930726528167725
3,0,partial_ot,0.05,-0.35878467559814453,0.0,0.0515,0.07220953702926636
3,0,unbalanced_ot,0.05,-0.3600199222564697,0.0,0.0525,0.8148747086524963
3,0,wasserstein,0.1,-0.37161004543304443,0.0,0.0496,1.9811606407165527
3,0,partial_ot,0.1,-0.3617216944694519,0.0,0.0486,1.5739448070526123
3,0,unbalanced_ot,0.1,-0.3625589907169342,0.0,0.0495,0.9454507827758789
3,0,wasserstein,0.3,-0.47098785638809204,0.0,0.0352,4.451224327087402
3,0,partial_ot,0.3,-0.3564164936542511,0.0,0.0527,0.7905288934707642
3,0,unbalanced_ot,0.3,-0.3656529486179352,0.0,0.0513,2.0362982749938965
3,0,wasserstein,1.0,-1.4717419147491455,0.0091,0.0154,10.69991397857666
3,0,partial_ot,1.0,-0.3647318482398987,0.0,0.0511,0.2227420061826706
3,0,unbalanced_ot,1.0,-0.9152613282203674,0.0003,0.0211,7.73126220703125
3,1,bc,1.0,-1.298720359802246,0.0047,0.0198,7.64774227142334
3,1,forward_kl,1.0,-0.6616413593292236,0.0,0.0266,0.39376792311668396
3,1,wasserstein,0.03,-0.3625720739364624,0.0,0.0512,0.06439119577407837
3,1,partial_ot,0.03,-0.358788400888443,0.0,0.0533,0.3842150866985321
3,1,unbalanced_ot,0.03,-0.361026793718338,0.0,0.0476,0.0566474050283432
3,1,wasserstein,0.05,-0.36200883984565735,0.0,0.053,0.2965300679206848
3,1,partial_ot,0.05,-0.3654690086841583,0.0,0.0525,0.0404171422123909
3,1,unbalanced_ot,0.05,-0.3614928722381592,0.0,0.0507,0.11653967201709747
3,1,wasserstein,0.1,-0.3662967383861542,0.0,0.0558,2.1550190448760986
3,1,partial_ot,0.1,-0.3574715852737427,0.0,0.0522,0.3095609247684479
