dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
3,bc,1.0,2,-1.2844194769859314,0.014300882816314697,0.0046,0.00010000000000000026,0.0206,0.0007999999999999986
3,forward_kl,1.0,2,-0.6462299525737762,0.015411406755447388,0.0,0.0,0.026049999999999997,0.0005500000000000001
3,partial_ot,0.03,2,-0.3620153218507767,0.003226920962333679,0.0,0.0,0.05025,0.0030500000000000006
3,partial_ot,0.05,2,-0.36212684214115143,0.003342166543006897,0.0,0.0,0.052,0.0005000000000000004
3,partial_ot,0.1,2,-0.3595966398715973,0.0021250545978546143,0.0,0.0,0.0504,0.001800000000000003
3,partial_ot,0.3,2,-0.35840532183647156,0.001988828182220459,0.0,0.0,0.05245,0.00024999999999999675
3,partial_ot,1.0,2,-0.36172090470790863,0.0030109435319900513,0.0,0.0,0.0516,0.0005000000000000004
3,unbalanced_ot,0.03,2,-0.36151470243930817,0.0004879087209701538,0.0,0.0,0.0493,0.0016999999999999967
3,unbalanced_ot,0.05,2,-0.36075639724731445,0.0007364749908447266,0.0,0.0,0.0516,0.000899999999999998
3,unbalanced_ot,0.1,2,-0.3600546419620514,0.0025043487548828125,0.0,0.0,0.052250000000000005,0.002749999999999999
3,unbalanced_ot,0.3,2,-0.3671085089445114,0.001455560326576233,0.0,0.0,0.050699999999999995,0.0005999999999999998
3,unbalanced_ot,1.0,2,-0.9201265573501587,0.00486522912979126,0.00045,0.00015,0.0216,0.0005000000000000004
3,wasserstein,0.03,2,-0.3619415611028671,0.0006305128335952759,0.0,0.0,0.0519,0.0006999999999999992
3,wasserstein,0.05,2,-0.36480215191841125,0.0027933120727539062,0.0,0.0,0.051750000000000004,0.0012499999999999976
3,wasserstein,0.1,2,-0.3689533919095993,0.0026566535234451294,0.0,0.0,0.0527,0.003100000000000002
3,wasserstein,0.3,2,-0.47553563117980957,0.004547774791717529,0.0,0.0,0.036449999999999996,0.0012499999999999976
3,wasserstein,1.0,2,-1.5089133381843567,0.03717142343521118,0.01015,0.0010499999999999997,0.0157,0.0002999999999999999
4,bc,1.0,2,-1.3795050978660583,0.014662086963653564,0.00465,0.00065,0.010499999999999999,0.001
4,forward_kl,1.0,2,-0.6109085977077484,0.06959900259971619,0.0,0.0,0.0184,0.0044
4,partial_ot,0.03,2,-0.4780708849430084,0.0008593499660491943,0.0,0.0,0.02465,0.00045000000000000075
4,partial_ot,0.05,2,-0.47800783812999725,4.793703556060791e-05,0.0,0.0,0.0235,0.001299999999999999
4,partial_ot,0.1,2,-0.48108555376529694,0.004568353295326233,0.0,0.0,0.02185,0.0001499999999999991
4,partial_ot,0.3,2,-0.4789638966321945,0.0044091492891311646,0.0,0.0,0.02515,0.0012499999999999994
4,partial_ot,1.0,2,-0.4785405397415161,0.0024269521236419678,0.0,0.0,0.02635,0.00035000000000000135
4,unbalanced_ot,0.03,2,-0.48532696068286896,0.0019109398126602173,0.0,0.0,0.0235,0.0001999999999999988
4,unbalanced_ot,0.05,2,-0.47713227570056915,0.0053748637437820435,0.0,0.0,0.024,0.001899999999999999
4,unbalanced_ot,0.1,2,-0.4774637967348099,0.0048723965883255005,0.0,0.0,0.0263,9.99999999999994e-05
4,unbalanced_ot,0.3,2,-0.4869402050971985,0.0008483231067657471,0.0,0.0,0.0218,0.0005000000000000004
4,unbalanced_ot,1.0,2,-1.0132821202278137,0.008923590183258057,0.00035,5.000000000000002e-05,0.0097,0.0008999999999999998
4,wasserstein,0.03,2,-0.4812947064638138,0.000590011477470398,0.0,0.0,0.0257,0.00040000000000000105
4,wasserstein,0.05,2,-0.48543502390384674,0.005277857184410095,0.0,0.0,0.02605,0.00145
4,wasserstein,0.1,2,-0.4875507801771164,0.0018537193536758423,0.0,0.0,0.02625,0.0008500000000000001
4,wasserstein,0.3,2,-0.5903508365154266,0.0039723217487335205,0.0,0.0,0.0186,0.0013000000000000008
4,wasserstein,1.0,2,-1.5942723751068115,0.015460968017578125,0.00855,0.0002500000000000002,0.0078,0.0002999999999999999
5,bc,1.0,2,-1.5037288069725037,0.0038511157035827637,0.00555,0.0005500000000000001,0.00575,0.0005500000000000001
5,forward_kl,1.0,2,-0.7929350137710571,0.06849545240402222,0.0,0.0,0.0072,0.0017999999999999995
5,partial_ot,0.03,2,-0.6029951572418213,0.00393909215927124,0.0,0.0,0.01,0.00020000000000000052
5,partial_ot,0.05,2,-0.5965896844863892,0.003041863441467285,0.0,0.0,0.012799999999999999,0.00019999999999999968
5,partial_ot,0.1,2,-0.6014292240142822,0.0024595260620117188,0.0,0.0,0.0108,0.0011000000000000003
5,partial_ot,0.3,2,-0.595531553030014,0.004320055246353149,0.0,0.0,0.011550000000000001,0.00014999999999999996
5,partial_ot,1.0,2,-0.6006036102771759,7.24494457244873e-05,0.0,0.0,0.0109,0.0008000000000000004
5,unbalanced_ot,0.03,2,-0.604709804058075,0.0018132328987121582,0.0,0.0,0.012750000000000001,0.0007499999999999998
5,unbalanced_ot,0.05,2,-0.5980738401412964,0.0018854737281799316,0.0,0.0,0.0131,0.00010000000000000026
5,unbalanced_ot,0.1,2,-0.599580854177475,0.006778150796890259,0.0,0.0,0.0113,0.0017000000000000001
5,unbalanced_ot,0.3,2,-0.6086039543151855,0.0021967291831970215,0.0,0.0,0.0116,0.00019999999999999968
5,unbalanced_ot,1.0,2,-1.1280306577682495,0.014124870300292969,0.0002,0.0,0.005,0.0008999999999999998
5,wasserstein,0.03,2,-0.6017285883426666,0.004377096891403198,0.0,0.0,0.011,0.0009000000000000006
5,wasserstein,0.05,2,-0.6052990257740021,0.0030612051486968994,0.0,0.0,0.0126,0.0008999999999999998
5,wasserstein,0.1,2,-0.6081930696964264,0.001018434762954712,0.0,0.0,0.01225,0.0009500000000000003
5,wasserstein,0.3,2,-0.7175797522068024,0.004192441701889038,0.0,0.0,0.008799999999999999,0.00010000000000000026
5,wasserstein,1.0,2,-1.7017748355865479,0.007423996925354004,0.009899999999999999,0.0009000000000000006,0.0044,0.0
8,bc,1.0,2,-1.8098915815353394,0.00916755199432373,0.005549999999999999,0.0007500000000000002,0.0009,9.999999999999999e-05
8,forward_kl,1.0,2,-1.1317184567451477,0.05355793237686157,0.0,0.0,0.001,0.00019999999999999993
8,partial_ot,0.03,2,-0.956998348236084,0.003075897693634033,0.0,0.0,0.00135,5.000000000000002e-05
