dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.6289994716644287,0.005,0.0286,8.896780014038086
2,0,forward_kl,1.0,-0.09825146943330765,0.0,0.17,-0.7357927560806274
2,0,l2_constraint,0.03,-0.16288591921329498,0.0,0.1044,0.9628479480743408
2,0,l2_constraint,0.05,-0.16614098846912384,0.0,0.1083,1.4469536542892456
2,0,l2_constraint,0.1,-0.16278603672981262,0.0,0.1084,2.7204089164733887
2,0,l2_constraint,0.3,-0.16723346710205078,0.0,0.1026,8.111442565917969
2,0,l2_constraint,1.0,-0.1714923083782196,0.0,0.1067,25.67470359802246
2,0,partial_ot,0.03,-0.23123930394649506,0.0,0.0776,-0.02614136040210724
2,0,partial_ot,0.05,-0.4223891496658325,0.0,0.0442,-0.49858489632606506
2,0,partial_ot,0.1,-1.4880276918411255,0.0,0.001,-2.8575448989868164
2,0,partial_ot,0.3,-3.1883480548858643,0.0062,0.0042,-12.757491111755371
2,0,partial_ot,1.0,-9.174284934997559,0.2615,0.0076,-114.9703140258789
2,0,reverse_kl,1.0,-0.04759129509329796,0.0,0.3271,-0.9969233274459839
2,0,unbalanced_ot,0.03,-0.16687987744808197,0.0,0.103,0.4640790820121765
2,0,unbalanced_ot,0.05,-0.16638943552970886,0.0,0.1101,0.6414090394973755
2,0,unbalanced_ot,0.1,-0.1722642183303833,0.0,0.101,0.9906280040740967
2,0,unbalanced_ot,0.3,-0.19587159156799316,0.0,0.0905,2.575697422027588
2,0,unbalanced_ot,1.0,-2.3513333797454834,0.0206,0.0207,14.544300079345703
2,0,wasserstein,0.03,-0.16710498929023743,0.0,0.1036,0.8508790731430054
2,0,wasserstein,0.05,-0.16996686160564423,0.0,0.1026,1.3704603910446167
2,0,wasserstein,0.1,-0.1849646419286728,0.0,0.0959,2.672239303588867
2,0,wasserstein,0.3,-0.6898111701011658,0.0,0.039,6.54972505569458
2,0,wasserstein,1.0,-2.71791934967041,0.0295,0.0199,20.144065856933594
