dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
2,bc,1.0,3,-1.627307653427124,0.003402221333706732,0.0056,0.0004898979485566355,0.02716666666666667,0.0010338708279513877
2,forward_kl,1.0,3,-0.5286900401115417,0.09862860349729718,0.0,0.0,0.04786666666666667,0.006269680126520721
2,l2_constraint,0.03,3,-0.16390550136566162,0.0004112877582173588,0.0,0.0,0.10836666666666667,0.0033079029946814073
2,l2_constraint,0.05,3,-0.16584371527036032,0.0018706728592121663,0.0,0.0,0.10459999999999998,0.0024779023386727753
2,l2_constraint,0.1,3,-0.16614525516827902,0.0016591582243448823,0.0,0.0,0.10516666666666667,0.001470449666674182
2,l2_constraint,0.3,3,-0.16676496962706247,0.0012216184615913154,0.0,0.0,0.1082,0.0024913182588073065
2,l2_constraint,1.0,3,-0.17719505230585733,0.0019160286581359767,0.0,0.0,0.10066666666666668,0.004190730511763101
2,partial_ot,0.03,3,-0.2639356404542923,0.028401712316756967,0.0,0.0,0.06676666666666665,0.006257972692671501
2,partial_ot,0.05,3,-0.5591179927190145,0.1526052261320651,0.0,0.0,0.0276,0.017376420805217625
2,partial_ot,0.1,3,-1.621483286221822,0.101581857955766,0.0,0.0,0.0005666666666666666,0.00024944382578492944
2,partial_ot,0.3,3,-3.234781185785929,0.05918562230259878,0.009800000000000001,0.007083784299369936,0.005433333333333334,0.0035036488915922434
2,partial_ot,1.0,3,-8.238639990488688,0.8003066038831643,0.22566666666666668,0.020608304690639227,0.006866666666666667,0.00127627931460511
2,reverse_kl,1.0,3,-0.6120339433352152,0.04922325335912574,0.0,0.0,0.0451,0.0021954498400100137
2,unbalanced_ot,0.03,3,-0.1656080981095632,0.0012757676156562926,0.0,0.0,0.10463333333333334,0.0005436502143433347
2,unbalanced_ot,0.05,3,-0.1664836804072062,0.00183874327518343,0.0,0.0,0.10693333333333332,0.0018116904322268259
2,unbalanced_ot,0.1,3,-0.16675295929114023,0.0015385822240010839,0.0,0.0,0.10646666666666665,0.002955597326354788
2,unbalanced_ot,0.3,3,-0.19192800919214884,0.0011455902375256766,0.0,0.0,0.0893,0.004313544559485466
2,unbalanced_ot,1.0,3,-2.2784038384755454,0.014974393003698967,0.018433333333333333,9.428090415820577e-05,0.020900000000000002,0.0009092121131323907
2,wasserstein,0.03,3,-0.17012823124726614,0.000717731391536046,0.0,0.0,0.10186666666666666,0.0023697163449568287
2,wasserstein,0.05,3,-0.1718925933043162,0.002578223939240531,0.0,0.0,0.10293333333333334,0.0026787227470485937
2,wasserstein,0.1,3,-0.1858184039592743,0.0015747580708725725,0.0,0.0,0.0954,0.0012192894105447906
2,wasserstein,0.3,3,-0.6970174511273702,0.019511768374496304,0.0,0.0,0.03886666666666667,0.0009392668535736928
2,wasserstein,1.0,3,-2.846954107284546,0.015281450704111743,0.034899999999999994,0.0016391054470859003,0.017733333333333334,0.0006649979114420009
4,bc,1.0,3,-1.755796988805135,0.013222687464709674,0.005866666666666667,0.00044969125210773475,0.008100000000000001,0.0005887840577551896
4,forward_kl,1.0,3,-0.7363608082135519,0.06024506266066151,0.0,0.0,0.008233333333333334,0.0013767917618708922
4,l2_constraint,0.03,3,-0.33071667949358624,0.002030129457162812,0.0,0.0,0.02103333333333333,0.0005249338582674541
4,l2_constraint,0.05,3,-0.3290602962176005,0.0013992004813799038,0.0,0.0,0.022266666666666667,0.000946337971105226
4,l2_constraint,0.1,3,-0.3324268360932668,0.0005137177205865346,0.0,0.0,0.022166666666666668,0.0012119772641798576
4,l2_constraint,0.3,3,-0.3331251045068105,0.0025136639864191336,0.0,0.0,0.021433333333333332,0.001014341603646863
4,l2_constraint,1.0,3,-0.34552718202273053,0.003458985327211809,0.0,0.0,0.0197,0.0015253414918196726
4,partial_ot,0.03,3,-0.3963128626346588,0.020067089180904153,0.0,0.0,0.015799999999999998,0.001920069443188623
4,partial_ot,0.05,3,-0.6532164812088013,0.06675552653495688,0.0,0.0,0.007066666666666666,0.002400462918318511
4,partial_ot,0.1,3,-1.821681300799052,0.32249594646172025,0.0,0.0,6.666666666666667e-05,9.428090415820635e-05
4,partial_ot,0.3,3,-3.406071980794271,0.19830515189054457,0.00030000000000000003,0.0003559026084010437,3.3333333333333335e-05,4.7140452079103176e-05
4,partial_ot,1.0,3,-9.005563735961914,0.0746298808420013,0.24133333333333332,0.0022050447211388255,0.0011333333333333334,0.0004496912521077347
4,reverse_kl,1.0,3,-0.6825636227925619,0.04755514397954037,0.0,0.0,0.014299999999999998,0.001557776192739722
4,unbalanced_ot,0.03,3,-0.3322838842868805,0.0033140225092935685,0.0,0.0,0.020666666666666667,0.000703957069398096
4,unbalanced_ot,0.05,3,-0.3326101799805959,0.0018315978657161148,0.0,0.0,0.02136666666666667,0.0009533566430716729
4,unbalanced_ot,0.1,3,-0.3346246083577474,0.002105057764173969,0.0,0.0,0.020566666666666664,0.0017441967269268173
4,unbalanced_ot,0.3,3,-0.35461615522702533,0.0009423158038421786,0.0,0.0,0.0193,0.0008602325267042619
4,unbalanced_ot,1.0,3,-2.453232208887736,0.05849940598052961,0.019066666666666666,0.0025302612952464464,0.004333333333333334,0.0003858612300930075
4,wasserstein,0.03,3,-0.3360049029191335,0.001402734381599709,0.0,0.0,0.022333333333333334,0.0008259674462242577
4,wasserstein,0.05,3,-0.3350147108236949,0.0036679228299283965,0.0,0.0,0.021066666666666668,0.000910433352249843
4,wasserstein,0.1,3,-0.3522544900576274,0.005208552573311832,0.0,0.0,0.018666666666666665,0.0004109609335312641
4,wasserstein,0.3,3,-0.847933312257131,0.021172877137811737,3.3333333333333335e-05,4.7140452079103176e-05,0.008166666666666666,0.0004784233364802442
4,wasserstein,1.0,3,-3.002737204233805,0.04534934207793904,0.034133333333333335,0.002452662951886287,0.0038666666666666663,0.0004496912521077348
8,bc,1.0,3,-1.990610957145691,0.025511689590366583,0.0058,0.0005887840577551898,0.0007666666666666667,4.714045207910318e-05
8,forward_kl,1.0,3,-0.9983214139938354,0.04111441878304214,0.0,0.0,0.0004333333333333333,0.0001247219128924647
8,l2_constraint,0.03,3,-0.6610647837320963,0.0013873865546613203,0.0,0.0,0.0009000000000000001,0.00021602468994692874
8,l2_constraint,0.05,3,-0.6570892930030823,0.003720562181600807,0.0,0.0,0.0011666666666666665,0.00028674417556808754
8,l2_constraint,0.1,3,-0.6588577628135681,0.004926758754625227,0.0,0.0,0.0011333333333333334,0.00036817870057290875
8,l2_constraint,0.3,3,-0.660805324713389,0.0009978959255483525,0.0,0.0,0.0012,0.0001632993161855452
8,l2_constraint,1.0,3,-0.6661882003148397,0.0015612880916255835,0.0,0.0,0.0009000000000000001,8.16496580927726e-05
8,partial_ot,0.03,3,-0.7197883526484171,0.04060408792808426,0.0,0.0,0.0009333333333333332,0.0002494438257849294
8,partial_ot,0.05,3,-0.9554524421691895,0.1620132121484017,0.0,0.0,0.0003333333333333333,0.00020548046676563254
8,partial_ot,0.1,3,-1.4607655604680378,0.18306802749951961,0.0,0.0,0.0001,8.164965809277261e-05
8,partial_ot,0.3,3,-2.96236244837443,0.36314366584535307,0.0026666666666666666,0.003630733014450694,0.0001333333333333333,0.0001247219128924647
8,partial_ot,1.0,3,-7.951558748881022,0.8247294928067034,0.1980333333333333,0.02701411153864258,6.666666666666667e-05,9.428090415820634e-05
