dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-0.9690250158309937,0.1106,0.0599,1.9038366079330444
2,0,forward_kl,1.0,-0.10516336560249329,0.0,0.3269,-0.6263664960861206
2,0,l2_constraint,0.03,-0.1627431958913803,0.0,0.2226,0.24138230085372925
2,0,l2_constraint,0.05,-0.1659860759973526,0.0,0.2254,0.23851361870765686
2,0,l2_constraint,0.1,-0.16257138550281525,0.0,0.2205,0.31072521209716797
2,0,l2_constraint,0.3,-0.1640046238899231,0.0,0.2221,0.619251549243927
2,0,l2_constraint,1.0,-0.16696012020111084,0.0,0.2271,1.4214961528778076
2,0,partial_ot,0.03,-0.19227826595306396,0.0,0.1877,-2.0966053009033203
2,0,partial_ot,0.05,-0.2995818853378296,0.0006,0.1283,-3.738154649734497
2,0,partial_ot,0.1,-0.7976253628730774,0.034,0.037,-5.819658279418945
2,0,partial_ot,0.3,-1.1947226524353027,0.1152,0.0379,-25.18663787841797
2,0,partial_ot,1.0,-7.990909576416016,0.5428,0.0065,-78.52639770507812
2,0,reverse_kl,1.0,-0.060551051050424576,0.0,0.4975,-0.6977598667144775
2,0,unbalanced_ot,0.03,-0.16636411845684052,0.0,0.228,0.17848451435565948
2,0,unbalanced_ot,0.05,-0.16540521383285522,0.0,0.2263,0.1758100390434265
2,0,unbalanced_ot,0.1,-0.1698075830936432,0.0,0.2122,0.21896769106388092
2,0,unbalanced_ot,0.3,-0.16938437521457672,0.0,0.2132,0.3568180501461029
2,0,unbalanced_ot,1.0,-0.16621710360050201,0.0,0.2176,0.721125602722168
2,0,wasserstein,0.03,-0.16432024538516998,0.0,0.2245,0.1929929405450821
2,0,wasserstein,0.05,-0.16398949921131134,0.0,0.2269,0.21599236130714417
2,0,wasserstein,0.1,-0.1663498431444168,0.0,0.2183,0.25703707337379456
2,0,wasserstein,0.3,-0.16911062598228455,0.0,0.2148,0.4815686345100403
2,0,wasserstein,1.0,-0.1741897165775299,0.0,0.2085,1.0249065160751343
2,1,bc,1.0,-0.9981694221496582,0.1159,0.055,1.7485251426696777
2,1,forward_kl,1.0,-0.1032450944185257,0.0,0.334,-0.599372386932373
2,1,l2_constraint,0.03,-0.1671253740787506,0.0,0.2213,0.21474285423755646
2,1,l2_constraint,0.05,-0.16706904768943787,0.0,0.2199,0.23175807297229767
2,1,l2_constraint,0.1,-0.1660408228635788,0.0,0.216,0.34527719020843506
2,1,l2_constraint,0.3,-0.1649213433265686,0.0,0.2201,0.7334528565406799
2,1,l2_constraint,1.0,-0.16387610137462616,0.0,0.2243,1.7907055616378784
2,1,partial_ot,0.03,-0.1997273862361908,0.0,0.1905,-2.0800137519836426
2,1,partial_ot,0.05,-0.23822499811649323,0.0001,0.1631,-3.7195231914520264
2,1,partial_ot,0.1,-0.7912114262580872,0.0338,0.0323,-7.163834571838379
2,1,partial_ot,0.3,-1.5207808017730713,0.1523,0.0284,-17.224323272705078
2,1,partial_ot,1.0,-6.221979141235352,0.4724,0.0056,-67.77381134033203
2,1,reverse_kl,1.0,-0.05901343375444412,0.0,0.502,-0.5387250185012817
2,1,unbalanced_ot,0.03,-0.16298118233680725,0.0,0.2211,0.17275838553905487
2,1,unbalanced_ot,0.05,-0.16786396503448486,0.0,0.2144,0.22240521013736725
2,1,unbalanced_ot,0.1,-0.16696619987487793,0.0,0.224,0.21593481302261353
2,1,unbalanced_ot,0.3,-0.16716238856315613,0.0,0.2194,0.3196457028388977
2,1,unbalanced_ot,1.0,-0.16564546525478363,0.0,0.2225,0.8058781027793884
2,1,wasserstein,0.03,-0.16645334661006927,0.0,0.2195,0.2149997055530548
2,1,wasserstein,0.05,-0.16391335427761078,0.0,0.2241,0.1855374276638031
2,1,wasserstein,0.1,-0.164335697889328,0.0,0.227,0.3230955898761749
2,1,wasserstein,0.3,-0.16883333027362823,0.0,0.2223,0.4344325661659241
2,1,wasserstein,1.0,-0.17415070533752441,0.0,0.2118,1.3296470642089844
2,2,bc,1.0,-0.9871206283569336,0.1152,0.0589,1.7401106357574463
2,2,forward_kl,1.0,-0.10469448566436768,0.0,0.3289,-0.6379339694976807
2,2,l2_constraint,0.03,-0.16324451565742493,0.0,0.2242,0.1912287026643753
2,2,l2_constraint,0.05,-0.16713322699069977,0.0,0.2191,0.2136227786540985
2,2,l2_constraint,0.1,-0.1663687378168106,0.0,0.2294,0.2757697105407715
2,2,l2_constraint,0.3,-0.16846035420894623,0.0,0.2153,0.602317750453949
2,2,l2_constraint,1.0,-0.16652236878871918,0.0,0.2133,1.717633843421936
2,2,partial_ot,0.03,-0.19370077550411224,0.0,0.1908,-2.5546700954437256
2,2,partial_ot,0.05,-0.3756381571292877,0.0011,0.0927,-3.8215017318725586
2,2,partial_ot,0.1,-0.7061366438865662,0.0213,0.0378,-7.328157424926758
2,2,partial_ot,0.3,-2.109485626220703,0.2693,0.0231,-16.723989486694336
2,2,partial_ot,1.0,-5.989791393280029,0.4793,0.0089,-57.701133728027344
2,2,reverse_kl,1.0,-0.05759816989302635,0.0,0.5094,-0.7051646709442139
2,2,unbalanced_ot,0.03,-0.16385288536548615,0.0,0.2254,0.21737638115882874
2,2,unbalanced_ot,0.05,-0.16508617997169495,0.0,0.2247,0.21164563298225403
2,2,unbalanced_ot,0.1,-0.16306930780410767,0.0,0.2307,0.2104341685771942
2,2,unbalanced_ot,0.3,-0.16469135880470276,0.0,0.2189,0.2986627519130707
2,2,unbalanced_ot,1.0,-0.16830609738826752,0.0,0.2138,0.7173703908920288
2,2,wasserstein,0.03,-0.16317474842071533,0.0,0.2273,0.19244743883609772
