dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
2,bc,1.0,3,-0.9847716887791952,0.01201352689739787,0.1139,0.0023508863576673926,0.05793333333333334,0.002113974666094391
2,forward_kl,1.0,3,-0.17493745684623718,0.008612830076006526,0.0,0.0,0.21403333333333333,0.008535937102756916
2,l2_constraint,0.03,3,-0.16619835793972015,0.0024368753174118466,0.0,0.0,0.2194,0.0045526549030940906
2,l2_constraint,0.05,3,-0.16789031028747559,0.000240195049898962,0.0,0.0,0.2208,0.0005099019513592823
2,l2_constraint,0.1,3,-0.165646160642306,0.0007530159351106285,0.0,0.0,0.21943333333333334,0.0026849374087469647
2,l2_constraint,0.3,3,-0.16601490477720895,0.00031401785476447745,0.0,0.0,0.22186666666666666,0.003963444069100615
2,l2_constraint,1.0,3,-0.1642735501130422,0.0012053015793565423,0.0,0.0,0.2275,0.0031822423959633702
2,partial_ot,0.03,3,-0.197475994626681,0.0027332656751871552,3.3333333333333335e-05,4.7140452079103176e-05,0.19176666666666664,0.004212943019895812
2,partial_ot,0.05,3,-0.2951166282097499,0.05558654287895396,0.0005,0.000565685424949238,0.13126666666666667,0.026704473199988213
2,partial_ot,0.1,3,-0.7674738764762878,0.02790476831856149,0.030966666666666667,0.0035178907822096413,0.03403333333333333,0.0026537185649993518
2,partial_ot,0.3,3,-1.5589215358098347,0.28226341901335744,0.1753,0.050081333848051614,0.029733333333333334,0.004883532419149984
2,partial_ot,1.0,3,-6.8621236483256025,0.8037120179244928,0.49720000000000003,0.01970126899466124,0.006066666666666667,0.00016996731711975955
2,reverse_kl,1.0,3,-0.1636181672414144,0.006187632689554517,0.0,0.0,0.22529999999999997,0.01110075072536388
2,unbalanced_ot,0.03,3,-0.16594702502091727,0.0011746436876599558,0.0,0.0,0.21996666666666667,0.0008730533902472553
2,unbalanced_ot,0.05,3,-0.16357714434464773,0.0030741717490073333,0.0,0.0,0.2257,0.004216633728461602
2,unbalanced_ot,0.1,3,-0.16519943873087564,0.003012812662812689,0.0,0.0,0.22096666666666667,0.005313086568924778
2,unbalanced_ot,0.3,3,-0.1645194093386332,0.001741613980606351,0.0,0.0,0.22186666666666666,0.0021545816814923075
2,unbalanced_ot,1.0,3,-0.1697083314259847,0.0025522033128318527,0.0,0.0,0.2193333333333333,0.005700487308604023
2,wasserstein,0.03,3,-0.1656956970691681,0.002857783828344541,0.0,0.0,0.22343333333333334,0.002444494948973215
2,wasserstein,0.05,3,-0.1665394902229309,0.0017038554716987358,0.0,0.0,0.22183333333333333,0.005169354139756946
2,wasserstein,0.1,3,-0.16649321218331656,0.001963242399433539,0.0,0.0,0.2219,0.006861972505531243
2,wasserstein,0.3,3,-0.17055281500021616,0.0022203253061867274,0.0,0.0,0.2162666666666667,0.005363042254375982
2,wasserstein,1.0,3,-0.17451169093449911,0.0010593752074892593,0.0,0.0,0.21296666666666667,0.0021202725191718963
4,bc,1.0,3,-1.270925482114156,0.017211472281416784,0.11383333333333333,0.003913509365717116,0.016,0.001667333200053307
4,forward_kl,1.0,3,-0.3040808141231537,0.01001123111182359,3.3333333333333335e-05,4.7140452079103176e-05,0.10853333333333333,0.004741542177627674
4,l2_constraint,0.03,3,-0.32911354303359985,0.001431905428854456,0.0,0.0,0.0931,0.002111871208194285
4,l2_constraint,0.05,3,-0.33368144432703656,0.004706960893422518,0.0,0.0,0.09033333333333333,0.0032499572646762956
4,l2_constraint,0.1,3,-0.32958949605623883,0.0019683486062529814,0.0,0.0,0.0904,0.0008164965809277268
4,l2_constraint,0.3,3,-0.3330218195915222,0.0029563230017072635,0.0,0.0,0.08883333333333332,0.001249888883950178
4,l2_constraint,1.0,3,-0.3289187451203664,0.0003247650131202544,0.0,0.0,0.09250000000000001,0.00032659863237108843
4,partial_ot,0.03,3,-0.3741100033124288,0.006536994123913662,3.3333333333333335e-05,4.714045207910317e-05,0.07473333333333333,0.0035188381921057725
4,partial_ot,0.05,3,-0.4839397370815277,0.062083416826513804,0.00030000000000000003,0.0003559026084010437,0.045566666666666665,0.011377267783708978
4,partial_ot,0.1,3,-0.8286318182945251,0.20083190321552538,0.017966666666666666,0.020186684280045157,0.019,0.005941941321375251
4,partial_ot,0.3,3,-2.144804080327352,0.2477029567128415,0.14633333333333334,0.05031807715810382,0.0032999999999999995,0.0011775681155103794
4,partial_ot,1.0,3,-9.954660733540853,0.5033579510095895,0.5144000000000001,0.014949470447700374,0.0001,8.164965809277261e-05
4,reverse_kl,1.0,3,-0.24508023262023926,0.007931902501647893,0.0,0.0,0.1512,0.006945502141674133
4,unbalanced_ot,0.03,3,-0.3320222993691762,0.002125659795337797,0.0,0.0,0.08806666666666667,0.00044969125210773627
4,unbalanced_ot,0.05,3,-0.33046695590019226,0.0013047120701865761,0.0,0.0,0.0896,0.0013140268896284651
4,unbalanced_ot,0.1,3,-0.32995279630025226,0.002113902625310989,0.0,0.0,0.08760000000000001,0.0011045361017187239
4,unbalanced_ot,0.3,3,-0.3298106590906779,0.00030917163216886935,0.0,0.0,0.09223333333333333,0.0019067132861433432
4,unbalanced_ot,1.0,3,-0.33283354838689166,0.0021499081169104287,0.0,0.0,0.08833333333333332,0.0019482185594936609
4,wasserstein,0.03,3,-0.33310360709826153,0.002967560796478987,0.0,0.0,0.08836666666666666,0.0037366057086910113
4,wasserstein,0.05,3,-0.3306668698787689,0.0010852511833229427,0.0,0.0,0.09043333333333332,0.0029272664533466857
4,wasserstein,0.1,3,-0.33333806196848553,0.0012324090360723904,0.0,0.0,0.08600000000000001,0.0035580893749314387
4,wasserstein,0.3,3,-0.3352918823560079,0.0022311799808429626,0.0,0.0,0.08839999999999999,0.001551343503762677
4,wasserstein,1.0,3,-0.3433232108751933,0.0013038901094775844,0.0,0.0,0.08736666666666666,0.003442221504913489
8,bc,1.0,3,-1.8600261211395264,0.015591420250029072,0.1151,0.00581262992686328,0.0014000000000000002,0.00021602468994692865
8,forward_kl,1.0,3,-0.4990413884321849,0.028771496816670534,0.0,0.0,0.04836666666666667,0.006247310532452253
8,l2_constraint,0.03,3,-0.6581655542055765,0.00275753882110056,0.0,0.0,0.0183,0.0011224972160321829
8,l2_constraint,0.05,3,-0.6597932179768881,0.004457038986917692,0.0,0.0,0.017533333333333335,0.0006018490028422603
8,l2_constraint,0.1,3,-0.6612570484479269,0.006626088482572975,0.0,0.0,0.019333333333333334,0.0025381533094401966
8,l2_constraint,0.3,3,-0.6613833705584208,0.0027721295365209573,0.0,0.0,0.01946666666666667,0.00047140452079103207
8,l2_constraint,1.0,3,-0.6616338888804117,0.0033631029047603666,0.0,0.0,0.019100000000000002,0.0009273618495495706
8,partial_ot,0.03,3,-0.7192556858062744,0.0045494032717987585,0.0,0.0,0.014733333333333334,0.0012472191289246476
8,partial_ot,0.05,3,-0.7656795183817545,0.0006955617056406476,0.0,0.0,0.010700000000000001,0.001557776192739723
8,partial_ot,0.1,3,-0.9202934106191,0.019861449552966683,0.0007666666666666667,0.00024944382578492944,0.006166666666666667,0.0004642796092394704
8,partial_ot,0.3,3,-2.4908878803253174,0.2337153936070843,0.07010000000000001,0.055278446673786584,0.00016666666666666666,0.0001247219128924647
8,partial_ot,1.0,3,-9.990754763285318,0.22029035889670123,0.408,0.024309257495859476,0.0,0.0
8,reverse_kl,1.0,3,-0.282416969537735,0.05182119221626432,0.0,0.0,0.23486666666666667,0.10223532766232142
8,unbalanced_ot,0.03,3,-0.661117156346639,0.0010543387538800354,0.0,0.0,0.021166666666666667,0.0023156472577277884
8,unbalanced_ot,0.05,3,-0.6605352958043417,0.0026653159073422444,0.0,0.0,0.01896666666666667,0.0008379870059984349
8,unbalanced_ot,0.1,3,-0.6565836866696676,0.002475099109881828,0.0,0.0,0.021533333333333335,0.0005557777333511021
8,unbalanced_ot,0.3,3,-0.6575705806414286,0.0032497146215103023,0.0,0.0,0.017233333333333333,0.0007363574011458187
8,unbalanced_ot,1.0,3,-0.6653282245000204,0.0029930256391990356,0.0,0.0,0.018199999999999997,0.0023846732830026564
8,wasserstein,0.03,3,-0.6638666391372681,0.0019918694228037736,0.0,0.0,0.019533333333333333,0.0016110727964792763
8,wasserstein,0.05,3,-0.6604356567064921,0.0014072317995369068,0.0,0.0,0.019133333333333336,0.0007408703590297621
8,wasserstein,0.1,3,-0.6624699234962463,0.0009442465009692638,0.0,0.0,0.019566666666666666,0.000984321537348893
