dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-0.9690250158309937,0.1106,0.0599,1.9038366079330444
2,0,forward_kl,1.0,-0.39589500427246094,0.0062,0.1083,0.2732628285884857
2,0,l2_constraint,0.03,-0.16437087953090668,0.0,0.2207,-0.1212163120508194
2,0,l2_constraint,0.05,-0.1665506511926651,0.0,0.2234,0.1387970745563507
2,0,l2_constraint,0.1,-0.16467511653900146,0.0,0.2258,1.1146743297576904
2,0,l2_constraint,0.3,-0.16539326310157776,0.0,0.2257,0.8925316333770752
2,0,l2_constraint,1.0,-0.16745257377624512,0.0,0.2138,1.3484238386154175
2,0,partial_ot,0.03,-0.19122323393821716,0.0,0.1934,-1.7618285417556763
2,0,partial_ot,0.05,-0.3030537962913513,0.0003,0.1251,-3.67936110496521
2,0,partial_ot,0.1,-0.7858871221542358,0.0304,0.0339,-5.985013008117676
2,0,partial_ot,0.3,-1.181260585784912,0.1142,0.0331,-25.480892181396484
2,0,partial_ot,1.0,-8.062600135803223,0.523,0.0052,-87.51543426513672
2,0,reverse_kl,1.0,-0.43227291107177734,0.0103,0.1006,0.5811352729797363
2,0,unbalanced_ot,0.03,-0.16442705690860748,0.0,0.2207,0.5623889565467834
2,0,unbalanced_ot,0.05,-0.16381008923053741,0.0,0.218,0.6860479116439819
2,0,unbalanced_ot,0.1,-0.1623421609401703,0.0,0.2225,0.3584563136100769
2,0,unbalanced_ot,0.3,-0.16729658842086792,0.0,0.2142,0.3437161445617676
2,0,unbalanced_ot,1.0,-0.1668103188276291,0.0,0.2193,1.5099596977233887
2,0,wasserstein,0.03,-0.16674350202083588,0.0,0.2169,-0.10372835397720337
2,0,wasserstein,0.05,-0.16923964023590088,0.0,0.2175,1.4936127662658691
2,0,wasserstein,0.1,-0.16524191200733185,0.0,0.2144,0.19660910964012146
2,0,wasserstein,0.3,-0.17334358394145966,0.0,0.2102,0.5454385876655579
2,0,wasserstein,1.0,-0.17608439922332764,0.0,0.2112,0.6961738467216492
2,1,bc,1.0,-0.9981694221496582,0.1159,0.055,1.7485251426696777
2,1,forward_kl,1.0,-0.40518710017204285,0.0088,0.11,0.2394528090953827
2,1,l2_constraint,0.03,-0.16350814700126648,0.0,0.2251,-0.3934561312198639
2,1,l2_constraint,0.05,-0.16330964863300323,0.0,0.225,1.290645956993103
2,1,l2_constraint,0.1,-0.1690628081560135,0.0,0.2193,-0.27152130007743835
2,1,l2_constraint,0.3,-0.16453808546066284,0.0,0.2212,1.1611461639404297
2,1,l2_constraint,1.0,-0.1658945530653,0.0,0.2289,2.525117874145508
2,1,partial_ot,0.03,-0.1987103819847107,0.0,0.1859,-2.717276096343994
2,1,partial_ot,0.05,-0.23439782857894897,0.0,0.1601,-2.9915835857391357
2,1,partial_ot,0.1,-0.7986969947814941,0.0334,0.0324,-7.143800258636475
2,1,partial_ot,0.3,-1.6537538766860962,0.1683,0.0225,-17.646562576293945
2,1,partial_ot,1.0,-6.516114711761475,0.4923,0.007,-70.10736083984375
