dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
2,bc,1.0,3,-0.9847716887791952,0.01201352689739787,0.1139,0.0023508863576673926,0.05793333333333334,0.002113974666094391
2,forward_kl,1.0,3,-0.4427785972754161,0.059853244957456704,0.010700000000000001,0.004648297179254642,0.10026666666666667,0.012582086030896817
2,l2_constraint,0.03,3,-0.16381960610548654,0.00039090496365427516,0.0,0.0,0.22669999999999998,0.005666274496233542
2,l2_constraint,0.05,3,-0.16564756631851196,0.0016673498523786447,0.0,0.0,0.22146666666666667,0.003920317447463776
2,l2_constraint,0.1,3,-0.166243185599645,0.0019979571310041484,0.0,0.0,0.22119999999999998,0.0032690467519854586
2,l2_constraint,0.3,3,-0.1643794377644857,0.0008995746993951796,0.0,0.0,0.22696666666666668,0.005301781671182709
2,l2_constraint,1.0,3,-0.16646391650040945,0.0007017656909950776,0.0,0.0,0.2231,0.006642790578263527
2,partial_ot,0.03,3,-0.19511958956718445,0.003064242497439086,0.0,0.0,0.18969999999999998,0.0030626785662227025
2,partial_ot,0.05,3,-0.3003812332948049,0.05281797348780182,0.0004333333333333333,0.00041899350299921784,0.12706666666666666,0.026205639766194517
2,partial_ot,0.1,3,-0.7355416417121887,0.08042741081252697,0.026399999999999996,0.00787400787401181,0.037899999999999996,0.00674536878161602
2,partial_ot,0.3,3,-1.6407772302627563,0.3700098691328339,0.18266666666666667,0.062597781288335,0.0268,0.00455265490309409
2,partial_ot,1.0,3,-6.844716389973958,0.8910747213457012,0.49760000000000004,0.01894958222934393,0.006866666666666667,0.0013097921802925666
2,reverse_kl,1.0,3,-0.32635600368181866,0.07650030524550344,0.004,0.004456455991031438,0.13286666666666666,0.023995323618479402
2,unbalanced_ot,0.03,3,-0.16507447262605032,0.0012921647381019862,0.0,0.0,0.22163333333333335,0.0008219218670625312
2,unbalanced_ot,0.05,3,-0.1655415097872416,0.0018905356111773432,0.0,0.0,0.2185,0.0038131351929875136
2,unbalanced_ot,0.1,3,-0.16444700956344604,0.0014889097195957405,0.0,0.0,0.2247,0.003840138886377243
2,unbalanced_ot,0.3,3,-0.16683230797449747,0.0004329988896950813,0.0,0.0,0.21646666666666667,0.004845157949495105
2,unbalanced_ot,1.0,3,-0.16806424160798392,0.0008921915393294637,0.0,0.0,0.22146666666666667,0.002151485275080652
