dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
2,bc,1.0,3,-1.6221022208531697,0.0028244747814175127,0.0204,0.0009933109617167564,0.038066666666666665,0.0008178562764256863
2,forward_kl,1.0,3,-0.10355174541473389,0.00036817035794884425,0.0,0.0,0.24380000000000002,0.002616613587572055
2,l2_constraint,0.03,3,-0.16439248621463776,0.0019132597049897277,0.0,0.0,0.16046666666666667,0.0021791945504908206
2,l2_constraint,0.05,3,-0.16679819921652475,0.0005545457668424987,0.0,0.0,0.15970000000000004,0.003203123475609397
2,l2_constraint,0.1,3,-0.16534878810246786,0.002049840622437408,0.0,0.0,0.16206666666666666,0.002845268977716436
2,l2_constraint,0.3,3,-0.16567285855611166,0.001734177807914317,0.0,0.0,0.15873333333333337,0.0019293061504650265
2,l2_constraint,1.0,3,-0.17070881028970084,0.003156858081952064,0.0,0.0,0.15683333333333332,0.0072417002300718125
2,partial_ot,0.03,3,-0.22004014253616333,0.01533613902757568,0.0,0.0,0.122,0.006003887629417014
2,partial_ot,0.05,3,-0.36309322714805603,0.09825994931586622,0.0,0.0,0.07733333333333332,0.025513438724632076
2,partial_ot,0.1,3,-1.3615364631017048,0.15692910861630865,0.0,0.0,0.0036333333333333335,0.0023809428571238095
2,partial_ot,0.3,3,-3.5144475301106772,0.18361682247573793,0.06930000000000001,0.0016872067646458316,0.008133333333333333,0.002479695321786305
2,partial_ot,1.0,3,-8.865856329600016,1.3672404665796245,0.3345666666666667,0.04049891630923257,0.008966666666666666,0.0029408993333483705
2,reverse_kl,1.0,3,-0.05742077281077703,0.001224555517236876,0.0,0.0,0.3974666666666667,0.007475441272742507
2,unbalanced_ot,0.03,3,-0.16464782257874808,0.0014591579416530591,0.0,0.0,0.16196666666666668,0.0013274871834493174
2,unbalanced_ot,0.05,3,-0.16665247082710266,0.0012081636517831207,0.0,0.0,0.16246666666666668,0.005216214037871609
2,unbalanced_ot,0.1,3,-0.16771979133288065,0.002710105474905079,0.0,0.0,0.15896666666666667,0.003092284304882437
2,unbalanced_ot,0.3,3,-0.17343869805335999,0.002111151751337027,0.0,0.0,0.15309999999999999,0.0030822070014844788
2,unbalanced_ot,1.0,3,-0.7716929316520691,0.021581482173549812,0.0006666666666666666,0.0001699673171197595,0.05603333333333333,0.000833999733546454
2,wasserstein,0.03,3,-0.16624564925829569,0.0013903248912574024,0.0,0.0,0.16,0.0005715476066494133
2,wasserstein,0.05,3,-0.16747194528579712,0.0006248905917515367,0.0,0.0,0.15969999999999998,0.001925270543759152
2,wasserstein,0.1,3,-0.17474615077177683,0.002231175403797625,0.0,0.0,0.15180000000000002,0.0052332271751441
2,wasserstein,0.3,3,-0.3173118531703949,0.004761474565875093,0.0,0.0,0.09826666666666667,0.0031794478905761135
2,wasserstein,1.0,3,-1.5609878698984783,0.02680858354505834,0.016033333333333333,0.0015839472494022298,0.03956666666666667,0.0016779617264870963
4,bc,1.0,3,-1.788779576619466,0.011260018976558378,0.021099999999999997,0.0015121728296285002,0.013433333333333334,0.0008730533902472526
4,forward_kl,1.0,3,-0.18927274147669473,0.001052268607549736,0.0,0.0,0.12586666666666668,0.004014418457953227
4,l2_constraint,0.03,3,-0.33052314321200055,0.0007367094447451642,0.0,0.0,0.04803333333333334,0.0016739839372652962
4,l2_constraint,0.05,3,-0.3314664363861084,0.0023680429522588173,0.0,0.0,0.0478,0.002299275248130737
4,l2_constraint,0.1,3,-0.33074984947840375,0.0019609563540434654,0.0,0.0,0.04803333333333334,0.0021483844059096034
4,l2_constraint,0.3,3,-0.3326539397239685,0.0014677722952075674,0.0,0.0,0.048633333333333334,0.0002867441755680875
4,l2_constraint,1.0,3,-0.33693554004033405,0.003157915700535064,0.0,0.0,0.04683333333333333,0.0012391753530294084
4,partial_ot,0.03,3,-0.3569212853908539,0.003623424794335752,0.0,0.0,0.0412,0.0018708286933869723
4,partial_ot,0.05,3,-0.40208720167477924,0.03951147117639389,0.0,0.0,0.0341,0.005463210289442158
4,partial_ot,0.1,3,-1.6892126401265461,0.14263634634679945,0.0,0.0,0.0006666666666666666,0.00040276819911981907
4,partial_ot,0.3,3,-3.5970474084218345,0.2683125380933481,0.0375,0.014298484768207668,0.0015999999999999999,0.0014966629547095765
4,partial_ot,1.0,3,-9.284207344055176,0.4053766776027778,0.3348333333333333,0.011100250247429359,0.0011,0.0004546060565661952
4,reverse_kl,1.0,3,-0.07566643009583156,0.0006977252928103369,0.0,0.0,0.4506666666666666,0.0065045283371578015
4,unbalanced_ot,0.03,3,-0.3335367739200592,0.002400078819838019,0.0,0.0,0.0472,0.0008640987597877159
4,unbalanced_ot,0.05,3,-0.3290295700232188,0.002884952879275647,0.0,0.0,0.04800000000000001,0.0018672618098881215
4,unbalanced_ot,0.1,3,-0.3291421631971995,0.0034840144003986553,0.0,0.0,0.04956666666666667,0.0011841546445554407
4,unbalanced_ot,0.3,3,-0.3372935354709625,0.0023465455773843554,0.0,0.0,0.043466666666666674,0.0006599663291074459
4,unbalanced_ot,1.0,3,-0.9319564700126648,0.01420050484123823,0.0004333333333333333,9.428090415820635e-05,0.0168,0.0019304576314093677
4,wasserstein,0.03,3,-0.3341068625450134,0.001055520799540922,0.0,0.0,0.04673333333333333,0.0008956685895029623
4,wasserstein,0.05,3,-0.3345377246538798,0.004416338318103393,0.0,0.0,0.04806666666666667,0.0018979521127315687
4,wasserstein,0.1,3,-0.3414337933063507,0.0023498349756559166,0.0,0.0,0.04663333333333333,0.0008956685895029591
4,wasserstein,0.3,3,-0.4782710572083791,0.0009941507899989125,0.0,0.0,0.031200000000000002,0.0003741657386773947
4,wasserstein,1.0,3,-1.7251322269439697,0.014986830714708224,0.0163,0.0009416297927883692,0.0116,0.0007788880963698618
8,bc,1.0,3,-2.1007257302602134,0.01950057265284093,0.0207,0.0028994252303976855,0.0017000000000000001,0.00029439202887759485
8,forward_kl,1.0,3,-0.3616248468557994,0.0005382259622466944,0.0,0.0,0.0406,0.002580697580112788
8,l2_constraint,0.03,3,-0.6589928070704142,0.0025074363184952315,0.0,0.0,0.004933333333333334,0.0003091206165165236
8,l2_constraint,0.05,3,-0.6632468501726786,0.004286942176356848,0.0,0.0,0.005033333333333333,0.0005734883511361752
8,l2_constraint,0.1,3,-0.6589990059534708,0.004620139347576102,0.0,0.0,0.005966666666666666,0.000579271573232759
8,l2_constraint,0.3,3,-0.6593789656956991,0.0032517752030405693,0.0,0.0,0.005933333333333333,0.0005436502143433364
8,l2_constraint,1.0,3,-0.6665826837221781,0.002348739945505941,0.0,0.0,0.005533333333333334,0.0002494438257849294
8,partial_ot,0.03,3,-0.6912393172581991,0.00753097927257487,0.0,0.0,0.005033333333333333,0.0006798692684790379
8,partial_ot,0.05,3,-0.9111663897832235,0.11586138922580921,0.0,0.0,0.0022333333333333333,0.001114550233153366
8,partial_ot,0.1,3,-1.1885854403177898,0.1334835848301582,0.0,0.0,0.0013666666666666669,0.0007133644853010899
8,partial_ot,0.3,3,-3.048623561859131,0.12472601470004051,0.013199999999999998,0.005778119648005453,0.00023333333333333333,4.714045207910315e-05
8,partial_ot,1.0,3,-7.824810981750488,0.924830115601403,0.278,0.0332482580997361,6.666666666666667e-05,4.7140452079103176e-05
8,reverse_kl,1.0,3,-0.11906294524669647,0.00019175001626543626,0.0,0.0,0.5392333333333333,0.003895581542665414
8,unbalanced_ot,0.03,3,-0.6620732744534811,0.002607211934240437,0.0,0.0,0.0067,0.0004898979485566355
8,unbalanced_ot,0.05,3,-0.6608758966128031,0.0032994181885323682,0.0,0.0,0.005,0.0010424330514074596
8,unbalanced_ot,0.1,3,-0.6589501897493998,0.004255565844678645,0.0,0.0,0.005233333333333334,0.0002624669291337269
8,unbalanced_ot,0.3,3,-0.6628062923749288,0.002262336883384241,0.0,0.0,0.0057666666666666665,0.0005312459150169742
8,unbalanced_ot,1.0,3,-1.2708280086517334,0.015651551751497277,0.00046666666666666666,0.0001699673171197595,0.0023,0.00037416573867739413
8,wasserstein,0.03,3,-0.6649166544278463,0.00361515573459027,0.0,0.0,0.0054333333333333326,0.00038586123009300746
8,wasserstein,0.05,3,-0.664819339911143,0.0005342724131100835,0.0,0.0,0.0059,0.00014142135623730948
8,wasserstein,0.1,3,-0.6665000319480896,0.004203031584969443,0.0,0.0,0.004666666666666666,0.0006128258770283414
8,wasserstein,0.3,3,-0.8130214413007101,0.006222979036835197,0.0,0.0,0.0032999999999999995,0.0008286535263104034
8,wasserstein,1.0,3,-2.034085194269816,0.01681688410143873,0.015666666666666666,0.0005249338582674547,0.0013666666666666669,0.00018856180831641265
