dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.625614881515503,0.019,0.0392,5.265657424926758
2,0,forward_kl,1.0,-0.26495853066444397,0.0,0.1164,-0.29990801215171814
2,0,l2_constraint,0.03,-0.1696547567844391,0.0,0.1557,0.30344611406326294
2,0,l2_constraint,0.05,-0.16753403842449188,0.0,0.1605,1.2093555927276611
2,0,l2_constraint,0.1,-0.16499483585357666,0.0,0.1638,1.8265841007232666
2,0,l2_constraint,0.3,-0.16548360884189606,0.0,0.1602,3.9997994899749756
2,0,l2_constraint,1.0,-0.16968539357185364,0.0,0.1561,13.582331657409668
2,0,partial_ot,0.03,-0.21269550919532776,0.0,0.1321,-1.0137107372283936
2,0,partial_ot,0.05,-0.2556719183921814,0.0,0.1069,-1.677721619606018
2,0,partial_ot,0.1,-1.179036021232605,0.0,0.0075,-3.912691116333008
2,0,partial_ot,0.3,-3.6449124813079834,0.0667,0.0063,-21.492877960205078
2,0,partial_ot,1.0,-10.767641067504883,0.3786,0.0052,-136.98768615722656
2,0,reverse_kl,1.0,-0.2129407525062561,0.0,0.1417,-0.4307086169719696
2,0,unbalanced_ot,0.03,-0.16529029607772827,0.0,0.1571,0.029761791229248047
2,0,unbalanced_ot,0.05,-0.16840003430843353,0.0,0.1606,0.5477714538574219
2,0,unbalanced_ot,0.1,-0.1703384816646576,0.0,0.1554,0.10632747411727905
2,0,unbalanced_ot,0.3,-0.16833007335662842,0.0,0.1545,1.4966959953308105
2,0,unbalanced_ot,1.0,-0.8064054250717163,0.0004,0.0537,6.477546691894531
2,0,wasserstein,0.03,-0.1699853092432022,0.0,0.1567,0.6906546354293823
2,0,wasserstein,0.05,-0.17185449600219727,0.0,0.1495,0.6029711961746216
2,0,wasserstein,0.1,-0.17212189733982086,0.0,0.1573,1.3523335456848145
2,0,wasserstein,0.3,-0.32048940658569336,0.0,0.0914,3.450059175491333
2,0,wasserstein,1.0,-1.594787359237671,0.0203,0.0395,10.557133674621582
2,1,bc,1.0,-1.6186989545822144,0.0212,0.0373,5.0909504890441895
