dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
2,bc,1.0,3,-1.6221022208531697,0.0028244747814175127,0.0204,0.0009933109617167564,0.038066666666666665,0.0008178562764256863
2,forward_kl,1.0,3,-0.2850716710090637,0.04925481449658749,0.0,0.0,0.11210000000000002,0.014409024949662626
2,l2_constraint,0.03,3,-0.16632957259813944,0.0024183278373092415,0.0,0.0,0.15916666666666668,0.0032967997950874815
2,l2_constraint,0.05,3,-0.16783336301644644,0.0002679104797740656,0.0,0.0,0.15953333333333333,0.002425329301810827
2,l2_constraint,0.1,3,-0.1661431441704432,0.0010021583806243772,0.0,0.0,0.1601,0.0028717010057919814
2,l2_constraint,0.3,3,-0.16680637995402017,0.0009789566972936855,0.0,0.0,0.1593,0.0017146428199482204
2,l2_constraint,1.0,3,-0.16853315631548563,0.0008586274655766095,0.0,0.0,0.15940000000000001,0.0023930454794396823
2,partial_ot,0.03,3,-0.22732789814472198,0.013602281497441502,0.0,0.0,0.12206666666666667,0.008046669428334239
2,partial_ot,0.05,3,-0.33524784445762634,0.0987021297910001,0.0,0.0,0.08483333333333333,0.025369973503248985
2,partial_ot,0.1,3,-1.3147003650665283,0.11237308700437243,0.0,0.0,0.005066666666666666,0.002043417616532547
2,partial_ot,0.3,3,-3.484949509302775,0.23171433285302076,0.06849999999999999,0.0014306175822583302,0.0096,0.003980787191833629
2,partial_ot,1.0,3,-9.134424845377604,1.1750423681035842,0.3382666666666667,0.029577506468410904,0.007566666666666666,0.0016779617264870961
2,reverse_kl,1.0,3,-0.20726244151592255,0.006317880889446989,0.0,0.0,0.15166666666666664,0.007175111303821165
2,unbalanced_ot,0.03,3,-0.1662263423204422,0.00118890855256341,0.0,0.0,0.15743333333333334,0.0013274871834493298
2,unbalanced_ot,0.05,3,-0.1640835553407669,0.0031096149250450056,0.0,0.0,0.16166666666666665,0.0022528993664954447
2,unbalanced_ot,0.1,3,-0.1662555436293284,0.0029600863277726287,0.0,0.0,0.15926666666666667,0.005327496806401881
2,unbalanced_ot,0.3,3,-0.17076202730337778,0.0017340997670613168,0.0,0.0,0.1546,0.0003741657386773875
2,unbalanced_ot,1.0,3,-0.7972131967544556,0.024148671017703564,0.0006333333333333333,0.00020548046676563254,0.05723333333333333,0.0026549743668986513
2,wasserstein,0.03,3,-0.1673708955446879,0.002844641228728077,0.0,0.0,0.15886666666666668,0.00193620476419434
2,wasserstein,0.05,3,-0.1697077453136444,0.0018039454687477296,0.0,0.0,0.15633333333333332,0.004840339749324304
2,wasserstein,0.1,3,-0.17487055559953055,0.00194390375248465,0.0,0.0,0.153,0.0034708308323320347
2,wasserstein,0.3,3,-0.3243107199668884,0.005530417330418651,0.0,0.0,0.09433333333333332,0.0026398653164297786
2,wasserstein,1.0,3,-1.5538748900095622,0.03432596201078711,0.017499999999999998,0.002246478726065899,0.03883333333333333,0.001014341603646862
4,bc,1.0,3,-1.788779576619466,0.011260018976558378,0.021099999999999997,0.0015121728296285002,0.013433333333333334,0.0008730533902472526
4,forward_kl,1.0,3,-0.37567780415217084,0.03740998381621987,0.0,0.0,0.04543333333333333,0.006694442139234274
4,l2_constraint,0.03,3,-0.3290914793809255,0.0013822791967592633,0.0,0.0,0.0497,0.0033950945004029977
4,l2_constraint,0.05,3,-0.33376846710840863,0.004704716927633122,0.0,0.0,0.047066666666666666,0.002659991645767999
4,l2_constraint,0.1,3,-0.3295990228652954,0.002094580021078298,0.0,0.0,0.04636666666666667,0.0019258475767539038
4,l2_constraint,0.3,3,-0.3333703776200612,0.002578062612445484,0.0,0.0,0.04806666666666667,0.0008498365855987983
4,l2_constraint,1.0,3,-0.3338371117909749,0.0022431661186797574,0.0,0.0,0.04916666666666667,0.0015691469727919752
4,partial_ot,0.03,3,-0.3586256404717763,0.006443631349251155,0.0,0.0,0.04253333333333333,0.0034682688605252197
4,partial_ot,0.05,3,-0.4188547929128011,0.037318830102902725,0.0,0.0,0.030733333333333335,0.004391152721350309
4,partial_ot,0.1,3,-1.7190250158309937,0.1548216529425986,0.0,0.0,0.0004666666666666666,0.00018856180831641262
4,partial_ot,0.3,3,-3.5496442317962646,0.21114862499810114,0.037033333333333335,0.01454563699380524,0.0012333333333333332,0.0012657891697365018
4,partial_ot,1.0,3,-9.194989840189615,0.3817352316813279,0.33380000000000004,0.007680277772754486,0.0010333333333333334,0.00041899350299921784
4,reverse_kl,1.0,3,-0.30598321557044983,0.03911416599739005,0.0,0.0,0.07186666666666666,0.015986313590763263
4,unbalanced_ot,0.03,3,-0.33235592643419903,0.0021561433207408485,0.0,0.0,0.04806666666666667,0.0007408703590297606
4,unbalanced_ot,0.05,3,-0.33103976647059125,0.001218955466189094,0.0,0.0,0.04766666666666666,0.001327487183449323
4,unbalanced_ot,0.1,3,-0.33133000135421753,0.002192882163459466,0.0,0.0,0.04646666666666666,0.0007845734863959876
4,unbalanced_ot,0.3,3,-0.33636413017908734,0.0008131425556310237,0.0,0.0,0.046933333333333334,0.0008339997335464527
4,unbalanced_ot,1.0,3,-0.9308469295501709,0.019364450253437256,0.0005333333333333334,0.0001247219128924647,0.017366666666666666,0.0006944222218666552
4,wasserstein,0.03,3,-0.33473697304725647,0.0030458221335197327,0.0,0.0,0.04630000000000001,0.0034756294393965526
4,wasserstein,0.05,3,-0.3337067166964213,0.0012804886669743165,0.0,0.0,0.04716666666666666,0.0015584892970081277
4,wasserstein,0.1,3,-0.34118974208831787,0.0014368495765878662,0.0,0.0,0.043966666666666675,0.0014522013940527962
4,wasserstein,0.3,3,-0.4804428815841675,0.0089903186820384,0.0,0.0,0.02853333333333333,0.0009741092797468305
4,wasserstein,1.0,3,-1.7478957970937092,0.00939293741384573,0.0177,0.0005099019513592781,0.0122,0.0006531972647421804
8,bc,1.0,3,-2.1007257302602134,0.01950057265284093,0.0207,0.0028994252303976855,0.0017000000000000001,0.00029439202887759485
8,forward_kl,1.0,3,-0.5732624729474386,0.06230738038273162,0.0,0.0,0.010966666666666666,0.004259368758656876
8,l2_constraint,0.03,3,-0.6582101186116537,0.002693578151554267,0.0,0.0,0.004833333333333333,0.0006548960901462833
8,l2_constraint,0.05,3,-0.659828265508016,0.004512210185237387,0.0,0.0,0.005400000000000001,0.0008164965809277262
8,l2_constraint,0.1,3,-0.6613145073254904,0.006862763360641723,0.0,0.0,0.005833333333333333,0.0007760297817881876
8,l2_constraint,0.3,3,-0.6631015141805013,0.00244901193792113,0.0,0.0,0.006000000000000001,8.164965809277283e-05
8,l2_constraint,1.0,3,-0.6650869250297546,0.004003309046904881,0.0,0.0,0.005266666666666667,0.00041899350299921784
8,partial_ot,0.03,3,-0.689885675907135,0.005418136589699405,0.0,0.0,0.004966666666666667,0.00012472191289246505
8,partial_ot,0.05,3,-0.9198976755142212,0.12357555692931795,0.0,0.0,0.0017999999999999997,0.0008602325267042625
8,partial_ot,0.1,3,-1.1754360596338909,0.14612168861450056,0.0,0.0,0.0013,0.0007118052168020874
8,partial_ot,0.3,3,-3.050145467122396,0.14824013901581679,0.011366666666666669,0.004722522866246624,0.0003,0.0
8,partial_ot,1.0,3,-7.864390691121419,0.9887655146311847,0.2768333333333333,0.0323746128247977,3.3333333333333335e-05,4.714045207910317e-05
8,reverse_kl,1.0,3,-0.3846226930618286,0.02993597861206741,0.0,0.0,0.044366666666666665,0.010825997516267137
8,unbalanced_ot,0.03,3,-0.6615503231684366,0.0010679103751336583,0.0,0.0,0.006966666666666666,0.00044969125210773465
8,unbalanced_ot,0.05,3,-0.6613018910090128,0.0027749595886159533,0.0,0.0,0.004966666666666667,0.0004496912521077345
8,unbalanced_ot,0.1,3,-0.6581720113754272,0.002474608451693678,0.0,0.0,0.0056,0.00014142135623730948
8,unbalanced_ot,0.3,3,-0.6640627384185791,0.004115719967248564,0.0,0.0,0.004866666666666668,0.0003299831645537222
8,unbalanced_ot,1.0,3,-1.2584852774937947,0.012300877237273635,0.0003333333333333333,9.428090415820634e-05,0.002166666666666666,0.00026246692913372703
8,wasserstein,0.03,3,-0.6653788884480795,0.002016748655265053,0.0,0.0,0.006233333333333334,0.0007542472332656506
8,wasserstein,0.05,3,-0.6631966829299927,0.0014488022156145875,0.0,0.0,0.005266666666666667,0.00026246692913372703
8,wasserstein,0.1,3,-0.6700063943862915,0.0007945102446325461,0.0,0.0,0.005666666666666667,0.00044969125210773465
8,wasserstein,0.3,3,-0.8137396772702535,0.006924024563782097,0.0,0.0,0.0037333333333333333,0.0006548960901462833
8,wasserstein,1.0,3,-2.0285725593566895,0.03537107470418595,0.014833333333333332,0.0016679994670929063,0.0013,0.0002160246899469287
