dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.625614881515503,0.019,0.0392,5.265657424926758
2,0,forward_kl,1.0,-0.45885467529296875,0.0,0.0713,1.5661776065826416
2,0,l2_constraint,0.03,-0.16450749337673187,0.0,0.16,0.20482780039310455
2,0,l2_constraint,0.05,-0.16651102900505066,0.0,0.1601,0.7444559335708618
2,0,l2_constraint,0.1,-0.16500115394592285,0.0,0.1638,2.3977267742156982
2,0,l2_constraint,0.3,-0.16582107543945312,0.0,0.1598,4.4826459884643555
2,0,l2_constraint,1.0,-0.17042937874794006,0.0,0.1478,13.517295837402344
2,0,partial_ot,0.03,-0.19560332596302032,0.0,0.1371,-0.6246771812438965
2,0,partial_ot,0.05,-0.2660200297832489,0.0,0.1063,-1.5559148788452148
2,0,partial_ot,0.1,-1.1354870796203613,0.0,0.0071,-4.056307792663574
2,0,partial_ot,0.3,-3.4848756790161133,0.0701,0.0075,-22.28007698059082
2,0,partial_ot,1.0,-10.688100814819336,0.3705,0.0059,-118.33856201171875
2,0,reverse_kl,1.0,-0.3682290017604828,0.0,0.0939,0.3341103792190552
2,0,unbalanced_ot,0.03,-0.16469471156597137,0.0,0.1573,0.6943703889846802
2,0,unbalanced_ot,0.05,-0.16435429453849792,0.0,0.1585,0.9158852696418762
2,0,unbalanced_ot,0.1,-0.16331595182418823,0.0,0.162,0.7261590957641602
2,0,unbalanced_ot,0.3,-0.17343339323997498,0.0,0.1475,1.7593994140625
2,0,unbalanced_ot,1.0,-0.7654902935028076,0.0007,0.0559,7.196523189544678
2,0,wasserstein,0.03,-0.16845004260540009,0.0,0.1561,0.2122001051902771
2,0,wasserstein,0.05,-0.17253002524375916,0.0,0.1553,2.0414137840270996
2,0,wasserstein,0.1,-0.17318594455718994,0.0,0.1493,1.4104160070419312
2,0,wasserstein,0.3,-0.3207416832447052,0.0,0.0921,3.2558860778808594
2,0,wasserstein,1.0,-1.6037037372589111,0.018,0.0403,10.555057525634766
2,1,bc,1.0,-1.6186989545822144,0.0212,0.0373,5.0909504890441895
2,1,forward_kl,1.0,-0.4352744519710541,0.0,0.0788,1.5941377878189087
2,1,l2_constraint,0.03,-0.1634119302034378,0.0,0.1638,-0.012406259775161743
2,1,l2_constraint,0.05,-0.16318932175636292,0.0,0.1619,1.916597604751587
2,1,l2_constraint,0.1,-0.16917288303375244,0.0,0.1569,0.801567554473877
2,1,l2_constraint,0.3,-0.16689594089984894,0.0,0.1598,4.684521675109863
2,1,l2_constraint,1.0,-0.16959810256958008,0.0,0.1656,12.82296371459961
2,1,partial_ot,0.03,-0.2241896688938141,0.0,0.1193,-1.645273208618164
2,1,partial_ot,0.05,-0.28600189089775085,0.0,0.095,-0.710425615310669
2,1,partial_ot,0.1,-1.4112293720245361,0.0,0.002,-5.513107776641846
2,1,partial_ot,0.3,-3.675896406173706,0.0664,0.0061,-18.369583129882812
2,1,partial_ot,1.0,-7.871987342834473,0.3099,0.0113,-74.9360580444336
2,1,reverse_kl,1.0,-0.3787723481655121,0.0,0.0953,-0.02836868166923523
2,1,unbalanced_ot,0.03,-0.1671140193939209,0.0,0.1599,0.13558652997016907
2,1,unbalanced_ot,0.05,-0.16859546303749084,0.0,0.1556,0.64559406042099
2,1,unbalanced_ot,0.1,-0.1666012853384018,0.0,0.1643,0.7925124168395996
2,1,unbalanced_ot,0.3,-0.17229387164115906,0.0,0.1542,1.4344890117645264
2,1,unbalanced_ot,1.0,-0.7626821994781494,0.0005,0.0599,5.53538179397583
2,1,wasserstein,0.03,-0.16988389194011688,0.0,0.1601,0.5504732728004456
2,1,wasserstein,0.05,-0.16691160202026367,0.0,0.1545,1.6436407566070557
2,1,wasserstein,0.1,-0.17463558912277222,0.0,0.1556,0.9111453294754028
2,1,wasserstein,0.3,-0.3304186463356018,0.0,0.0958,4.1942853927612305
2,1,wasserstein,1.0,-1.5863454341888428,0.0193,0.0353,9.675466537475586
2,2,bc,1.0,-1.621992826461792,0.021,0.0377,5.470717430114746
2,2,forward_kl,1.0,-0.5118987560272217,0.0,0.0625,0.3768959045410156
2,2,l2_constraint,0.03,-0.16378700733184814,0.0,0.1681,-0.4038691222667694
2,2,l2_constraint,0.05,-0.16700176894664764,0.0,0.1544,1.7719848155975342
2,2,l2_constraint,0.1,-0.16485080122947693,0.0,0.157,1.9209638833999634
2,2,l2_constraint,0.3,-0.16447952389717102,0.0,0.1683,3.9859824180603027
2,2,l2_constraint,1.0,-0.17164093255996704,0.0,0.1593,12.923859596252441
