dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.6289994716644287,0.005,0.0286,8.896780014038086
2,0,forward_kl,1.0,-0.39940062165260315,0.0,0.0617,0.03918521851301193
2,0,l2_constraint,0.03,-0.16690319776535034,0.0,0.1044,0.7746532559394836
2,0,l2_constraint,0.05,-0.16933849453926086,0.0,0.1051,1.4728412628173828
2,0,l2_constraint,0.1,-0.1649848073720932,0.0,0.1059,2.818159818649292
2,0,l2_constraint,0.3,-0.16788698732852936,0.0,0.1023,7.503868103027344
2,0,l2_constraint,1.0,-0.1750759333372116,0.0,0.1007,25.386417388916016
2,0,partial_ot,0.03,-0.24844150245189667,0.0,0.0742,-0.20800963044166565
2,0,partial_ot,0.05,-0.3549066483974457,0.0,0.05,-0.5345487594604492
2,0,partial_ot,0.1,-1.5306875705718994,0.0,0.0007,-2.810579776763916
2,0,partial_ot,0.3,-3.2652745246887207,0.0067,0.0031,-13.169504165649414
2,0,partial_ot,1.0,-9.66783618927002,0.2669,0.0047,-121.15534210205078
2,0,reverse_kl,1.0,-0.3763149678707123,0.0,0.0747,-0.2172263264656067
2,0,unbalanced_ot,0.03,-0.16553989052772522,0.0,0.1064,0.17545822262763977
2,0,unbalanced_ot,0.05,-0.16882792115211487,0.0,0.1126,0.790607213973999
2,0,unbalanced_ot,0.1,-0.17179515957832336,0.0,0.1,0.5243552327156067
2,0,unbalanced_ot,0.3,-0.18671613931655884,0.0,0.0932,2.614121913909912
2,0,unbalanced_ot,1.0,-2.4282703399658203,0.0227,0.0204,13.30167293548584
2,0,wasserstein,0.03,-0.171293243765831,0.0,0.1034,1.0262134075164795
2,0,wasserstein,0.05,-0.17479385435581207,0.0,0.0972,1.2116754055023193
2,0,wasserstein,0.1,-0.18316476047039032,0.0,0.0979,2.554201602935791
2,0,wasserstein,0.3,-0.6987352967262268,0.0,0.0372,6.918437480926514
2,0,wasserstein,1.0,-2.8380770683288574,0.0361,0.0166,19.598861694335938
2,1,bc,1.0,-1.622560977935791,0.0056,0.0262,8.924259185791016
2,1,forward_kl,1.0,-0.3077161908149719,0.0,0.0686,3.5227980613708496
