dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.6289994716644287,0.005,0.0286,8.896780014038086
2,0,forward_kl,1.0,-0.4788353443145752,0.0,0.0514,0.8285099864006042
2,0,l2_constraint,0.03,-0.1628757119178772,0.0,0.1043,1.3815171718597412
2,0,l2_constraint,0.05,-0.1661413162946701,0.0,0.1084,1.300747036933899
2,0,l2_constraint,0.1,-0.16282571852207184,0.0,0.1085,2.64727783203125
2,0,l2_constraint,0.3,-0.16717563569545746,0.0,0.1029,8.466633796691895
2,0,l2_constraint,1.0,-0.17093276977539062,0.0,0.1075,25.43427085876465
2,0,partial_ot,0.03,-0.2395354062318802,0.0,0.0722,0.2198793590068817
2,0,partial_ot,0.05,-0.3637956976890564,0.0,0.0521,-0.3679217994213104
2,0,partial_ot,0.1,-1.479684591293335,0.0,0.0009,-2.9455642700195312
2,0,partial_ot,0.3,-3.1536502838134766,0.0115,0.0075,-13.206365585327148
2,0,partial_ot,1.0,-9.370309829711914,0.2548,0.0052,-100.55126190185547
2,0,reverse_kl,1.0,-0.6796213984489441,0.0,0.042,4.916693210601807
2,0,unbalanced_ot,0.03,-0.1649601012468338,0.0,0.1048,0.8378591537475586
2,0,unbalanced_ot,0.05,-0.16480326652526855,0.0,0.1049,1.1473467350006104
2,0,unbalanced_ot,0.1,-0.16458120942115784,0.0,0.1054,1.1199467182159424
2,0,unbalanced_ot,0.3,-0.19297990202903748,0.0,0.0863,2.6907219886779785
2,0,unbalanced_ot,1.0,-2.2885968685150146,0.0183,0.0199,14.469661712646484
2,0,wasserstein,0.03,-0.16982600092887878,0.0,0.0999,0.5446286201477051
2,0,wasserstein,0.05,-0.17540624737739563,0.0,0.1007,2.646198272705078
2,0,wasserstein,0.1,-0.18378005921840668,0.0,0.096,2.6075501441955566
2,0,wasserstein,0.3,-0.7025981545448303,0.0,0.0377,6.689838409423828
2,0,wasserstein,1.0,-2.8644802570343018,0.0358,0.0183,20.152997970581055
2,1,bc,1.0,-1.622560977935791,0.0056,0.0262,8.924259185791016
2,1,forward_kl,1.0,-0.562107264995575,0.0,0.0374,0.591740608215332
2,1,l2_constraint,0.03,-0.16716332733631134,0.0,0.1042,1.7215938568115234
2,1,l2_constraint,0.05,-0.16716298460960388,0.0,0.102,1.5722795724868774
2,1,l2_constraint,0.1,-0.1660565286874771,0.0,0.1075,3.57243275642395
2,1,l2_constraint,0.3,-0.16694799065589905,0.0,0.1051,7.539618492126465
2,1,l2_constraint,1.0,-0.17585517466068268,0.0,0.1018,25.64353370666504
2,1,partial_ot,0.03,-0.24850502610206604,0.0,0.0701,-0.8699592351913452
2,1,partial_ot,0.05,-0.5772842764854431,0.0,0.017,0.4772661328315735
2,1,partial_ot,0.1,-1.6724287271499634,0.0,0.0005,-3.646902084350586
2,1,partial_ot,0.3,-3.257521390914917,0.0004,0.0005,-15.421411514282227
2,1,partial_ot,1.0,-7.68792200088501,0.2118,0.0083,-55.24058532714844
2,1,reverse_kl,1.0,-0.5926743745803833,0.0,0.0468,0.22508446872234344
2,1,unbalanced_ot,0.03,-0.16739033162593842,0.0,0.1052,0.24488340318202972
2,1,unbalanced_ot,0.05,-0.16904249787330627,0.0,0.1066,0.8088364601135254
2,1,unbalanced_ot,0.1,-0.1679549366235733,0.0,0.1105,1.231284737586975
2,1,unbalanced_ot,0.3,-0.1903349608182907,0.0,0.0954,2.8090121746063232
2,1,unbalanced_ot,1.0,-2.2893829345703125,0.0185,0.0207,11.337478637695312
2,1,wasserstein,0.03,-0.17111851274967194,0.0,0.1052,0.881184458732605
2,1,wasserstein,0.05,-0.16929224133491516,0.0,0.1014,2.2714576721191406
2,1,wasserstein,0.1,-0.18606062233448029,0.0,0.0965,2.1521148681640625
2,1,wasserstein,0.3,-0.7176302075386047,0.0,0.0389,7.679262638092041
2,1,wasserstein,1.0,-2.8272407054901123,0.0363,0.0181,19.320358276367188
2,2,bc,1.0,-1.6303625106811523,0.0062,0.0267,9.126336097717285
2,2,forward_kl,1.0,-0.5401664972305298,0.0,0.0487,0.2096039056777954
2,2,l2_constraint,0.03,-0.16320285201072693,0.0,0.1039,0.6485254168510437
2,2,l2_constraint,0.05,-0.16756582260131836,0.0,0.1023,2.2989208698272705
2,2,l2_constraint,0.1,-0.1661163866519928,0.0,0.1125,2.349914073944092
2,2,l2_constraint,0.3,-0.16845734417438507,0.0,0.0998,8.259347915649414
2,2,l2_constraint,1.0,-0.17421655356884003,0.0,0.0993,26.762357711791992
2,2,partial_ot,0.03,-0.30376648902893066,0.0,0.058,-1.06488037109375
2,2,partial_ot,0.05,-0.736274003982544,0.0,0.0137,-1.5003420114517212
2,2,partial_ot,0.1,-1.712336540222168,0.0,0.0003,-2.8595194816589355
2,2,partial_ot,0.3,-3.2931718826293945,0.0175,0.0083,-11.897871017456055
2,2,partial_ot,1.0,-7.657688140869141,0.2104,0.0071,-63.498451232910156
2,2,reverse_kl,1.0,-0.5638060569763184,0.0,0.0465,0.9137535095214844
2,2,unbalanced_ot,0.03,-0.16447386145591736,0.0,0.1039,0.20281851291656494
2,2,unbalanced_ot,0.05,-0.16560527682304382,0.0,0.1093,1.2357395887374878
2,2,unbalanced_ot,0.1,-0.16772273182868958,0.0,0.1035,0.9579115509986877
2,2,unbalanced_ot,0.3,-0.19246916472911835,0.0,0.0862,3.2180283069610596
2,2,unbalanced_ot,1.0,-2.2572317123413086,0.0185,0.0221,13.743764877319336
2,2,wasserstein,0.03,-0.16944018006324768,0.0,0.1005,0.9134514331817627
2,2,wasserstein,0.05,-0.17097929120063782,0.0,0.1067,1.0335665941238403
2,2,wasserstein,0.1,-0.1876145303249359,0.0,0.0937,3.104625940322876
2,2,wasserstein,0.3,-0.6708239912986755,0.0,0.04,7.019314765930176
2,2,wasserstein,1.0,-2.8491413593292236,0.0326,0.0168,19.79199981689453
4,0,bc,1.0,-1.737226963043213,0.0053,0.0087,8.671245574951172
4,0,forward_kl,1.0,-0.7539891600608826,0.0,0.0077,0.04186948761343956
4,0,l2_constraint,0.03,-0.3303975462913513,0.0,0.0214,1.3333652019500732
4,0,l2_constraint,0.05,-0.3300264775753021,0.0,0.0196,1.4868789911270142
4,0,l2_constraint,0.1,-0.32659634947776794,0.0,0.0235,2.8139538764953613
4,0,l2_constraint,0.3,-0.3329525291919708,0.0,0.0191,7.385662078857422
4,0,l2_constraint,1.0,-0.34469717741012573,0.0,0.0203,26.93134880065918
4,0,partial_ot,0.03,-0.3794653117656708,0.0,0.0157,-0.24525392055511475
4,0,partial_ot,0.05,-0.7471730709075928,0.0,0.0038,-0.13136625289916992
4,0,partial_ot,0.1,-1.4290300607681274,0.0,0.0002,-2.839937210083008
4,0,partial_ot,0.3,-3.456000804901123,0.0001,0.0,-17.4986515045166
4,0,partial_ot,1.0,-8.964096069335938,0.2414,0.0014,-86.72779083251953
4,0,reverse_kl,1.0,-0.6171870231628418,0.0,0.0163,-0.7978209257125854
4,0,unbalanced_ot,0.03,-0.3290424942970276,0.0,0.0216,1.6861509084701538
4,0,unbalanced_ot,0.05,-0.3351248800754547,0.0,0.0201,0.7711520195007324
4,0,unbalanced_ot,0.1,-0.3327338993549347,0.0,0.023,1.2748932838439941
4,0,unbalanced_ot,0.3,-0.35501307249069214,0.0,0.0203,3.393907070159912
4,0,unbalanced_ot,1.0,-2.4503679275512695,0.0197,0.0038,16.36624526977539
4,0,wasserstein,0.03,-0.3340292274951935,0.0,0.0217,1.3134357929229736
4,0,wasserstein,0.05,-0.33964237570762634,0.0,0.0198,2.1847801208496094
4,0,wasserstein,0.1,-0.3454384505748749,0.0,0.0182,3.1925463676452637
4,0,wasserstein,0.3,-0.8620837926864624,0.0001,0.0084,6.583215236663818
4,0,wasserstein,1.0,-2.9510738849639893,0.0323,0.0039,21.653425216674805
4,1,bc,1.0,-1.7669858932495117,0.0064,0.0073,8.638094902038574
4,1,forward_kl,1.0,-0.686623752117157,0.0,0.0105,-0.24441152811050415
4,1,l2_constraint,0.03,-0.3252141773700714,0.0,0.0234,1.186521053314209
4,1,l2_constraint,0.05,-0.32709115743637085,0.0,0.0213,1.3103835582733154
4,1,l2_constraint,0.1,-0.3307773768901825,0.0,0.0248,3.4317917823791504
4,1,l2_constraint,0.3,-0.3302857577800751,0.0,0.0212,7.343544006347656
4,1,l2_constraint,1.0,-0.33548805117607117,0.0,0.0229,25.124401092529297
4,1,partial_ot,0.03,-0.42451420426368713,0.0,0.0135,-0.006738379597663879
4,1,partial_ot,0.05,-0.6142112612724304,0.0,0.0095,0.010017037391662598
