dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-0.9690250158309937,0.1106,0.0599,1.9038366079330444
2,0,forward_kl,1.0,-0.16402481496334076,0.0,0.2222,1.9068777561187744
2,0,l2_constraint,0.03,-0.1666693538427353,0.0,0.2235,0.035531554371118546
2,0,l2_constraint,0.05,-0.1685575693845749,0.0,0.221,0.26570382714271545
2,0,l2_constraint,0.1,-0.16373878717422485,0.0,0.2254,0.403525173664093
2,0,l2_constraint,0.3,-0.1667858362197876,0.0,0.2189,0.2977854609489441
2,0,l2_constraint,1.0,-0.16568739712238312,0.0,0.225,0.9407098889350891
2,0,partial_ot,0.03,-0.19431933760643005,0.0,0.1938,-2.236604690551758
2,0,partial_ot,0.05,-0.2691402733325958,0.0001,0.1396,-3.7069857120513916
2,0,partial_ot,0.1,-0.7775170207023621,0.0337,0.034,-5.792460918426514
2,0,partial_ot,0.3,-1.2307212352752686,0.1232,0.0362,-25.836193084716797
2,0,partial_ot,1.0,-7.9693217277526855,0.5248,0.006,-85.29305267333984
2,0,reverse_kl,1.0,-0.1641528308391571,0.0,0.2211,0.1367749571800232
2,0,unbalanced_ot,0.03,-0.16501830518245697,0.0,0.2212,-0.10414452105760574
2,0,unbalanced_ot,0.05,-0.16782830655574799,0.0,0.2235,0.3032644987106323
2,0,unbalanced_ot,0.1,-0.1693151742219925,0.0,0.2163,-0.28692325949668884
2,0,unbalanced_ot,0.3,-0.162149116396904,0.0,0.2201,0.12981724739074707
2,0,unbalanced_ot,1.0,-0.1732611358165741,0.0,0.2115,1.0203818082809448
2,0,wasserstein,0.03,-0.16833539307117462,0.0,0.22,0.3676508367061615
2,0,wasserstein,0.05,-0.16855651140213013,0.0,0.215,0.05999165400862694
2,0,wasserstein,0.1,-0.16377383470535278,0.0,0.2316,0.14017850160598755
2,0,wasserstein,0.3,-0.17240391671657562,0.0,0.21,0.7303667068481445
2,0,wasserstein,1.0,-0.17414866387844086,0.0,0.2158,1.2215816974639893
2,1,bc,1.0,-0.9981694221496582,0.1159,0.055,1.7485251426696777
2,1,forward_kl,1.0,-0.1926322728395462,0.0,0.1939,-0.36787742376327515
2,1,l2_constraint,0.03,-0.1622724086046219,0.0,0.2239,0.0391680970788002
2,1,l2_constraint,0.05,-0.16473160684108734,0.0,0.2187,0.30159062147140503
2,1,l2_constraint,0.1,-0.16722865402698517,0.0,0.2176,0.14589859545230865
2,1,l2_constraint,0.3,-0.16578355431556702,0.0,0.2257,0.761023998260498
2,1,l2_constraint,1.0,-0.16243106126785278,0.0,0.2222,1.3864154815673828
2,1,partial_ot,0.03,-0.19712229073047638,0.0001,0.1956,-1.9556618928909302
2,1,partial_ot,0.05,-0.2438497096300125,0.0001,0.159,-3.827695608139038
2,1,partial_ot,0.1,-0.7955032587051392,0.0332,0.0308,-7.469139099121094
2,1,partial_ot,0.3,-1.526241660118103,0.1598,0.0286,-19.335052490234375
2,1,partial_ot,1.0,-6.531041622161865,0.4801,0.0063,-61.59911346435547
2,1,reverse_kl,1.0,-0.17091494798660278,0.0,0.2143,-0.4838365912437439
2,1,unbalanced_ot,0.03,-0.16521857678890228,0.0,0.2193,0.4598366618156433
2,1,unbalanced_ot,0.05,-0.1622399240732193,0.0,0.2316,0.2781449556350708
2,1,unbalanced_ot,0.1,-0.16409608721733093,0.0,0.2182,0.37949004769325256
2,1,unbalanced_ot,0.3,-0.1651248037815094,0.0,0.2249,-0.2567102909088135
2,1,unbalanced_ot,1.0,-0.16848310828208923,0.0,0.2216,0.89453125
2,1,wasserstein,0.03,-0.1617254912853241,0.0,0.2255,0.14238618314266205
2,1,wasserstein,0.05,-0.16667264699935913,0.0,0.223,0.4856022596359253
2,1,wasserstein,0.1,-0.1683378964662552,0.0,0.2173,0.45950525999069214
2,1,wasserstein,0.3,-0.16743071377277374,0.0,0.2231,0.34951314330101013
2,1,wasserstein,1.0,-0.1759520024061203,0.0,0.2124,1.3376117944717407
2,2,bc,1.0,-0.9871206283569336,0.1152,0.0589,1.7401106357574463
2,2,forward_kl,1.0,-0.19701865315437317,0.0,0.1913,-0.41632890701293945
2,2,l2_constraint,0.03,-0.16424626111984253,0.0,0.2222,0.04941830039024353
2,2,l2_constraint,0.05,-0.1653611809015274,0.0,0.2236,0.1100318431854248
2,2,l2_constraint,0.1,-0.16450612246990204,0.0,0.2251,0.016003437340259552
2,2,l2_constraint,0.3,-0.16654740273952484,0.0,0.2239,0.5893539190292358
2,2,l2_constraint,1.0,-0.16407081484794617,0.0,0.218,1.5802077054977417
2,2,partial_ot,0.03,-0.2009863555431366,0.0,0.1859,-2.3290090560913086
2,2,partial_ot,0.05,-0.37235990166664124,0.0013,0.0952,-3.619688034057617
2,2,partial_ot,0.1,-0.7294013500213623,0.026,0.0373,-7.137134075164795
2,2,partial_ot,0.3,-1.9198017120361328,0.2429,0.0244,-18.23755645751953
2,2,partial_ot,1.0,-6.086007595062256,0.4867,0.0059,-69.49305725097656
2,2,reverse_kl,1.0,-0.15578672289848328,0.0,0.2405,0.9816679954528809
2,2,unbalanced_ot,0.03,-0.16760419309139252,0.0,0.2194,0.13379046320915222
2,2,unbalanced_ot,0.05,-0.1606632024049759,0.0,0.222,0.1782798022031784
2,2,unbalanced_ot,0.1,-0.16218705475330353,0.0,0.2284,-0.04567496106028557
2,2,unbalanced_ot,0.3,-0.16628430783748627,0.0,0.2206,0.04446139186620712
2,2,unbalanced_ot,1.0,-0.16738075017929077,0.0,0.2249,0.5560343861579895
2,2,wasserstein,0.03,-0.16702620685100555,0.0,0.2248,0.23780739307403564
2,2,wasserstein,0.05,-0.16438931226730347,0.0,0.2275,0.20745883882045746
2,2,wasserstein,0.1,-0.16736790537834167,0.0,0.2168,0.42928004264831543
2,2,wasserstein,0.3,-0.17182381451129913,0.0,0.2157,0.4887414872646332
2,2,wasserstein,1.0,-0.17343440651893616,0.0,0.2107,1.16883385181427
4,0,bc,1.0,-1.2506625652313232,0.1083,0.0153,2.8491597175598145
4,0,forward_kl,1.0,-0.2770644426345825,0.0,0.1199,-1.4017763137817383
4,0,l2_constraint,0.03,-0.3340500295162201,0.0,0.0913,0.4749915897846222
4,0,l2_constraint,0.05,-0.33354756236076355,0.0,0.0881,0.7626452445983887
4,0,l2_constraint,0.1,-0.3292858600616455,0.0,0.0889,0.8327396512031555
4,0,l2_constraint,0.3,-0.3322871923446655,0.0,0.0873,0.8788858652114868
4,0,l2_constraint,1.0,-0.330026239156723,0.0,0.0944,3.1665198802948
4,0,partial_ot,0.03,-0.3788256049156189,0.0,0.0732,-2.797820568084717
4,0,partial_ot,0.05,-0.4595395624637604,0.0001,0.0488,-4.010167121887207
4,0,partial_ot,0.1,-1.1119427680969238,0.0465,0.0106,-6.377237796783447
4,0,partial_ot,0.3,-1.7950809001922607,0.0979,0.0045,-24.075904846191406
4,0,partial_ot,1.0,-10.661582946777344,0.5238,0.0001,-88.73739624023438
4,0,reverse_kl,1.0,-0.2380751520395279,0.0,0.1578,-1.5390392541885376
4,0,unbalanced_ot,0.03,-0.33498138189315796,0.0,0.0886,0.4228540062904358
4,0,unbalanced_ot,0.05,-0.32925209403038025,0.0,0.0909,0.32936349511146545
4,0,unbalanced_ot,0.1,-0.3280552625656128,0.0,0.0863,0.4846022129058838
4,0,unbalanced_ot,0.3,-0.3297464847564697,0.0,0.0897,0.5547888278961182
4,0,unbalanced_ot,1.0,-0.33007872104644775,0.0,0.09,1.328505516052246
4,0,wasserstein,0.03,-0.32893121242523193,0.0,0.0932,0.0888647735118866
4,0,wasserstein,0.05,-0.33176958560943604,0.0,0.0863,0.388350248336792
4,0,wasserstein,0.1,-0.33166003227233887,0.0,0.0818,0.9929004907608032
4,0,wasserstein,0.3,-0.33292779326438904,0.0,0.0868,0.7089866399765015
4,0,wasserstein,1.0,-0.34148073196411133,0.0,0.0885,1.5432233810424805
4,1,bc,1.0,-1.292736530303955,0.1167,0.0144,2.5382299423217773
4,1,forward_kl,1.0,-0.3523974120616913,0.0,0.0876,-0.913557231426239
4,1,l2_constraint,0.03,-0.3289787471294403,0.0,0.0888,0.39263662695884705
4,1,l2_constraint,0.05,-0.3316059708595276,0.0,0.0943,0.21146491169929504
4,1,l2_constraint,0.1,-0.3319215774536133,0.0,0.0865,0.2902584671974182
4,1,l2_constraint,0.3,-0.33207643032073975,0.0,0.0914,0.605312705039978
4,1,l2_constraint,1.0,-0.33161020278930664,0.0,0.0912,2.0553481578826904
4,1,partial_ot,0.03,-0.3648659288883209,0.0,0.0796,-1.6350624561309814
4,1,partial_ot,0.05,-0.42309874296188354,0.0,0.0576,-3.9925081729888916
4,1,partial_ot,0.1,-0.6696166396141052,0.0029,0.0234,-7.198212623596191
4,1,partial_ot,0.3,-2.337141513824463,0.2157,0.0037,-24.18764305114746
4,1,partial_ot,1.0,-9.528745651245117,0.5261,0.0,-74.95465087890625
4,1,reverse_kl,1.0,-0.24099533259868622,0.0,0.1542,-0.3077045679092407
4,1,unbalanced_ot,0.03,-0.3300839364528656,0.0,0.0875,0.4495406150817871
4,1,unbalanced_ot,0.05,-0.3322770893573761,0.0,0.0901,0.05826322361826897
4,1,unbalanced_ot,0.1,-0.3329021632671356,0.0,0.089,0.18262545764446259
4,1,unbalanced_ot,0.3,-0.33021730184555054,0.0,0.0927,0.17322541773319244
4,1,unbalanced_ot,1.0,-0.33309680223464966,0.0,0.0856,1.792248249053955
4,1,wasserstein,0.03,-0.3347986936569214,0.0,0.0878,0.67840576171875
4,1,wasserstein,0.05,-0.32919102907180786,0.0,0.0923,0.2789502739906311
4,1,wasserstein,0.1,-0.3345850110054016,0.0,0.0857,0.7099630832672119
4,1,wasserstein,0.3,-0.3382837772369385,0.0,0.0905,0.4818602204322815
4,1,wasserstein,1.0,-0.34418004751205444,0.0,0.0909,1.1817176342010498
4,2,bc,1.0,-1.26937735080719,0.1165,0.0183,2.6615371704101562
4,2,forward_kl,1.0,-0.344248503446579,0.0,0.0954,-0.9779213666915894
4,2,l2_constraint,0.03,-0.32909876108169556,0.0,0.091,0.6182804703712463
4,2,l2_constraint,0.05,-0.33157163858413696,0.0,0.091,0.1992972493171692
4,2,l2_constraint,0.1,-0.32947733998298645,0.0,0.0914,0.8724461793899536
4,2,l2_constraint,0.3,-0.3358187973499298,0.0,0.0908,0.7166516780853271
4,2,l2_constraint,1.0,-0.32896220684051514,0.0,0.0985,2.030928134918213
4,2,partial_ot,0.03,-0.37863847613334656,0.0001,0.0714,-1.8853676319122314
4,2,partial_ot,0.05,-0.5691809058189392,0.0008,0.0303,-2.9984664916992188
4,2,partial_ot,0.1,-0.7043360471725464,0.0045,0.023,-9.45248031616211
4,2,partial_ot,0.3,-2.302189826965332,0.1254,0.0017,-20.721477508544922
