dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
2,bc,1.0,3,-0.9847716887791952,0.01201352689739787,0.1139,0.0023508863576673926,0.05793333333333334,0.002113974666094391
2,forward_kl,1.0,3,-0.3501809736092885,0.026308690633988056,0.0030333333333333336,0.0019293061504650378,0.1184,0.006507431649019962
2,l2_constraint,0.03,3,-0.1643504003683726,0.0019530181791367156,0.0,0.0,0.22266666666666665,0.0012710450643291713
2,l2_constraint,0.05,3,-0.16672680775324503,0.0005258300848750283,0.0,0.0,0.22173333333333334,0.0027644569488820443
2,l2_constraint,0.1,3,-0.16497965653737387,0.0016733435414004894,0.0,0.0,0.22183333333333333,0.005470730197047634
2,l2_constraint,0.3,3,-0.16587572793165842,0.0019450915401136187,0.0,0.0,0.21906666666666666,0.00283352940498045
2,l2_constraint,1.0,3,-0.1656436969836553,0.0009418043488557331,0.0,0.0,0.2219,0.005905929224093359
2,partial_ot,0.03,3,-0.19511958956718445,0.003064242497439086,0.0,0.0,0.18969999999999998,0.0030626785662227025
2,partial_ot,0.05,3,-0.3003812332948049,0.05281797348780182,0.0004333333333333333,0.00041899350299921784,0.12706666666666666,0.026205639766194517
2,partial_ot,0.1,3,-0.7355416417121887,0.08042741081252697,0.026399999999999996,0.00787400787401181,0.037899999999999996,0.00674536878161602
2,partial_ot,0.3,3,-1.6407772302627563,0.3700098691328339,0.18266666666666667,0.062597781288335,0.0268,0.00455265490309409
2,partial_ot,1.0,3,-6.844716389973958,0.8910747213457012,0.49760000000000004,0.01894958222934393,0.006866666666666667,0.0013097921802925666
2,reverse_kl,1.0,3,-0.32635600368181866,0.07650030524550344,0.004,0.004456455991031438,0.13286666666666666,0.023995323618479402
2,unbalanced_ot,0.03,3,-0.16507447262605032,0.0012921647381019862,0.0,0.0,0.22163333333333335,0.0008219218670625312
2,unbalanced_ot,0.05,3,-0.1655415097872416,0.0018905356111773432,0.0,0.0,0.2185,0.0038131351929875136
2,unbalanced_ot,0.1,3,-0.16444700956344604,0.0014889097195957405,0.0,0.0,0.2247,0.003840138886377243
2,unbalanced_ot,0.3,3,-0.16683230797449747,0.0004329988896950813,0.0,0.0,0.21646666666666667,0.004845157949495105
2,unbalanced_ot,1.0,3,-0.16806424160798392,0.0008921915393294637,0.0,0.0,0.22146666666666667,0.002151485275080652
2,wasserstein,0.03,3,-0.16716385881106058,0.0007163113773984911,0.0,0.0,0.22093333333333334,0.0036298148100909456
2,wasserstein,0.05,3,-0.1661825180053711,0.0022275867300505132,0.0,0.0,0.21976666666666667,0.002230595336576214
2,wasserstein,0.1,3,-0.16623642047246298,0.0007296592209144396,0.0,0.0,0.2194666666666667,0.004686386904879093
2,wasserstein,0.3,3,-0.17129915952682495,0.0037208446763015227,0.0,0.0,0.2131333333333333,0.0021514852750806556
2,wasserstein,1.0,3,-0.17751977841059366,0.0010189282051055056,0.0,0.0,0.20689999999999997,0.003207283377979985
4,bc,1.0,3,-1.270925482114156,0.017211472281416784,0.11383333333333333,0.003913509365717116,0.016,0.001667333200053307
4,forward_kl,1.0,3,-0.5475263098875681,0.07136646721904245,0.003533333333333333,0.0033028607129106866,0.0469,0.010627323275406652
4,l2_constraint,0.03,3,-0.32758091886838275,0.0019498007251947554,0.0,0.0,0.09079999999999999,0.002624245923435276
4,l2_constraint,0.05,3,-0.3297187387943268,0.0019341595527983223,0.0,0.0,0.08900000000000001,0.0005099019513592759
4,l2_constraint,0.1,3,-0.32836148142814636,0.0016736410985322837,0.0,0.0,0.09349999999999999,0.002578113005022602
4,l2_constraint,0.3,3,-0.32881757616996765,0.0021114414713354554,0.0,0.0,0.08950000000000001,0.0007874007874011802
4,l2_constraint,1.0,3,-0.3300149341424306,0.0029190047661695304,0.0,0.0,0.0926,0.005675091776056729
4,partial_ot,0.03,3,-0.3728199005126953,0.0029008229808483786,0.0,0.0,0.07423333333333333,0.002880200610297057
4,partial_ot,0.05,3,-0.47798728942871094,0.06072329857833203,0.00016666666666666666,0.00023570226039551585,0.04926666666666666,0.01103005993738122
4,partial_ot,0.1,3,-0.8550392587979635,0.21142542513774182,0.020833333333333332,0.024878683423543314,0.0194,0.008371777987182093
4,partial_ot,0.3,3,-1.973965326944987,0.25128875802620665,0.13836666666666667,0.040729787079673715,0.0042,0.00147648230602334
