dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.625614881515503,0.019,0.0392,5.265657424926758
2,0,forward_kl,1.0,-0.10377480834722519,0.0,0.2405,-0.7218019962310791
2,0,l2_constraint,0.03,-0.16419076919555664,0.0,0.161,0.5061418414115906
2,0,l2_constraint,0.05,-0.16283051669597626,0.0,0.1644,0.8701751828193665
2,0,l2_constraint,0.1,-0.16401153802871704,0.0,0.1531,1.5635956525802612
2,0,l2_constraint,0.3,-0.16489975154399872,0.0,0.1605,4.008559703826904
2,0,l2_constraint,1.0,-0.17297866940498352,0.0,0.1528,12.856261253356934
2,0,partial_ot,0.03,-0.19861558079719543,0.0,0.1303,-0.8629463315010071
2,0,partial_ot,0.05,-0.34211376309394836,0.0,0.0823,-1.6797268390655518
2,0,partial_ot,0.1,-1.1403475999832153,0.0,0.007,-3.930260181427002
2,0,partial_ot,0.3,-3.5954272747039795,0.0699,0.0073,-21.148195266723633
2,0,partial_ot,1.0,-10.6543550491333,0.3874,0.0073,-130.39791870117188
2,0,reverse_kl,1.0,-0.05798262357711792,0.0,0.3971,-0.7139608860015869
2,0,unbalanced_ot,0.03,-0.166639044880867,0.0,0.1634,0.3155067563056946
2,0,unbalanced_ot,0.05,-0.16597501933574677,0.0,0.1672,0.4068030118942261
2,0,unbalanced_ot,0.1,-0.17082436382770538,0.0,0.1548,0.5929633975028992
2,0,unbalanced_ot,0.3,-0.17600402235984802,0.0,0.1491,1.7186946868896484
2,0,unbalanced_ot,1.0,-0.7899922728538513,0.0006,0.0556,6.723392486572266
2,0,wasserstein,0.03,-0.16587866842746735,0.0,0.1593,0.5147818922996521
2,0,wasserstein,0.05,-0.1671365350484848,0.0,0.1623,0.7623652815818787
2,0,wasserstein,0.1,-0.17429578304290771,0.0,0.1514,1.4705413579940796
2,0,wasserstein,0.3,-0.3142918646335602,0.0,0.0967,3.180684804916382
2,0,wasserstein,1.0,-1.5231190919876099,0.0138,0.0406,10.774343490600586
2,1,bc,1.0,-1.6186989545822144,0.0212,0.0373,5.0909504890441895
2,1,forward_kl,1.0,-0.10303277522325516,0.0,0.2469,-0.663600742816925
2,1,l2_constraint,0.03,-0.16452746093273163,0.0,0.16,0.5494924783706665
