dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.625614881515503,0.019,0.0392,5.265657424926758
2,0,forward_kl,1.0,-0.47420716285705566,0.0,0.0727,5.458235263824463
2,0,l2_constraint,0.03,-0.16282592713832855,0.0,0.1601,0.9946524500846863
2,0,l2_constraint,0.05,-0.16601677238941193,0.0,0.1643,0.7192991375923157
2,0,l2_constraint,0.1,-0.1625102311372757,0.0,0.1613,1.5155737400054932
2,0,l2_constraint,0.3,-0.1642637699842453,0.0,0.1566,4.71265983581543
2,0,l2_constraint,1.0,-0.17140063643455505,0.0,0.1621,13.14815616607666
2,0,partial_ot,0.03,-0.19560332596302032,0.0,0.1371,-0.6246771812438965
2,0,partial_ot,0.05,-0.2660200297832489,0.0,0.1063,-1.5559148788452148
2,0,partial_ot,0.1,-1.1354870796203613,0.0,0.0071,-4.056307792663574
2,0,partial_ot,0.3,-3.4848756790161133,0.0701,0.0075,-22.28007698059082
2,0,partial_ot,1.0,-10.688100814819336,0.3705,0.0059,-118.33856201171875
2,0,reverse_kl,1.0,-0.3682290017604828,0.0,0.0939,0.3341103792190552
2,0,unbalanced_ot,0.03,-0.16469471156597137,0.0,0.1573,0.6943703889846802
2,0,unbalanced_ot,0.05,-0.16435429453849792,0.0,0.1585,0.9158852696418762
2,0,unbalanced_ot,0.1,-0.16331595182418823,0.0,0.162,0.7261590957641602
2,0,unbalanced_ot,0.3,-0.17343339323997498,0.0,0.1475,1.7593994140625
2,0,unbalanced_ot,1.0,-0.7654902935028076,0.0007,0.0559,7.196523189544678
2,0,wasserstein,0.03,-0.16845004260540009,0.0,0.1561,0.2122001051902771
2,0,wasserstein,0.05,-0.17253002524375916,0.0,0.1553,2.0414137840270996
2,0,wasserstein,0.1,-0.17318594455718994,0.0,0.1493,1.4104160070419312
2,0,wasserstein,0.3,-0.3207416832447052,0.0,0.0921,3.2558860778808594
2,0,wasserstein,1.0,-1.6037037372589111,0.018,0.0403,10.555057525634766
2,1,bc,1.0,-1.6186989545822144,0.0212,0.0373,5.0909504890441895
2,1,forward_kl,1.0,-0.4082089066505432,0.0,0.0745,1.7343710660934448
2,1,l2_constraint,0.03,-0.16705913841724396,0.0,0.1581,1.3363207578659058
2,1,l2_constraint,0.05,-0.16721051931381226,0.0,0.158,0.8790414333343506
2,1,l2_constraint,0.1,-0.1665317565202713,0.0,0.1589,2.1660099029541016
2,1,l2_constraint,0.3,-0.16472604870796204,0.0,0.1618,4.066084861755371
2,1,l2_constraint,1.0,-0.16685271263122559,0.0,0.1609,11.849172592163086
2,1,partial_ot,0.03,-0.2241896688938141,0.0,0.1193,-1.645273208618164
2,1,partial_ot,0.05,-0.28600189089775085,0.0,0.095,-0.710425615310669
2,1,partial_ot,0.1,-1.4112293720245361,0.0,0.002,-5.513107776641846
2,1,partial_ot,0.3,-3.675896406173706,0.0664,0.0061,-18.369583129882812
2,1,partial_ot,1.0,-7.871987342834473,0.3099,0.0113,-74.9360580444336
2,1,reverse_kl,1.0,-0.3787723481655121,0.0,0.0953,-0.02836868166923523
2,1,unbalanced_ot,0.03,-0.1671140193939209,0.0,0.1599,0.13558652997016907
2,1,unbalanced_ot,0.05,-0.16859546303749084,0.0,0.1556,0.64559406042099
2,1,unbalanced_ot,0.1,-0.1666012853384018,0.0,0.1643,0.7925124168395996
2,1,unbalanced_ot,0.3,-0.17229387164115906,0.0,0.1542,1.4344890117645264
2,1,unbalanced_ot,1.0,-0.7626821994781494,0.0005,0.0599,5.53538179397583
2,1,wasserstein,0.03,-0.16988389194011688,0.0,0.1601,0.5504732728004456
2,1,wasserstein,0.05,-0.16691160202026367,0.0,0.1545,1.6436407566070557
2,1,wasserstein,0.1,-0.17463558912277222,0.0,0.1556,0.9111453294754028
2,1,wasserstein,0.3,-0.3304186463356018,0.0,0.0958,4.1942853927612305
2,1,wasserstein,1.0,-1.5863454341888428,0.0193,0.0353,9.675466537475586
2,2,bc,1.0,-1.621992826461792,0.021,0.0377,5.470717430114746
2,2,forward_kl,1.0,-0.4102289080619812,0.0,0.0881,-0.008317333646118641
2,2,l2_constraint,0.03,-0.1632300168275833,0.0,0.1634,0.2799915075302124
2,2,l2_constraint,0.05,-0.1671578586101532,0.0,0.1569,1.637601613998413
2,2,l2_constraint,0.1,-0.1669699251651764,0.0,0.1662,1.0141299962997437
2,2,l2_constraint,0.3,-0.16818496584892273,0.0,0.1578,4.768914699554443
2,2,l2_constraint,1.0,-0.17338386178016663,0.0,0.1475,13.520307540893555
2,2,partial_ot,0.03,-0.24520805478096008,0.0,0.1069,-1.6918483972549438
2,2,partial_ot,0.05,-0.4631260633468628,0.0,0.0505,-2.3779373168945312
2,2,partial_ot,0.1,-1.5119432210922241,0.0,0.0018,-5.458176136016846
2,2,partial_ot,0.3,-3.258876085281372,0.0696,0.0117,-16.39490509033203
2,2,partial_ot,1.0,-8.257155418395996,0.321,0.0082,-84.32064819335938
2,2,reverse_kl,1.0,-0.33515235781669617,0.0,0.1031,2.014204740524292
2,2,unbalanced_ot,0.03,-0.16416090726852417,0.0,0.158,0.06899967044591904
2,2,unbalanced_ot,0.05,-0.16519995033740997,0.0,0.1647,0.9794783592224121
2,2,unbalanced_ot,0.1,-0.1665678471326828,0.0,0.1595,0.6293193101882935
2,2,unbalanced_ot,0.3,-0.17299875617027283,0.0,0.1418,2.2521939277648926
2,2,unbalanced_ot,1.0,-0.7900418043136597,0.0005,0.0608,6.420495986938477
2,2,wasserstein,0.03,-0.16824215650558472,0.0,0.1576,0.4934033751487732
2,2,wasserstein,0.05,-0.16844214498996735,0.0,0.1573,0.47259166836738586
2,2,wasserstein,0.1,-0.17584258317947388,0.0,0.1484,1.8543181419372559
2,2,wasserstein,0.3,-0.31675323843955994,0.0,0.0928,3.2662158012390137
2,2,wasserstein,1.0,-1.6167349815368652,0.0182,0.038,10.689464569091797
4,0,bc,1.0,-1.7731066942214966,0.0197,0.0141,5.445150852203369
4,0,forward_kl,1.0,-0.544152557849884,0.0,0.024,1.8233013153076172
