dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.6367071866989136,0.0051,0.0211,8.944672584533691
2,0,forward_kl,1.0,-0.388903945684433,0.0,0.0163,0.6350422501564026
2,0,l2_constraint,0.03,-0.16429822146892548,0.0,0.0003,0.9169130325317383
2,0,l2_constraint,0.05,-0.16318677365779877,0.0,0.0002,1.4467747211456299
2,0,l2_constraint,0.1,-0.1638624519109726,0.0,0.0004,2.68400239944458
2,0,l2_constraint,0.3,-0.16490988433361053,0.0,0.0002,7.757803916931152
2,0,l2_constraint,1.0,-0.17919500172138214,0.0,0.0012,25.185470581054688
2,0,partial_ot,0.03,-0.31367406249046326,0.0,0.016,-0.12341058254241943
2,0,partial_ot,0.05,-0.8684687614440918,0.0,0.0717,-0.8930107951164246
2,0,partial_ot,0.1,-1.1610482931137085,0.0,0.0592,-2.329845905303955
2,0,partial_ot,0.3,-3.2055094242095947,0.0091,0.0307,-13.327210426330566
2,0,partial_ot,1.0,-8.499831199645996,0.2445,0.0084,-124.21959686279297
2,0,reverse_kl,1.0,-0.4634777307510376,0.0,0.0233,0.8356964588165283
2,0,unbalanced_ot,0.03,-0.16694916784763336,0.0,0.0004,0.46646642684936523
2,0,unbalanced_ot,0.05,-0.1664717048406601,0.0,0.0006,0.6498309969902039
2,0,unbalanced_ot,0.1,-0.17233137786388397,0.0,0.0006,1.008584976196289
2,0,unbalanced_ot,0.3,-0.20015157759189606,0.0,0.0023,2.627455472946167
2,0,unbalanced_ot,1.0,-2.3694446086883545,0.0217,0.0201,14.747062683105469
2,0,wasserstein,0.03,-0.16709980368614197,0.0,0.0003,0.8534988760948181
2,0,wasserstein,0.05,-0.16993725299835205,0.0,0.0007,1.3773140907287598
2,0,wasserstein,0.1,-0.1851768046617508,0.0,0.0006,2.6833202838897705
2,0,wasserstein,0.3,-0.6928790807723999,0.0,0.0208,6.567617416381836
2,0,wasserstein,1.0,-2.7227730751037598,0.0294,0.0155,20.347070693969727
2,1,bc,1.0,-1.6325591802597046,0.0057,0.0228,8.927160263061523
2,1,forward_kl,1.0,-0.3952313959598541,0.0,0.0176,0.7845450043678284
2,1,l2_constraint,0.03,-0.16434556245803833,0.0,0.0007,0.9298189878463745
2,1,l2_constraint,0.05,-0.16733373701572418,0.0,0.0004,1.5927574634552002
2,1,l2_constraint,0.1,-0.16797299683094025,0.0,0.0003,2.6840262413024902
2,1,l2_constraint,0.3,-0.16766954958438873,0.0,0.0003,8.032588005065918
2,1,l2_constraint,1.0,-0.18169280886650085,0.0,0.0021,25.327136993408203
2,1,partial_ot,0.03,-0.23560617864131927,0.0,0.0048,-0.29282206296920776
2,1,partial_ot,0.05,-0.5562775135040283,0.0,0.0426,-0.2843136191368103
2,1,partial_ot,0.1,-1.0695136785507202,0.0,0.0,-2.9181599617004395
2,1,partial_ot,0.3,-3.2296149730682373,0.0027,0.0,-13.051983833312988
2,1,partial_ot,1.0,-7.883511066436768,0.2183,0.0115,-55.635589599609375
2,1,reverse_kl,1.0,-0.40731385350227356,0.0,0.0224,0.978904128074646
2,1,unbalanced_ot,0.03,-0.1634695827960968,0.0,0.0003,0.39586177468299866
2,1,unbalanced_ot,0.05,-0.16880956292152405,0.0,0.0,0.5875266790390015
2,1,unbalanced_ot,0.1,-0.16953019797801971,0.0,0.0004,1.054129958152771
2,1,unbalanced_ot,0.3,-0.1960178017616272,0.0,0.002,2.8037993907928467
2,1,unbalanced_ot,1.0,-2.2598578929901123,0.0188,0.0179,12.62675952911377
2,1,wasserstein,0.03,-0.16936776041984558,0.0,0.0002,0.9037588238716125
2,1,wasserstein,0.05,-0.16940027475357056,0.0,0.0005,1.3751636743545532
2,1,wasserstein,0.1,-0.18367192149162292,0.0,0.0013,2.600360631942749
2,1,wasserstein,0.3,-0.6741963624954224,0.0,0.0211,7.330319881439209
2,1,wasserstein,1.0,-2.790273904800415,0.0348,0.0157,19.281049728393555
2,2,bc,1.0,-1.6323429346084595,0.0066,0.0237,9.158748626708984
2,2,forward_kl,1.0,-0.39820703864097595,0.0,0.0164,0.6830184459686279
2,2,l2_constraint,0.03,-0.16651012003421783,0.0,0.0008,0.8396865725517273
2,2,l2_constraint,0.05,-0.16275428235530853,0.0,0.0003,1.555424451828003
2,2,l2_constraint,0.1,-0.16382090747356415,0.0,0.0005,2.7141857147216797
2,2,l2_constraint,0.3,-0.17038334906101227,0.0,0.0011,7.569911003112793
2,2,l2_constraint,1.0,-0.17253556847572327,0.0,0.0009,26.384811401367188
2,2,partial_ot,0.03,-0.44552862644195557,0.0,0.0299,-0.74834144115448
2,2,partial_ot,0.05,-0.9811176657676697,0.0,0.0851,-1.229966640472412
2,2,partial_ot,0.1,-0.5877697467803955,0.0,0.0265,-1.3410706520080566
2,2,partial_ot,0.3,-3.3372652530670166,0.006,0.0259,-16.19417381286621
2,2,partial_ot,1.0,-7.674633026123047,0.2049,0.0079,-81.56806945800781
2,2,reverse_kl,1.0,-0.4121754467487335,0.0,0.0221,1.0705890655517578
2,2,unbalanced_ot,0.03,-0.1644926220178604,0.0,0.0003,0.5000036358833313
2,2,unbalanced_ot,0.05,-0.16639380156993866,0.0,0.0003,0.6203554272651672
2,2,unbalanced_ot,0.1,-0.1655595898628235,0.0,0.0006,0.9487977027893066
2,2,unbalanced_ot,0.3,-0.1930515468120575,0.0,0.002,2.5380916595458984
2,2,unbalanced_ot,1.0,-2.274750232696533,0.019,0.0188,12.390336036682129
2,2,wasserstein,0.03,-0.1657940000295639,0.0,0.0003,0.9510788321495056
2,2,wasserstein,0.05,-0.1710004061460495,0.0,0.0005,1.2461438179016113
2,2,wasserstein,0.1,-0.18906491994857788,0.0,0.0014,2.7100203037261963
2,2,wasserstein,0.3,-0.7057237029075623,0.0,0.0185,7.612144470214844
2,2,wasserstein,1.0,-2.8043692111968994,0.0342,0.0163,19.989315032958984
4,0,bc,1.0,-1.7412835359573364,0.0056,0.0061,8.718744277954102
4,0,forward_kl,1.0,-0.5921433568000793,0.0,0.0061,0.6208598613739014
4,0,l2_constraint,0.03,-0.3303929269313812,0.0,0.0001,1.1468639373779297
4,0,l2_constraint,0.05,-0.33263713121414185,0.0,0.0001,1.5509021282196045
4,0,l2_constraint,0.1,-0.32776162028312683,0.0,0.0,2.8332738876342773
4,0,l2_constraint,0.3,-0.3388575315475464,0.0,0.0002,8.284602165222168
4,0,l2_constraint,1.0,-0.3452422320842743,0.0,0.0004,27.09330177307129
4,0,partial_ot,0.03,-0.4300696849822998,0.0,0.0013,-0.2798965871334076
4,0,partial_ot,0.05,-0.9031932353973389,0.0,0.0137,-0.4470495581626892
4,0,partial_ot,0.1,-1.3240113258361816,0.0,0.0138,-1.8776978254318237
4,0,partial_ot,0.3,-3.4380507469177246,0.0004,0.0,-15.689735412597656
4,0,partial_ot,1.0,-9.648789405822754,0.2637,0.0012,-97.16871643066406
4,0,reverse_kl,1.0,-0.5748974680900574,0.0,0.0092,0.4819088578224182
4,0,unbalanced_ot,0.03,-0.3339255750179291,0.0,0.0,0.5770578980445862
4,0,unbalanced_ot,0.05,-0.32580214738845825,0.0,0.0003,0.7125279903411865
4,0,unbalanced_ot,0.1,-0.3274948298931122,0.0,0.0001,1.2293424606323242
4,0,unbalanced_ot,0.3,-0.3582412004470825,0.0,0.0004,3.402752637863159
4,0,unbalanced_ot,1.0,-2.4246487617492676,0.0197,0.0037,15.52927303314209
4,0,wasserstein,0.03,-0.33386874198913574,0.0,0.0,1.0139914751052856
4,0,wasserstein,0.05,-0.3432619273662567,0.0,0.0,1.4729862213134766
4,0,wasserstein,0.1,-0.34858137369155884,0.0,0.0002,2.6755943298339844
4,0,wasserstein,0.3,-0.863311231136322,0.0,0.0042,6.7701921463012695
4,0,wasserstein,1.0,-2.918759822845459,0.0326,0.0033,18.884618759155273
4,1,bc,1.0,-1.7781685590744019,0.0071,0.0059,8.64132308959961
4,1,forward_kl,1.0,-0.5996296405792236,0.0,0.0041,1.0711718797683716
4,1,l2_constraint,0.03,-0.3339850604534149,0.0,0.0,1.1643023490905762
4,1,l2_constraint,0.05,-0.3352396488189697,0.0,0.0001,1.615380883216858
4,1,l2_constraint,0.1,-0.33395612239837646,0.0,0.0,3.0318310260772705
4,1,l2_constraint,0.3,-0.33494922518730164,0.0,0.0001,7.942748546600342
4,1,l2_constraint,1.0,-0.3484767973423004,0.0,0.0004,25.211517333984375
4,1,partial_ot,0.03,-0.5232900381088257,0.0,0.0039,0.11539429426193237
4,1,partial_ot,0.05,-0.5466404557228088,0.0,0.0047,-0.31587427854537964
4,1,partial_ot,0.1,-2.334106922149658,0.0,0.0081,-5.099756240844727
