dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.6367071866989136,0.0051,0.0211,8.944672584533691
2,0,forward_kl,1.0,-0.8892332315444946,0.0001,0.0245,0.6345616579055786
2,0,l2_constraint,0.03,-0.16687601804733276,0.0,0.0002,0.7772492170333862
2,0,l2_constraint,0.05,-0.1693989336490631,0.0,0.0005,1.4807437658309937
2,0,l2_constraint,0.1,-0.16493862867355347,0.0,0.0005,2.8296594619750977
2,0,l2_constraint,0.3,-0.1676345020532608,0.0,0.0007,7.5314717292785645
2,0,l2_constraint,1.0,-0.17878615856170654,0.0,0.0011,25.48744010925293
2,0,partial_ot,0.03,-0.3128860592842102,0.0,0.0149,-0.2576265335083008
2,0,partial_ot,0.05,-0.8324586153030396,0.0,0.0705,-0.9624540209770203
2,0,partial_ot,0.1,-1.1157939434051514,0.0,0.0533,-2.452425003051758
2,0,partial_ot,0.3,-2.9699289798736572,0.0004,0.03,-13.525575637817383
2,0,partial_ot,1.0,-9.052485466003418,0.2554,0.0093,-129.54978942871094
2,0,reverse_kl,1.0,-0.8945876955986023,0.0,0.0315,0.7250397801399231
2,0,unbalanced_ot,0.03,-0.16558271646499634,0.0,0.0006,0.1778530776500702
2,0,unbalanced_ot,0.05,-0.1688343733549118,0.0,0.0007,0.7967773675918579
2,0,unbalanced_ot,0.1,-0.17222382128238678,0.0,0.0006,0.5418095588684082
2,0,unbalanced_ot,0.3,-0.19086317718029022,0.0,0.0015,2.7047789096832275
2,0,unbalanced_ot,1.0,-2.4440231323242188,0.0232,0.0154,13.469632148742676
2,0,wasserstein,0.03,-0.17130471765995026,0.0,0.0004,1.0287569761276245
2,0,wasserstein,0.05,-0.17487318813800812,0.0,0.0005,1.2189399003982544
2,0,wasserstein,0.1,-0.1834874451160431,0.0,0.0013,2.5664286613464355
2,0,wasserstein,0.3,-0.7020851373672485,0.0,0.0176,6.9483256340026855
2,0,wasserstein,1.0,-2.8416073322296143,0.036,0.0161,19.66952896118164
2,1,bc,1.0,-1.6325591802597046,0.0057,0.0228,8.927160263061523
2,1,forward_kl,1.0,-0.8132957816123962,0.0,0.0247,2.200754165649414
2,1,l2_constraint,0.03,-0.16253222525119781,0.0,0.0007,0.8001668453216553
2,1,l2_constraint,0.05,-0.16480879485607147,0.0,0.0007,1.679065227508545
2,1,l2_constraint,0.1,-0.16646808385849,0.0,0.0006,2.5793895721435547
2,1,l2_constraint,0.3,-0.16836099326610565,0.0,0.0004,7.993746757507324
2,1,l2_constraint,1.0,-0.17762374877929688,0.0,0.0011,25.305683135986328
2,1,partial_ot,0.03,-0.22945630550384521,0.0,0.0048,-0.2326216995716095
2,1,partial_ot,0.05,-0.5404641628265381,0.0,0.0396,-0.3511446714401245
2,1,partial_ot,0.1,-0.857374906539917,0.0,0.0435,-3.180349588394165
2,1,partial_ot,0.3,-3.201174736022949,0.0034,0.0,-13.110283851623535
2,1,partial_ot,1.0,-8.483634948730469,0.236,0.0132,-52.09090805053711
2,1,reverse_kl,1.0,-0.9054933786392212,0.0001,0.0358,0.5858427286148071
2,1,unbalanced_ot,0.03,-0.165699303150177,0.0,0.0003,0.6836532354354858
2,1,unbalanced_ot,0.05,-0.1632845401763916,0.0,0.0004,0.648331880569458
2,1,unbalanced_ot,0.1,-0.16645753383636475,0.0,0.0004,1.2589727640151978
2,1,unbalanced_ot,0.3,-0.19322781264781952,0.0,0.0021,2.2013282775878906
2,1,unbalanced_ot,1.0,-2.328310966491699,0.0184,0.0178,12.488323211669922
2,1,wasserstein,0.03,-0.1647072583436966,0.0,0.0002,0.8359488248825073
2,1,wasserstein,0.05,-0.17244862020015717,0.0,0.0005,1.6915316581726074
2,1,wasserstein,0.1,-0.18797095119953156,0.0,0.0009,2.7678050994873047
2,1,wasserstein,0.3,-0.6972525119781494,0.0001,0.0181,7.464378833770752
2,1,wasserstein,1.0,-2.7797727584838867,0.0321,0.0156,19.393966674804688
2,2,bc,1.0,-1.6323429346084595,0.0066,0.0237,9.158748626708984
2,2,forward_kl,1.0,-0.8113572001457214,0.0,0.0263,0.944900631904602
2,2,l2_constraint,0.03,-0.1644071340560913,0.0,0.0003,0.6831406950950623
2,2,l2_constraint,0.05,-0.1652112752199173,0.0,0.0004,1.3906687498092651
2,2,l2_constraint,0.1,-0.16398228704929352,0.0,0.0004,2.518510341644287
2,2,l2_constraint,0.3,-0.17011767625808716,0.0,0.0002,7.786768913269043
2,2,l2_constraint,1.0,-0.1846972107887268,0.0,0.0012,26.499439239501953
2,2,partial_ot,0.03,-0.45699697732925415,0.0,0.0345,-0.5273460745811462
2,2,partial_ot,0.05,-0.9597613215446472,0.0,0.0865,-1.0403269529342651
2,2,partial_ot,0.1,-0.9642629623413086,0.0,0.0008,-1.5886330604553223
2,2,partial_ot,0.3,-3.3218305110931396,0.0044,0.0248,-16.30020523071289
2,2,partial_ot,1.0,-7.648773670196533,0.2148,0.012,-71.0658950805664
2,2,reverse_kl,1.0,-0.8126046061515808,0.0,0.0284,0.7827274203300476
2,2,unbalanced_ot,0.03,-0.1681942492723465,0.0,0.0006,0.40099936723709106
2,2,unbalanced_ot,0.05,-0.161820188164711,0.0,0.0006,0.5962702631950378
2,2,unbalanced_ot,0.1,-0.16460715234279633,0.0,0.0001,0.6836965084075928
2,2,unbalanced_ot,0.3,-0.19402337074279785,0.0,0.0019,2.2930564880371094
2,2,unbalanced_ot,1.0,-2.3792672157287598,0.0237,0.0196,14.680734634399414
2,2,wasserstein,0.03,-0.16994722187519073,0.0,0.0005,0.9945783019065857
2,2,wasserstein,0.05,-0.16991643607616425,0.0,0.0006,1.2334163188934326
2,2,wasserstein,0.1,-0.1877397745847702,0.0,0.0007,2.8513941764831543
2,2,wasserstein,0.3,-0.7196508049964905,0.0,0.0187,7.841188430786133
2,2,wasserstein,1.0,-2.691580295562744,0.0287,0.0158,19.76217269897461
4,0,bc,1.0,-1.7412835359573364,0.0056,0.0061,8.718744277954102
4,0,forward_kl,1.0,-0.9929810762405396,0.0,0.0049,0.18800297379493713
4,0,l2_constraint,0.03,-0.3343047797679901,0.0,0.0,1.204386830329895
4,0,l2_constraint,0.05,-0.33374279737472534,0.0,0.0001,1.8917641639709473
4,0,l2_constraint,0.1,-0.3289598524570465,0.0,0.0,3.2086181640625
4,0,l2_constraint,0.3,-0.334026962518692,0.0,0.0001,8.155191421508789
4,0,l2_constraint,1.0,-0.3386007249355316,0.0,0.0001,27.017723083496094
4,0,partial_ot,0.03,-0.43749111890792847,0.0,0.0024,-0.6297518610954285
4,0,partial_ot,0.05,-0.9049066305160522,0.0,0.0138,-0.5883111357688904
4,0,partial_ot,0.1,-1.3834354877471924,0.0,0.0144,-1.982995629310608
4,0,partial_ot,0.3,-3.3676929473876953,0.0001,0.0,-15.464031219482422
4,0,partial_ot,1.0,-9.72978687286377,0.2642,0.001,-108.09300231933594
4,0,reverse_kl,1.0,-0.96474689245224,0.0002,0.01,-0.3067108988761902
4,0,unbalanced_ot,0.03,-0.3356300890445709,0.0,0.0,0.6320000290870667
4,0,unbalanced_ot,0.05,-0.3307630121707916,0.0,0.0003,0.7265686392784119
4,0,unbalanced_ot,0.1,-0.33072414994239807,0.0,0.0,1.3381799459457397
4,0,unbalanced_ot,0.3,-0.35861343145370483,0.0,0.0003,3.3143486976623535
4,0,unbalanced_ot,1.0,-2.3854317665100098,0.0178,0.004,13.470359802246094
4,0,wasserstein,0.03,-0.3316557705402374,0.0,0.0002,0.707751452922821
4,0,wasserstein,0.05,-0.33756503462791443,0.0,0.0001,1.4758195877075195
4,0,wasserstein,0.1,-0.3498230576515198,0.0,0.0003,3.2081217765808105
4,0,wasserstein,0.3,-0.8624672889709473,0.0,0.004,6.79294490814209
4,0,wasserstein,1.0,-2.9336092472076416,0.0316,0.0035,21.764480590820312
4,1,bc,1.0,-1.7781685590744019,0.0071,0.0059,8.64132308959961
4,1,forward_kl,1.0,-0.9343984127044678,0.0,0.0066,0.33710888028144836
4,1,l2_constraint,0.03,-0.32914629578590393,0.0,0.0001,1.1497974395751953
4,1,l2_constraint,0.05,-0.33195528388023376,0.0,0.0001,1.4312820434570312
4,1,l2_constraint,0.1,-0.3323764503002167,0.0,0.0001,2.8223319053649902
4,1,l2_constraint,0.3,-0.33671343326568604,0.0,0.0002,7.667497634887695
4,1,l2_constraint,1.0,-0.3445811867713928,0.0,0.0003,25.729320526123047
4,1,partial_ot,0.03,-0.5184873342514038,0.0,0.0042,0.09055531024932861
4,1,partial_ot,0.05,-0.5063477754592896,0.0,0.0044,-0.6540878415107727
4,1,partial_ot,0.1,-2.3742153644561768,0.0,0.0091,-5.180852890014648
4,1,partial_ot,0.3,-3.4316601753234863,0.0213,0.0049,-16.879398345947266
4,1,partial_ot,1.0,-9.73086166381836,0.2626,0.0021,-81.27080535888672
4,1,reverse_kl,1.0,-1.0072461366653442,0.0,0.0095,2.5136265754699707
4,1,unbalanced_ot,0.03,-0.3305758237838745,0.0,0.0003,0.7032467722892761
4,1,unbalanced_ot,0.05,-0.33340486884117126,0.0,0.0002,0.4557560682296753
4,1,unbalanced_ot,0.1,-0.3355739712715149,0.0,0.0,0.8927906155586243
4,1,unbalanced_ot,0.3,-0.3590998649597168,0.0,0.0005,2.964885950088501
4,1,unbalanced_ot,1.0,-2.4370877742767334,0.0177,0.0035,13.670942306518555
4,1,wasserstein,0.03,-0.33770281076431274,0.0,0.0001,1.3994539976119995
4,1,wasserstein,0.05,-0.3343907594680786,0.0,0.0,1.3793020248413086
4,1,wasserstein,0.1,-0.35375601053237915,0.0,0.0004,3.079143762588501
4,1,wasserstein,0.3,-0.8931623101234436,0.0,0.0038,6.67078971862793
