dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.6367071866989136,0.0051,0.0211,8.944672584533691
2,0,forward_kl,1.0,-0.9363999962806702,0.0002,0.0208,3.080404043197632
2,0,l2_constraint,0.03,-0.16289103031158447,0.0,0.0005,1.3853826522827148
2,0,l2_constraint,0.05,-0.16618721187114716,0.0,0.0003,1.3080283403396606
2,0,l2_constraint,0.1,-0.1627795696258545,0.0,0.0002,2.6537322998046875
2,0,l2_constraint,0.3,-0.1668960005044937,0.0,0.0009,8.498072624206543
2,0,l2_constraint,1.0,-0.1737760603427887,0.0,0.0009,25.552480697631836
2,0,partial_ot,0.03,-0.3129208981990814,0.0,0.0148,0.19035965204238892
2,0,partial_ot,0.05,-0.8889715075492859,0.0,0.0733,-0.9140084385871887
2,0,partial_ot,0.1,-1.1546521186828613,0.0,0.0567,-2.7685530185699463
2,0,partial_ot,0.3,-3.0574960708618164,0.003,0.033,-13.211246490478516
2,0,partial_ot,1.0,-8.741644859313965,0.2402,0.0087,-107.32467651367188
2,0,reverse_kl,1.0,-1.085172414779663,0.0003,0.0256,4.373784065246582
2,0,unbalanced_ot,0.03,-0.1649884730577469,0.0,0.0,0.8404184579849243
2,0,unbalanced_ot,0.05,-0.16499267518520355,0.0,0.0004,1.155890941619873
2,0,unbalanced_ot,0.1,-0.1646372675895691,0.0,0.0004,1.1381388902664185
2,0,unbalanced_ot,0.3,-0.19698454439640045,0.0,0.0015,2.779233455657959
2,0,unbalanced_ot,1.0,-2.301405191421509,0.0194,0.0177,14.68722915649414
2,0,wasserstein,0.03,-0.1698138415813446,0.0,0.0003,0.5471416711807251
2,0,wasserstein,0.05,-0.17536188662052155,0.0,0.0004,2.653318405151367
2,0,wasserstein,0.1,-0.1840876191854477,0.0,0.0012,2.618380546569824
2,0,wasserstein,0.3,-0.7073653936386108,0.0,0.0199,6.7131781578063965
2,0,wasserstein,1.0,-2.8720459938049316,0.0359,0.0144,20.246685028076172
2,1,bc,1.0,-1.6325591802597046,0.0057,0.0228,8.927160263061523
2,1,forward_kl,1.0,-0.9066265821456909,0.0,0.0204,0.8306351900100708
