dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.305802583694458,0.1183,0.0404,2.1000258922576904
2,0,forward_kl,1.0,-0.1992272287607193,0.0001,0.0064,0.3268449604511261
2,0,l2_constraint,0.03,-0.16421984136104584,0.0,0.0015,0.19319462776184082
2,0,l2_constraint,0.05,-0.16331787407398224,0.0,0.0007,0.2551118731498718
2,0,l2_constraint,0.1,-0.16507762670516968,0.0,0.0019,0.30471372604370117
2,0,l2_constraint,0.3,-0.17169739305973053,0.0,0.0029,0.5983648300170898
2,0,l2_constraint,1.0,-0.21406987309455872,0.0,0.0084,1.6810688972473145
2,0,partial_ot,0.03,-0.29198211431503296,0.0,0.027,-1.1875331401824951
2,0,partial_ot,0.05,-0.8255175948143005,0.0029,0.1387,-2.90787935256958
2,0,partial_ot,0.1,-1.5316828489303589,0.0537,0.144,-5.3810505867004395
2,0,partial_ot,0.3,-3.240903854370117,0.3711,0.0402,-22.569229125976562
2,0,partial_ot,1.0,-9.797016143798828,0.5725,0.0058,-78.60340881347656
2,0,reverse_kl,1.0,-0.20610007643699646,0.0,0.007,0.538386344909668
2,0,unbalanced_ot,0.03,-0.16676366329193115,0.0,0.002,0.1872590184211731
2,0,unbalanced_ot,0.05,-0.16602295637130737,0.0,0.002,0.19019635021686554
2,0,unbalanced_ot,0.1,-0.17105495929718018,0.0,0.0011,0.25494933128356934
2,0,unbalanced_ot,0.3,-0.17969121038913727,0.0,0.0036,0.4425150752067566
2,0,unbalanced_ot,1.0,-0.22446268796920776,0.0,0.0112,1.0517215728759766
2,0,wasserstein,0.03,-0.16440176963806152,0.0,0.001,0.20593863725662231
2,0,wasserstein,0.05,-0.1643950492143631,0.0,0.0019,0.23576343059539795
2,0,wasserstein,0.1,-0.1680847704410553,0.0,0.0012,0.2954882085323334
2,0,wasserstein,0.3,-0.18200667202472687,0.0,0.0035,0.6022878289222717
2,0,wasserstein,1.0,-0.22900903224945068,0.0,0.0103,1.3547353744506836
