dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.305802583694458,0.1183,0.0404,2.1000258922576904
2,0,forward_kl,1.0,-0.575524091720581,0.0117,0.048,0.7904515266418457
2,0,l2_constraint,0.03,-0.16683733463287354,0.0,0.0015,0.05242685601115227
2,0,l2_constraint,0.05,-0.16905316710472107,0.0,0.0011,0.28704819083213806
2,0,l2_constraint,0.1,-0.1654399335384369,0.0,0.0015,0.44234132766723633
2,0,l2_constraint,0.3,-0.17620524764060974,0.0,0.0029,0.3963923752307892
2,0,l2_constraint,1.0,-0.2175738513469696,0.0,0.0083,1.3157881498336792
2,0,partial_ot,0.03,-0.295976847410202,0.0,0.0254,-1.3346188068389893
2,0,partial_ot,0.05,-0.7301410436630249,0.0011,0.1254,-2.803462266921997
2,0,partial_ot,0.1,-1.5249550342559814,0.05,0.1369,-5.5843329429626465
2,0,partial_ot,0.3,-3.15854811668396,0.3665,0.041,-22.797588348388672
2,0,partial_ot,1.0,-9.688755989074707,0.5684,0.007,-82.97158813476562
2,0,reverse_kl,1.0,-0.6539766192436218,0.0149,0.0622,1.341433048248291
2,0,unbalanced_ot,0.03,-0.16532793641090393,0.0,0.0016,-0.09538127481937408
2,0,unbalanced_ot,0.05,-0.16823378205299377,0.0,0.0013,0.3177414834499359
2,0,unbalanced_ot,0.1,-0.1715516299009323,0.0,0.0017,-0.25175154209136963
2,0,unbalanced_ot,0.3,-0.17281751334667206,0.0,0.0022,0.21732431650161743
2,0,unbalanced_ot,1.0,-0.22652983665466309,0.0,0.0117,1.2839734554290771
2,0,wasserstein,0.03,-0.16850252449512482,0.0,0.0009,0.38064539432525635
2,0,wasserstein,0.05,-0.16942796111106873,0.0,0.0017,0.0804414227604866
2,0,wasserstein,0.1,-0.16599705815315247,0.0,0.0027,0.179452583193779
2,0,wasserstein,0.3,-0.18417222797870636,0.0,0.0031,0.8594945669174194
2,0,wasserstein,1.0,-0.2280014604330063,0.0,0.0126,1.5094419717788696
2,1,bc,1.0,-1.3173326253890991,0.122,0.0443,1.8825902938842773
2,1,forward_kl,1.0,-0.6091734170913696,0.0147,0.0526,0.9525408744812012
2,1,l2_constraint,0.03,-0.1625775843858719,0.0,0.0018,0.052347708493471146
2,1,l2_constraint,0.05,-0.1657150834798813,0.0,0.0019,0.3225249648094177
2,1,l2_constraint,0.1,-0.17052383720874786,0.0,0.0021,0.20452472567558289
2,1,l2_constraint,0.3,-0.1789122372865677,0.0,0.0025,0.8588514924049377
2,1,l2_constraint,1.0,-0.2159813493490219,0.0,0.0085,1.716643214225769
2,1,partial_ot,0.03,-0.31641915440559387,0.0,0.0301,-1.2783814668655396
2,1,partial_ot,0.05,-0.7279802560806274,0.0014,0.1234,-3.0330286026000977
