dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.305802583694458,0.1183,0.0404,2.1000258922576904
2,0,forward_kl,1.0,-0.7306883931159973,0.0291,0.0475,1.9970667362213135
2,0,l2_constraint,0.03,-0.16301819682121277,0.0,0.0008,0.6797206997871399
2,0,l2_constraint,0.05,-0.16645008325576782,0.0,0.0012,0.10496833175420761
2,0,l2_constraint,0.1,-0.16450420022010803,0.0,0.001,0.2694718539714813
2,0,l2_constraint,0.3,-0.1733948290348053,0.0,0.0046,1.22051203250885
2,0,l2_constraint,1.0,-0.21680237352848053,0.0,0.0091,1.4124984741210938
2,0,partial_ot,0.03,-0.30140596628189087,0.0,0.0282,-0.9778461456298828
2,0,partial_ot,0.05,-0.8452208042144775,0.003,0.1425,-2.9150681495666504
2,0,partial_ot,0.1,-1.4938346147537231,0.0495,0.1466,-5.8125104904174805
2,0,partial_ot,0.3,-3.150658369064331,0.371,0.0433,-23.54473876953125
2,0,partial_ot,1.0,-9.685297966003418,0.5681,0.0076,-80.99085998535156
2,0,reverse_kl,1.0,-0.906136155128479,0.0491,0.0527,1.1610432863235474
2,0,unbalanced_ot,0.03,-0.1647004336118698,0.0,0.001,0.57158362865448
2,0,unbalanced_ot,0.05,-0.1647254377603531,0.0,0.0014,0.7013383507728577
2,0,unbalanced_ot,0.1,-0.1635303497314453,0.0,0.0011,0.39352384209632874
2,0,unbalanced_ot,0.3,-0.17765255272388458,0.0,0.0026,0.42934954166412354
2,0,unbalanced_ot,1.0,-0.2219410389661789,0.0,0.0084,1.8119992017745972
2,0,wasserstein,0.03,-0.16678616404533386,0.0,0.001,-0.09116847813129425
2,0,wasserstein,0.05,-0.1694914996623993,0.0,0.001,1.5132653713226318
2,0,wasserstein,0.1,-0.1674676537513733,0.0,0.0021,0.23364144563674927
2,0,wasserstein,0.3,-0.18712101876735687,0.0,0.0037,0.6699670553207397
2,0,wasserstein,1.0,-0.23448246717453003,0.0,0.0135,1.0273067951202393
2,1,bc,1.0,-1.3173326253890991,0.122,0.0443,1.8825902938842773
2,1,forward_kl,1.0,-0.7181007862091064,0.0289,0.0398,1.7141999006271362
2,1,l2_constraint,0.03,-0.16749967634677887,0.0,0.0019,0.9673296213150024
