dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
2,bc,1.0,3,-1.3083422183990479,0.006554632594798814,0.11936666666666668,0.00187320284243028,0.04363333333333333,0.002414309194964242
2,forward_kl,1.0,3,-0.7218341827392578,0.006286441110260413,0.026366666666666667,0.0037249906785863976,0.045399999999999996,0.004000833246545856
2,l2_constraint,0.03,3,-0.16461427509784698,0.002044126542020318,0.0,0.0,0.0011666666666666668,0.0005185449728701348
2,l2_constraint,0.05,3,-0.1669997920592626,0.0004025254142734155,0.0,0.0,0.0011,0.00014142135623730948
2,l2_constraint,0.1,3,-0.16683915257453918,0.0016741417668649453,0.0,0.0,0.0012000000000000001,0.00021602468994692865
2,l2_constraint,0.3,3,-0.1753915399312973,0.001698853223136647,0.0,0.0,0.0033333333333333335,0.0008993825042154694
2,l2_constraint,1.0,3,-0.21736425161361694,0.0030867628824739974,0.0,0.0,0.008766666666666667,0.00047140452079103207
2,partial_ot,0.03,3,-0.3238767584164937,0.030312465244191643,3.3333333333333335e-05,4.714045207910317e-05,0.0325,0.008293370846646133
2,partial_ot,0.05,3,-0.8246652682622274,0.09880545925354102,0.0029,0.0012675435561221031,0.14376666666666668,0.015294734024784111
2,partial_ot,0.1,3,-1.2811945875485737,0.2460936102653307,0.0361,0.01687364809399556,0.1343,0.009696391081221925
2,partial_ot,0.3,3,-3.217054843902588,0.14318411263216504,0.36669999999999997,0.01914488617533849,0.03573333333333333,0.005369254034676408
2,partial_ot,1.0,3,-8.321185111999512,1.0229804921083165,0.5383333333333334,0.023816847445080187,0.007899999999999999,0.0004966554808583781
2,reverse_kl,1.0,3,-0.7809133132298788,0.08944013870970688,0.03273333333333333,0.011633381088727196,0.056966666666666665,0.004691363222869116
2,unbalanced_ot,0.03,3,-0.1652937481800715,0.001414637838523743,0.0,0.0,0.0010333333333333332,0.00012472191289246467
2,unbalanced_ot,0.05,3,-0.166361336906751,0.001888622582245623,0.0,0.0,0.0013333333333333333,4.714045207910318e-05
2,unbalanced_ot,0.1,3,-0.16646585861841837,0.002118431620766044,0.0,0.0,0.0012,8.164965809277255e-05
2,unbalanced_ot,0.3,3,-0.177865336338679,0.0009890909282607007,0.0,0.0,0.0029999999999999996,0.001098483803552272
2,unbalanced_ot,1.0,3,-0.22411208351453146,0.0056868386139978955,0.0,0.0,0.0105,0.0018018509002319444
2,wasserstein,0.03,3,-0.16739334166049957,0.0007929170405701063,0.0,0.0,0.0014666666666666665,0.0004642796092394706
2,wasserstein,0.05,3,-0.1668446660041809,0.0019361437726559602,0.0,0.0,0.0013333333333333333,0.000339934634239519
2,wasserstein,0.1,3,-0.16849984228610992,0.0008467911442605501,0.0,0.0,0.0018000000000000002,0.0004242640687119285
2,wasserstein,0.3,3,-0.18406157195568085,0.004028349654143736,0.0,0.0,0.0036333333333333335,9.428090415820638e-05
2,wasserstein,1.0,3,-0.23063784837722778,0.0035351847444221388,0.0,0.0,0.0126,0.0007788880963698618
4,bc,1.0,3,-1.5945241451263428,0.018273388516574417,0.11956666666666667,0.002638602323621772,0.011366666666666669,0.001236482466066094
4,forward_kl,1.0,3,-1.0239398280779521,0.036572953503021505,0.033433333333333336,0.00416119640915393,0.017133333333333334,0.0021312489817527707
4,l2_constraint,0.03,3,-0.32801318168640137,0.001870990896238579,0.0,0.0,0.0007,0.0001414213562373095
4,l2_constraint,0.05,3,-0.33018602927525836,0.002109341418641118,0.0,0.0,0.0008333333333333334,4.714045207910314e-05
4,l2_constraint,0.1,3,-0.32994766036669415,0.002189894296852319,0.0,0.0,0.0006,0.000282842712474619
