dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.6542285680770874,0.0182,0.0278,5.378389835357666
2,0,forward_kl,1.0,-0.2647590935230255,0.0,0.011,0.4806283712387085
2,0,l2_constraint,0.03,-0.16422651708126068,0.0,0.0006,0.5132992267608643
2,0,l2_constraint,0.05,-0.16292455792427063,0.0,0.0003,0.8819557428359985
2,0,l2_constraint,0.1,-0.16430909931659698,0.0,0.0006,1.5870120525360107
2,0,l2_constraint,0.3,-0.16508980095386505,0.0,0.0015,4.072286128997803
2,0,l2_constraint,1.0,-0.1859215646982193,0.0,0.003,13.036052703857422
2,0,partial_ot,0.03,-0.44080474972724915,0.0,0.0489,-0.5397683382034302
2,0,partial_ot,0.05,-1.0292623043060303,0.0,0.1258,-1.6956980228424072
2,0,partial_ot,0.1,-1.4707001447677612,0.0,0.1061,-3.9409351348876953
2,0,partial_ot,0.3,-3.023409843444824,0.0027,0.0386,-16.330852508544922
2,0,partial_ot,1.0,-8.126471519470215,0.3191,0.0174,-116.65955352783203
2,0,reverse_kl,1.0,-0.2828610837459564,0.0,0.0173,0.9717212319374084
2,0,unbalanced_ot,0.03,-0.16678787767887115,0.0,0.001,0.3194897174835205
2,0,unbalanced_ot,0.05,-0.16615524888038635,0.0,0.0012,0.4202088713645935
2,0,unbalanced_ot,0.1,-0.17114073038101196,0.0,0.0007,0.6185328960418701
2,0,unbalanced_ot,0.3,-0.18007467687129974,0.0,0.0024,1.767987608909607
2,0,unbalanced_ot,1.0,-0.8524135947227478,0.0007,0.0341,7.079754829406738
2,0,wasserstein,0.03,-0.16589580476284027,0.0,0.0007,0.5198155045509338
2,0,wasserstein,0.05,-0.16713178157806396,0.0,0.0011,0.7728544473648071
2,0,wasserstein,0.1,-0.17444530129432678,0.0,0.0007,1.4903714656829834
2,0,wasserstein,0.3,-0.3207523822784424,0.0,0.0155,3.2299907207489014
2,0,wasserstein,1.0,-1.5445806980133057,0.0127,0.0275,11.017075538635254
2,1,bc,1.0,-1.6405340433120728,0.0197,0.0327,5.150179862976074
2,1,forward_kl,1.0,-0.26822879910469055,0.0,0.0134,0.6310476064682007
2,1,l2_constraint,0.03,-0.1646774411201477,0.0,0.0011,0.5554297566413879
2,1,l2_constraint,0.05,-0.1674196720123291,0.0,0.0008,0.8929142355918884
2,1,l2_constraint,0.1,-0.16805952787399292,0.0,0.0005,1.3615156412124634
2,1,l2_constraint,0.3,-0.1679210513830185,0.0,0.0011,4.353956699371338
2,1,l2_constraint,1.0,-0.1811828315258026,0.0,0.0027,11.60168743133545
2,1,partial_ot,0.03,-0.3687690496444702,0.0,0.03,-0.613952100276947
2,1,partial_ot,0.05,-0.9604736566543579,0.0,0.1259,-1.1033315658569336
2,1,partial_ot,0.1,-1.7111890316009521,0.0,0.108,-4.591918468475342
2,1,partial_ot,0.3,-3.6088223457336426,0.0832,0.0007,-11.611647605895996
2,1,partial_ot,1.0,-7.58491325378418,0.2912,0.015,-68.21224975585938
2,1,reverse_kl,1.0,-0.27832549810409546,0.0,0.014,0.8321035504341125
2,1,unbalanced_ot,0.03,-0.16316567361354828,0.0,0.0003,0.2850326895713806
2,1,unbalanced_ot,0.05,-0.16848699748516083,0.0,0.0008,0.4316561818122864
2,1,unbalanced_ot,0.1,-0.16863615810871124,0.0,0.0008,0.6382502317428589
2,1,unbalanced_ot,0.3,-0.17770832777023315,0.0,0.0026,1.5058691501617432
2,1,unbalanced_ot,1.0,-0.8033148646354675,0.0008,0.0334,6.281674861907959
2,1,wasserstein,0.03,-0.1681835651397705,0.0,0.0005,0.5754883289337158
2,1,wasserstein,0.05,-0.16698959469795227,0.0,0.0008,0.7510731816291809
2,1,wasserstein,0.1,-0.17275752127170563,0.0,0.0011,1.3748807907104492
2,1,wasserstein,0.3,-0.3198786973953247,0.0,0.0138,3.9922921657562256
2,1,wasserstein,1.0,-1.6089597940444946,0.0162,0.0312,10.109158515930176
2,2,bc,1.0,-1.6376150846481323,0.0187,0.0324,5.517740249633789
2,2,forward_kl,1.0,-0.27085283398628235,0.0,0.014,0.47336629033088684
2,2,l2_constraint,0.03,-0.16650763154029846,0.0,0.001,0.48252010345458984
2,2,l2_constraint,0.05,-0.1629306823015213,0.0,0.0009,0.8925425410270691
2,2,l2_constraint,0.1,-0.16391797363758087,0.0,0.0008,1.3406405448913574
2,2,l2_constraint,0.3,-0.16950225830078125,0.0,0.0018,4.148221969604492
2,2,l2_constraint,1.0,-0.17478765547275543,0.0,0.002,13.62646484375
2,2,partial_ot,0.03,-0.5134727954864502,0.0,0.0598,-1.1950076818466187
2,2,partial_ot,0.05,-1.0131206512451172,0.0,0.1273,-1.668932318687439
2,2,partial_ot,0.1,-1.4380464553833008,0.0,0.1199,-2.9671483039855957
2,2,partial_ot,0.3,-3.181157112121582,0.0028,0.0339,-19.892879486083984
2,2,partial_ot,1.0,-6.985285758972168,0.2683,0.0116,-87.07356262207031
2,2,reverse_kl,1.0,-0.27684202790260315,0.0,0.0183,0.6369019746780396
2,2,unbalanced_ot,0.03,-0.16427193582057953,0.0,0.0006,0.37049493193626404
2,2,unbalanced_ot,0.05,-0.16618196666240692,0.0,0.0008,0.37373101711273193
2,2,unbalanced_ot,0.1,-0.16483473777770996,0.0,0.0012,0.6409108638763428
2,2,unbalanced_ot,0.3,-0.17550136148929596,0.0,0.002,1.613402247428894
2,2,unbalanced_ot,1.0,-0.8424197435379028,0.001,0.036,5.813140869140625
2,2,wasserstein,0.03,-0.16468238830566406,0.0,0.0004,0.5297216176986694
2,2,wasserstein,0.05,-0.16862529516220093,0.0,0.0009,0.6920303702354431
2,2,wasserstein,0.1,-0.1779581904411316,0.0,0.0016,1.459720253944397
2,2,wasserstein,0.3,-0.33301734924316406,0.0,0.016,3.9882383346557617
2,2,wasserstein,1.0,-1.6075626611709595,0.016,0.032,11.231423377990723
4,0,bc,1.0,-1.7953449487686157,0.0174,0.0094,5.558975696563721
4,0,forward_kl,1.0,-0.4672149419784546,0.0,0.0071,0.6179131269454956
4,0,l2_constraint,0.03,-0.33035561442375183,0.0,0.0002,0.7665854692459106
4,0,l2_constraint,0.05,-0.3329560160636902,0.0,0.0002,1.0174647569656372
4,0,l2_constraint,0.1,-0.32734814286231995,0.0,0.0002,1.5530471801757812
4,0,l2_constraint,0.3,-0.3381127119064331,0.0,0.0006,4.674749374389648
4,0,l2_constraint,1.0,-0.34784114360809326,0.0,0.0009,16.1629581451416
4,0,partial_ot,0.03,-0.6370687484741211,0.0,0.0168,-0.813075840473175
4,0,partial_ot,0.05,-1.0409263372421265,0.0,0.0354,-1.2461638450622559
4,0,partial_ot,0.1,-1.406400442123413,0.0,0.0328,-2.3808412551879883
4,0,partial_ot,0.3,-3.890385866165161,0.1089,0.0005,-15.77876091003418
4,0,partial_ot,1.0,-9.304719924926758,0.3312,0.001,-105.37417602539062
4,0,reverse_kl,1.0,-0.45697465538978577,0.0,0.0107,0.8091043829917908
4,0,unbalanced_ot,0.03,-0.3336609899997711,0.0,0.0002,0.46671581268310547
4,0,unbalanced_ot,0.05,-0.32526713609695435,0.0,0.0005,0.5504807233810425
4,0,unbalanced_ot,0.1,-0.3263890743255615,0.0,0.0003,0.7920116186141968
4,0,unbalanced_ot,0.3,-0.3405084013938904,0.0,0.0007,2.06404972076416
4,0,unbalanced_ot,1.0,-0.9778861403465271,0.0005,0.0103,7.814405918121338
4,0,wasserstein,0.03,-0.33269649744033813,0.0,0.0,0.7327502369880676
4,0,wasserstein,0.05,-0.34070560336112976,0.0,0.0001,0.8674303889274597
4,0,wasserstein,0.1,-0.33867892622947693,0.0,0.0003,1.6813561916351318
