dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
2,bc,1.0,3,-1.6441258986790974,0.007242376527276093,0.018866666666666667,0.0006236095644623225,0.030966666666666667,0.0022425184255405553
2,forward_kl,1.0,3,-0.2679469088713328,0.002495731661073932,0.0,0.0,0.012799999999999999,0.0012961481396815725
2,l2_constraint,0.03,3,-0.16513719658056894,0.0009863745422330436,0.0,0.0,0.0009000000000000001,0.00021602468994692874
2,l2_constraint,0.05,3,-0.16442497074604034,0.002117575049080558,0.0,0.0,0.0006666666666666666,0.00026246692913372703
2,l2_constraint,0.1,3,-0.1654288669427236,0.0018669989333466976,0.0,0.0,0.0006333333333333333,0.00012472191289246472
2,l2_constraint,0.3,3,-0.16750437021255493,0.0018253150153608824,0.0,0.0,0.0014666666666666665,0.00028674417556808754
2,l2_constraint,1.0,3,-0.18063068389892578,0.00456213648134414,0.0,0.0,0.0025666666666666667,0.00041899350299921784
2,partial_ot,0.03,3,-0.44101553161938983,0.05907524488271786,0.0,0.0,0.04623333333333333,0.012311060970615906
2,partial_ot,0.05,3,-1.0009522040685017,0.029371446922184383,0.0,0.0,0.12633333333333333,0.0006847546194724683
2,partial_ot,0.1,3,-1.5399785439173381,0.1217958378523939,0.0,0.0,0.11133333333333334,0.006107008724044497
2,partial_ot,0.3,3,-3.271129767100016,0.24731661009310207,0.02956666666666666,0.03792451567111819,0.0244,0.01686791826713263
2,partial_ot,1.0,3,-7.5655568440755205,0.46608814469545956,0.29286666666666666,0.020772471098922145,0.014666666666666666,0.002379542439676633
2,reverse_kl,1.0,3,-0.2793428699175517,0.0025604091296070487,0.0,0.0,0.016533333333333334,0.001837268503936089
2,unbalanced_ot,0.03,3,-0.16474182903766632,0.0015156275486430306,0.0,0.0,0.0006333333333333333,0.0002867441755680876
2,unbalanced_ot,0.05,3,-0.16694140434265137,0.001092953820798856,0.0,0.0,0.0009333333333333333,0.0001885618083164126
2,unbalanced_ot,0.1,3,-0.16820387542247772,0.0025924938982683377,0.0,0.0,0.0009000000000000001,0.00021602468994692863
2,unbalanced_ot,0.3,3,-0.17776145537694296,0.0018674260900616011,0.0,0.0,0.002333333333333333,0.00024944382578492933
2,unbalanced_ot,1.0,3,-0.8327160676320394,0.02118635281827158,0.0008333333333333334,0.00012472191289246472,0.0345,0.0010984838035522713
2,wasserstein,0.03,3,-0.16625391940275827,0.0014516070123403722,0.0,0.0,0.0005333333333333334,0.0001247219128924647
2,wasserstein,0.05,3,-0.16758222381273905,0.0007398435227668684,0.0,0.0,0.0009333333333333334,0.00012472191289246472
2,wasserstein,0.1,3,-0.175053671002388,0.0021663064154945556,0.0,0.0,0.0011333333333333334,0.00036817870057290875
2,wasserstein,0.3,3,-0.32454947630564374,0.005998304503954383,0.0,0.0,0.0151,0.0009416297927883692
