dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.6542285680770874,0.0182,0.0278,5.378389835357666
2,0,forward_kl,1.0,-0.7454411387443542,0.0003,0.0286,1.295613169670105
2,0,l2_constraint,0.03,-0.16683714091777802,0.0,0.0005,0.36990347504615784
2,0,l2_constraint,0.05,-0.16902437806129456,0.0,0.0007,0.9040278196334839
2,0,l2_constraint,0.1,-0.16382785141468048,0.0,0.0006,1.6971113681793213
2,0,l2_constraint,0.3,-0.16814203560352325,0.0,0.001,3.902913808822632
2,0,l2_constraint,1.0,-0.18696443736553192,0.0,0.0029,12.698356628417969
2,0,partial_ot,0.03,-0.4267742335796356,0.0,0.0435,-0.6528053283691406
2,0,partial_ot,0.05,-0.9693037271499634,0.0,0.1238,-1.6440156698226929
2,0,partial_ot,0.1,-1.449587106704712,0.0,0.1057,-4.104290008544922
2,0,partial_ot,0.3,-2.9821009635925293,0.0013,0.041,-16.350170135498047
2,0,partial_ot,1.0,-8.433810234069824,0.3217,0.0172,-120.57463073730469
2,0,reverse_kl,1.0,-0.7169709205627441,0.0001,0.0425,0.636197566986084
2,0,unbalanced_ot,0.03,-0.16538645327091217,0.0,0.0008,0.033726468682289124
2,0,unbalanced_ot,0.05,-0.16846199333667755,0.0,0.0009,0.5588974952697754
2,0,unbalanced_ot,0.1,-0.1712387353181839,0.0,0.001,0.13132905960083008
2,0,unbalanced_ot,0.3,-0.17228186130523682,0.0,0.0013,1.6153241395950317
2,0,unbalanced_ot,1.0,-0.8656339645385742,0.0004,0.0313,6.816165924072266
2,0,wasserstein,0.03,-0.170034721493721,0.0,0.0009,0.6955661773681641
2,0,wasserstein,0.05,-0.1720590889453888,0.0,0.0008,0.6140082478523254
2,0,wasserstein,0.1,-0.1724279671907425,0.0,0.0015,1.3740651607513428
2,0,wasserstein,0.3,-0.3264561891555786,0.0,0.0161,3.5216548442840576
2,0,wasserstein,1.0,-1.615051507949829,0.0188,0.0289,10.632535934448242
2,1,bc,1.0,-1.6405340433120728,0.0197,0.0327,5.150179862976074
2,1,forward_kl,1.0,-0.7392926812171936,0.0,0.0394,1.2298438549041748
2,1,l2_constraint,0.03,-0.16232365369796753,0.0,0.001,0.4232954978942871
2,1,l2_constraint,0.05,-0.16472060978412628,0.0,0.001,0.9514108896255493
2,1,l2_constraint,0.1,-0.1684444397687912,0.0,0.0014,1.2123805284500122
2,1,l2_constraint,0.3,-0.16979017853736877,0.0,0.0009,4.400711536407471
2,1,l2_constraint,1.0,-0.17948903143405914,0.0,0.0027,11.866804122924805
2,1,partial_ot,0.03,-0.3557509779930115,0.0,0.0299,-0.5278522968292236
2,1,partial_ot,0.05,-0.9211087822914124,0.0,0.1178,-1.0745996236801147
2,1,partial_ot,0.1,-1.6902565956115723,0.0,0.1075,-4.913488388061523
2,1,partial_ot,0.3,-3.517047166824341,0.081,0.0007,-12.311078071594238
2,1,partial_ot,1.0,-7.770133018493652,0.2988,0.0188,-62.80004119873047
2,1,reverse_kl,1.0,-0.69650799036026,0.0001,0.0497,1.6650441884994507
2,1,unbalanced_ot,0.03,-0.16540515422821045,0.0,0.0006,0.5708654522895813
2,1,unbalanced_ot,0.05,-0.16299951076507568,0.0,0.0011,0.49110645055770874
2,1,unbalanced_ot,0.1,-0.16552656888961792,0.0,0.0008,0.8163340091705322
2,1,unbalanced_ot,0.3,-0.17776945233345032,0.0,0.0026,0.8873324394226074
2,1,unbalanced_ot,1.0,-0.8214055895805359,0.0009,0.0351,6.401110649108887
2,1,wasserstein,0.03,-0.16357269883155823,0.0,0.0007,0.506436824798584
2,1,wasserstein,0.05,-0.170003741979599,0.0,0.0011,1.061431646347046
2,1,wasserstein,0.1,-0.1768222600221634,0.0,0.0008,1.5275869369506836
2,1,wasserstein,0.3,-0.3269658088684082,0.0,0.0158,3.981214761734009
2,1,wasserstein,1.0,-1.5774868726730347,0.016,0.0318,10.061318397521973
2,2,bc,1.0,-1.6376150846481323,0.0187,0.0324,5.517740249633789
2,2,forward_kl,1.0,-0.6460906863212585,0.0,0.0359,0.50528883934021
2,2,l2_constraint,0.03,-0.164403036236763,0.0,0.0006,0.32617104053497314
2,2,l2_constraint,0.05,-0.16539636254310608,0.0,0.0007,0.7456616759300232
2,2,l2_constraint,0.1,-0.16363750398159027,0.0,0.0006,1.1436041593551636
2,2,l2_constraint,0.3,-0.17109374701976776,0.0,0.0004,4.256947994232178
2,2,l2_constraint,1.0,-0.18129472434520721,0.0,0.002,13.193836212158203
2,2,partial_ot,0.03,-0.5435139536857605,0.0,0.0678,-1.0005435943603516
2,2,partial_ot,0.05,-1.0349555015563965,0.0,0.1343,-1.5313507318496704
2,2,partial_ot,0.1,-1.4428271055221558,0.0,0.116,-2.635685920715332
2,2,partial_ot,0.3,-3.158033847808838,0.0033,0.036,-19.95163917541504
2,2,partial_ot,1.0,-7.024838924407959,0.276,0.0172,-78.40857696533203
2,2,reverse_kl,1.0,-0.7112090587615967,0.0,0.0418,0.8841331601142883
2,2,unbalanced_ot,0.03,-0.16789303719997406,0.0,0.0009,0.27468353509902954
2,2,unbalanced_ot,0.05,-0.16156093776226044,0.0,0.0011,0.34396424889564514
2,2,unbalanced_ot,0.1,-0.1638106256723404,0.0,0.0005,0.3724097013473511
