dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.6542285680770874,0.0182,0.0278,5.378389835357666
2,0,forward_kl,1.0,-0.8535341024398804,0.0005,0.0309,0.9975284337997437
2,0,l2_constraint,0.03,-0.16290827095508575,0.0,0.0006,1.0018917322158813
2,0,l2_constraint,0.05,-0.16609643399715424,0.0,0.0006,0.7312567830085754
2,0,l2_constraint,0.1,-0.16272900998592377,0.0,0.0005,1.5347942113876343
2,0,l2_constraint,0.3,-0.16479232907295227,0.0,0.0014,4.7748847007751465
2,0,l2_constraint,1.0,-0.18547523021697998,0.0,0.0034,13.339882850646973
2,0,partial_ot,0.03,-0.4190889596939087,0.0,0.0465,-0.20137137174606323
2,0,partial_ot,0.05,-1.0396363735198975,0.0,0.1289,-1.6176830530166626
2,0,partial_ot,0.1,-1.4399917125701904,0.0,0.1122,-4.3120527267456055
2,0,partial_ot,0.3,-2.9448788166046143,0.0014,0.0389,-16.42774772644043
2,0,partial_ot,1.0,-8.64687728881836,0.3204,0.0136,-105.5218276977539
2,0,reverse_kl,1.0,-0.857964277267456,0.0005,0.0446,0.9950308203697205
2,0,unbalanced_ot,0.03,-0.16476906836032867,0.0,0.0004,0.6986256837844849
2,0,unbalanced_ot,0.05,-0.1647002398967743,0.0,0.0008,0.929405689239502
2,0,unbalanced_ot,0.1,-0.16358107328414917,0.0,0.0006,0.751743733882904
2,0,unbalanced_ot,0.3,-0.1772090643644333,0.0,0.0016,1.8087126016616821
2,0,unbalanced_ot,1.0,-0.8193972706794739,0.0008,0.032,7.552449703216553
2,0,wasserstein,0.03,-0.1684567928314209,0.0,0.0006,0.21704718470573425
2,0,wasserstein,0.05,-0.17246688902378082,0.0,0.0007,2.052234649658203
2,0,wasserstein,0.1,-0.17350776493549347,0.0,0.0015,1.4297865629196167
2,0,wasserstein,0.3,-0.32889217138290405,0.0,0.0182,3.31559157371521
2,0,wasserstein,1.0,-1.6309466361999512,0.0166,0.0301,10.725683212280273
2,1,bc,1.0,-1.6405340433120728,0.0197,0.0327,5.150179862976074
2,1,forward_kl,1.0,-0.8208619952201843,0.0001,0.0325,1.8351359367370605
2,1,l2_constraint,0.03,-0.16720812022686005,0.0,0.0012,1.3410444259643555
2,1,l2_constraint,0.05,-0.16723115742206573,0.0,0.0006,0.8890666961669922
2,1,l2_constraint,0.1,-0.16740930080413818,0.0,0.0005,2.1799917221069336
2,1,l2_constraint,0.3,-0.1680128574371338,0.0,0.0008,4.11238956451416
2,1,l2_constraint,1.0,-0.17768673598766327,0.0,0.0016,12.09445858001709
2,1,partial_ot,0.03,-0.3499445915222168,0.0,0.026,-1.2718247175216675
2,1,partial_ot,0.05,-0.9153318405151367,0.0,0.1226,-0.34800148010253906
2,1,partial_ot,0.1,-1.6703994274139404,0.0,0.103,-4.6037726402282715
2,1,partial_ot,0.3,-3.5953176021575928,0.086,0.0011,-13.082442283630371
2,1,partial_ot,1.0,-7.806544303894043,0.3016,0.0158,-67.98503112792969
2,1,reverse_kl,1.0,-0.8451853394508362,0.0004,0.052,0.6156140565872192
2,1,unbalanced_ot,0.03,-0.1672518253326416,0.0,0.0008,0.14262355864048004
2,1,unbalanced_ot,0.05,-0.16890722513198853,0.0,0.0006,0.6597487330436707
2,1,unbalanced_ot,0.1,-0.16707082092761993,0.0,0.0005,0.8178154230117798
2,1,unbalanced_ot,0.3,-0.17695437371730804,0.0,0.001,1.5308558940887451
2,1,unbalanced_ot,1.0,-0.8260653614997864,0.001,0.0371,5.6478142738342285
2,1,wasserstein,0.03,-0.170007586479187,0.0,0.0014,0.5558669567108154
2,1,wasserstein,0.05,-0.16715584695339203,0.0,0.0006,1.6535701751708984
2,1,wasserstein,0.1,-0.17533162236213684,0.0,0.0006,0.9315401315689087
2,1,wasserstein,0.3,-0.33699464797973633,0.0,0.0149,4.2319817543029785
2,1,wasserstein,1.0,-1.6107549667358398,0.0172,0.0316,9.787843704223633
2,2,bc,1.0,-1.6376150846481323,0.0187,0.0324,5.517740249633789
2,2,forward_kl,1.0,-0.7705811858177185,0.0004,0.0369,0.8359434008598328
2,2,l2_constraint,0.03,-0.1632426232099533,0.0,0.0004,0.2848466634750366
2,2,l2_constraint,0.05,-0.16698779165744781,0.0,0.0005,1.6466649770736694
2,2,l2_constraint,0.1,-0.1668778657913208,0.0,0.0006,1.0380995273590088
2,2,l2_constraint,0.3,-0.16920173168182373,0.0,0.0009,4.854758262634277
2,2,l2_constraint,1.0,-0.18269355595111847,0.0,0.0019,13.648459434509277
2,2,partial_ot,0.03,-0.5371657013893127,0.0,0.0642,-1.6466104984283447
2,2,partial_ot,0.05,-1.0078084468841553,0.0,0.1299,-2.3228394985198975
2,2,partial_ot,0.1,-1.470574975013733,0.0,0.1144,-3.6358513832092285
2,2,partial_ot,0.3,-3.112277030944824,0.0012,0.0352,-20.198238372802734
2,2,partial_ot,1.0,-6.915462493896484,0.2698,0.0183,-83.06759643554688
2,2,reverse_kl,1.0,-0.8698888421058655,0.0005,0.0407,0.9685424566268921
2,2,unbalanced_ot,0.03,-0.16410571336746216,0.0,0.0004,0.07581429183483124
2,2,unbalanced_ot,0.05,-0.1654813289642334,0.0,0.0006,0.9914294481277466
2,2,unbalanced_ot,0.1,-0.16764897108078003,0.0,0.0006,0.6532575488090515
2,2,unbalanced_ot,0.3,-0.17734207212924957,0.0,0.0026,2.343451738357544
2,2,unbalanced_ot,1.0,-0.8449967503547668,0.0004,0.036,6.482427597045898
2,2,wasserstein,0.03,-0.16833336651325226,0.0,0.0008,0.49813878536224365
2,2,wasserstein,0.05,-0.16867166757583618,0.0,0.0009,0.48605263233184814
2,2,wasserstein,0.1,-0.17656560242176056,0.0,0.0015,1.8746166229248047
2,2,wasserstein,0.3,-0.3249015510082245,0.0,0.015,3.3105664253234863
2,2,wasserstein,1.0,-1.637688398361206,0.0161,0.0304,10.833548545837402
4,0,bc,1.0,-1.7953449487686157,0.0174,0.0094,5.558975696563721
4,0,forward_kl,1.0,-0.9533501863479614,0.0001,0.0095,1.980276346206665
4,0,l2_constraint,0.03,-0.33020687103271484,0.0,0.0006,0.9475266337394714
4,0,l2_constraint,0.05,-0.32961300015449524,0.0,0.0002,0.9430317282676697
4,0,l2_constraint,0.1,-0.3272494077682495,0.0,0.0002,1.5699677467346191
4,0,l2_constraint,0.3,-0.33763399720191956,0.0,0.0009,3.9132144451141357
4,0,l2_constraint,1.0,-0.3518331050872803,0.0,0.0009,16.381559371948242
4,0,partial_ot,0.03,-0.6444933414459229,0.0,0.0162,-0.7000523209571838
4,0,partial_ot,0.05,-1.0277457237243652,0.0,0.0369,-0.9417034387588501
4,0,partial_ot,0.1,-1.405742883682251,0.0,0.036,-3.217688798904419
4,0,partial_ot,0.3,-3.83210825920105,0.1046,0.0007,-15.289008140563965
4,0,partial_ot,1.0,-8.94024658203125,0.3225,0.0021,-112.39825439453125
4,0,reverse_kl,1.0,-1.0329272747039795,0.0007,0.0145,4.030366897583008
4,0,unbalanced_ot,0.03,-0.3287391662597656,0.0,0.0003,1.574959397315979
4,0,unbalanced_ot,0.05,-0.3345935642719269,0.0,0.0003,0.6054872870445251
4,0,unbalanced_ot,0.1,-0.3321046531200409,0.0,0.0002,0.832703709602356
4,0,unbalanced_ot,0.3,-0.3404579162597656,0.0,0.0005,2.1675667762756348
4,0,unbalanced_ot,1.0,-0.9994136691093445,0.0004,0.0099,8.558608055114746
4,0,wasserstein,0.03,-0.33291253447532654,0.0,0.0002,1.0381848812103271
4,0,wasserstein,0.05,-0.3374379277229309,0.0,0.0003,1.5916905403137207
4,0,wasserstein,0.1,-0.33483263850212097,0.0,0.0002,2.20731258392334
4,0,wasserstein,0.3,-0.4805434048175812,0.0,0.0052,3.543807029724121
4,0,wasserstein,1.0,-1.7558175325393677,0.0168,0.0087,11.628316879272461
4,1,bc,1.0,-1.823202133178711,0.0205,0.0096,5.458031177520752
4,1,forward_kl,1.0,-1.0832161903381348,0.0004,0.01,1.7043704986572266
4,1,l2_constraint,0.03,-0.3254094123840332,0.0,0.0001,0.81611567735672
4,1,l2_constraint,0.05,-0.32733964920043945,0.0,0.0002,0.6688019037246704
4,1,l2_constraint,0.1,-0.3315754532814026,0.0,0.0,1.935976505279541
4,1,l2_constraint,0.3,-0.33346477150917053,0.0,0.0002,3.778571128845215
4,1,l2_constraint,1.0,-0.3377988636493683,0.0,0.001,14.706815719604492
4,1,partial_ot,0.03,-0.6337587833404541,0.0,0.0174,-0.4053840637207031
4,1,partial_ot,0.05,-0.9034870862960815,0.0,0.031,-0.8901671171188354
4,1,partial_ot,0.1,-2.2507946491241455,0.0,0.0238,-6.760139465332031
4,1,partial_ot,0.3,-3.2239651679992676,0.0019,0.01,-20.554853439331055
4,1,partial_ot,1.0,-9.818875312805176,0.3412,0.002,-91.06085968017578
4,1,reverse_kl,1.0,-1.0995540618896484,0.0013,0.0139,1.6915295124053955
4,1,unbalanced_ot,0.03,-0.3366709351539612,0.0,0.0002,0.36171722412109375
4,1,unbalanced_ot,0.05,-0.3316868245601654,0.0,0.0004,0.41316092014312744
4,1,unbalanced_ot,0.1,-0.33683621883392334,0.0,0.0002,0.793364405632019
4,1,unbalanced_ot,0.3,-0.34077370166778564,0.0,0.0009,1.9247761964797974
4,1,unbalanced_ot,1.0,-1.040637493133545,0.0006,0.012,7.121786594390869
4,1,wasserstein,0.03,-0.3359011113643646,0.0,0.0002,1.394859790802002
4,1,wasserstein,0.05,-0.3321697413921356,0.0,0.0005,0.1659778654575348
4,1,wasserstein,0.1,-0.3422648310661316,0.0,0.0003,0.3977231979370117
4,1,wasserstein,0.3,-0.48770418763160706,0.0,0.0045,4.017533302307129
4,1,wasserstein,1.0,-1.792318344116211,0.0164,0.01,10.116271018981934
4,2,bc,1.0,-1.8102203607559204,0.0195,0.0101,5.531247615814209
4,2,forward_kl,1.0,-1.105533242225647,0.0004,0.007,0.8121637105941772
4,2,l2_constraint,0.03,-0.327106237411499,0.0,0.0003,0.5276838541030884
4,2,l2_constraint,0.05,-0.3323592245578766,0.0,0.0005,1.5011601448059082
4,2,l2_constraint,0.1,-0.3282856345176697,0.0,0.0003,1.882880449295044
4,2,l2_constraint,0.3,-0.33000853657722473,0.0,0.0002,4.924557209014893
4,2,l2_constraint,1.0,-0.3503698706626892,0.0,0.0006,14.807818412780762
4,2,partial_ot,0.03,-0.6113460659980774,0.0,0.0153,-0.7409060001373291
4,2,partial_ot,0.05,-1.130374550819397,0.0,0.0422,-0.565687894821167
4,2,partial_ot,0.1,-2.273174524307251,0.0,0.0205,-6.691669464111328
4,2,partial_ot,0.3,-3.6668124198913574,0.0003,0.0034,-27.44379234313965
4,2,partial_ot,1.0,-8.738069534301758,0.3146,0.0026,-99.73516845703125
4,2,reverse_kl,1.0,-0.9505190253257751,0.0003,0.0122,2.884219169616699
4,2,unbalanced_ot,0.03,-0.3308067321777344,0.0,0.0,0.18099041283130646
4,2,unbalanced_ot,0.05,-0.33042004704475403,0.0,0.0004,0.12490937113761902
4,2,unbalanced_ot,0.1,-0.333766907453537,0.0,0.0003,-0.40262570977211
4,2,unbalanced_ot,0.3,-0.34011802077293396,0.0,0.0009,1.5871607065200806
4,2,unbalanced_ot,1.0,-0.9575718641281128,0.0003,0.0117,6.227551460266113
4,2,wasserstein,0.03,-0.33603885769844055,0.0,0.0,-0.5231969356536865
4,2,wasserstein,0.05,-0.3280763030052185,0.0,0.0002,1.309708833694458
4,2,wasserstein,0.1,-0.3468584418296814,0.0,0.0004,1.4002351760864258
4,2,wasserstein,0.3,-0.46904414892196655,0.0,0.0045,3.2944841384887695
4,2,wasserstein,1.0,-1.7659132480621338,0.0162,0.0088,9.645633697509766
8,0,bc,1.0,-2.091543674468994,0.0152,0.0021,5.590868949890137
8,0,forward_kl,1.0,-1.4618556499481201,0.0004,0.0006,2.7202577590942383
8,0,l2_constraint,0.03,-0.6628110408782959,0.0,0.0001,1.3559499979019165
8,0,l2_constraint,0.05,-0.6600046753883362,0.0,0.0,1.20730459690094
8,0,l2_constraint,0.1,-0.6608790755271912,0.0,0.0,0.9890396595001221
8,0,l2_constraint,0.3,-0.665563702583313,0.0,0.0001,4.635607719421387
8,0,l2_constraint,1.0,-0.6921601295471191,0.0,0.0002,14.204390525817871
8,0,partial_ot,0.03,-0.9623171091079712,0.0,0.0018,-0.5098966956138611
8,0,partial_ot,0.05,-1.2601261138916016,0.0,0.0033,-0.3856346607208252
8,0,partial_ot,0.1,-2.0142924785614014,0.0,0.0039,-3.2800939083099365
8,0,partial_ot,0.3,-3.0891571044921875,0.001,0.0022,-15.09139347076416
8,0,partial_ot,1.0,-8.62329387664795,0.2986,0.0,-88.63381958007812
8,0,reverse_kl,1.0,-1.4019380807876587,0.0009,0.0043,-0.36321038007736206
8,0,unbalanced_ot,0.03,-0.6600360870361328,0.0,0.0,0.972143292427063
8,0,unbalanced_ot,0.05,-0.6612424254417419,0.0,0.0001,0.48878246545791626
8,0,unbalanced_ot,0.1,-0.6560400724411011,0.0,0.0,2.045292615890503
8,0,unbalanced_ot,0.3,-0.6673204898834229,0.0,0.0001,2.7393736839294434
8,0,unbalanced_ot,1.0,-1.3366825580596924,0.0006,0.002,7.777493000030518
8,0,wasserstein,0.03,-0.6615926027297974,0.0,0.0,1.064365029335022
8,0,wasserstein,0.05,-0.6655299663543701,0.0,0.0,1.1247727870941162
8,0,wasserstein,0.1,-0.6719204783439636,0.0,0.0,2.714867115020752
8,0,wasserstein,0.3,-0.8106423020362854,0.0,0.0002,4.77072811126709
8,0,wasserstein,1.0,-2.080420732498169,0.0139,0.0005,12.905552864074707
8,1,bc,1.0,-2.1289141178131104,0.0203,0.0012,5.9491424560546875
8,1,forward_kl,1.0,-1.4187746047973633,0.0,0.001,0.1198936253786087
8,1,l2_constraint,0.03,-0.6598318219184875,0.0,0.0,0.6624467372894287
8,1,l2_constraint,0.05,-0.6622467041015625,0.0,0.0002,0.8462514877319336
8,1,l2_constraint,0.1,-0.6626828908920288,0.0,0.0001,1.5721852779388428
8,1,l2_constraint,0.3,-0.6721685528755188,0.0,0.0,5.984437465667725
8,1,l2_constraint,1.0,-0.6818254590034485,0.0,0.0003,15.490571022033691
8,1,partial_ot,0.03,-0.926415205001831,0.0,0.0016,-1.3013195991516113
