dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
2,bc,1.0,3,-1.6441258986790974,0.007242376527276093,0.018866666666666667,0.0006236095644623225,0.030966666666666667,0.0022425184255405553
2,forward_kl,1.0,3,-0.8149924278259277,0.03411876766119223,0.0003333333333333333,0.00016996731711975952,0.033433333333333336,0.0025368396787253935
2,l2_constraint,0.03,3,-0.1644530047972997,0.0019529368704995496,0.0,0.0,0.0007333333333333333,0.00033993463423951894
2,l2_constraint,0.05,3,-0.16677179435888925,0.00048777757055114447,0.0,0.0,0.0005666666666666666,4.714045207910314e-05
2,l2_constraint,0.1,3,-0.1656720588604609,0.00209232857547882,0.0,0.0,0.0005333333333333333,4.714045207910314e-05
2,l2_constraint,0.3,3,-0.16733563939730325,0.0018627356310696255,0.0,0.0,0.0010333333333333334,0.00026246692913372703
2,l2_constraint,1.0,3,-0.18195184071858725,0.003222604195848607,0.0,0.0,0.0023,0.000787400787401181
2,partial_ot,0.03,3,-0.43539975086847943,0.07729798370169881,0.0,0.0,0.045566666666666665,0.015609042963046202
2,partial_ot,0.05,3,-0.9875922203063965,0.05272207693282055,0.0,0.0,0.12713333333333332,0.003231442746239237
2,partial_ot,0.1,3,-1.5269887049992878,0.10217243745434167,0.0,0.0,0.10986666666666667,0.004937835783237657
2,partial_ot,0.3,3,-3.2174911499023438,0.27576579623406733,0.02953333333333333,0.03992804639459448,0.025066666666666664,0.01701417709506464
2,partial_ot,1.0,3,-7.789628028869629,0.7069483329961797,0.2972666666666666,0.02088337988821628,0.0159,0.001920069443188623
2,reverse_kl,1.0,3,-0.8576794862747192,0.010087173052575827,0.00046666666666666666,4.714045207910316e-05,0.04576666666666666,0.00468638690487909
2,unbalanced_ot,0.03,3,-0.16537553568681082,0.001354094306890306,0.0,0.0,0.0005333333333333334,0.0001885618083164127
2,unbalanced_ot,0.05,3,-0.16636293133099875,0.0018271285745931742,0.0,0.0,0.0006666666666666666,9.428090415820637e-05
2,unbalanced_ot,0.1,3,-0.1661002884308497,0.0017969229470447218,0.0,0.0,0.0005666666666666666,4.714045207910314e-05
2,unbalanced_ot,0.3,3,-0.17716850340366364,0.00016085481716838896,0.0,0.0,0.0017333333333333333,0.0006599663291074443
2,unbalanced_ot,1.0,3,-0.8301531275113424,0.010843299409784788,0.0007333333333333333,0.00024944382578492944,0.03503333333333333,0.0021913973218524794
2,wasserstein,0.03,3,-0.1689325819412867,0.0007618112545698034,0.0,0.0,0.0009333333333333333,0.000339934634239519
2,wasserstein,0.05,3,-0.16943146785100302,0.002233795620607462,0.0,0.0,0.0007333333333333332,0.00012472191289246472
2,wasserstein,0.1,3,-0.17513499657313028,0.0012560755812667471,0.0,0.0,0.0012,0.00042426406871192855
2,wasserstein,0.3,3,-0.33026279012362164,0.005031215584720514,0.0,0.0,0.016033333333333333,0.0015326085243430204
2,wasserstein,1.0,3,-1.6264633337656658,0.011443409611868943,0.016633333333333333,0.00044969125210773475,0.0307,0.000648074069840788
4,bc,1.0,3,-1.809589147567749,0.011381403058826683,0.019133333333333336,0.0012918548250050743,0.0097,0.0002943920288775947
4,forward_kl,1.0,3,-1.0473665396372478,0.06710101199236565,0.0003,0.0001414213562373095,0.008833333333333334,0.0013123346456686352
4,l2_constraint,0.03,3,-0.3275741736094157,0.0019863073923645515,0.0,0.0,0.0003333333333333333,0.00020548046676563254
4,l2_constraint,0.05,3,-0.32977062463760376,0.002052261890452248,0.0,0.0,0.0003,0.0001414213562373095
4,l2_constraint,0.1,3,-0.3290368318557739,0.0018442506203603217,0.0,0.0,0.00016666666666666666,0.0001247219128924647
4,l2_constraint,0.3,3,-0.3337024350961049,0.0031176139829586225,0.0,0.0,0.00043333333333333337,0.00032998316455372216
4,l2_constraint,1.0,3,-0.34666727979977924,0.006299305120830375,0.0,0.0,0.0008333333333333334,0.00016996731711975952
4,partial_ot,0.03,3,-0.6298660635948181,0.013809427158463956,0.0,0.0,0.0163,0.0008602325267042625
4,partial_ot,0.05,3,-1.0205357869466145,0.09276661677100964,0.0,0.0,0.0367,0.0045745673748089745
4,partial_ot,0.1,3,-1.976570685704549,0.4037396020328853,0.0,0.0,0.026766666666666664,0.006666499997916613
4,partial_ot,0.3,3,-3.5742952823638916,0.25674769768045547,0.0356,0.04879474015369553,0.0047,0.0039064049969249216
4,partial_ot,1.0,3,-9.165730476379395,0.4691606140540776,0.3261,0.011153773651400084,0.0022333333333333333,0.00026246692913372703
4,reverse_kl,1.0,3,-1.0276667873064678,0.0609568977592271,0.0007666666666666667,0.0004109609335312651,0.013533333333333335,0.0009741092797468303
4,unbalanced_ot,0.03,3,-0.3320722778638204,0.0033595082835052165,0.0,0.0,0.00016666666666666666,0.0001247219128924647
4,unbalanced_ot,0.05,3,-0.3322334786256154,0.0017471280265685413,0.0,0.0,0.00036666666666666667,4.714045207910318e-05
4,unbalanced_ot,0.1,3,-0.33423592646916706,0.0019599171162686,0.0,0.0,0.00023333333333333333,4.714045207910315e-05
4,unbalanced_ot,0.3,3,-0.34044987956682843,0.0002677409199125176,0.0,0.0,0.0007666666666666667,0.00018856180831641265
4,unbalanced_ot,1.0,3,-0.9992076754570007,0.03391171386168921,0.0004333333333333333,0.0001247219128924647,0.011200000000000002,0.0009273618495495702
4,wasserstein,0.03,3,-0.33495083451271057,0.0014423924096069586,0.0,0.0,0.00013333333333333334,9.428090415820634e-05
4,wasserstein,0.05,3,-0.33256132404009503,0.0038318843986093077,0.0,0.0,0.0003333333333333333,0.00012472191289246472
4,wasserstein,0.1,3,-0.34131863713264465,0.004954893112746662,0.0,0.0,0.0003,8.164965809277261e-05
4,wasserstein,0.3,3,-0.47909724712371826,0.0076862557082088495,0.0,0.0,0.004733333333333333,0.0003299831645537222
4,wasserstein,1.0,3,-1.7713497082392375,0.015389252437658766,0.016466666666666668,0.00024944382578492917,0.009166666666666668,0.0005906681715556452
8,bc,1.0,3,-2.1222161451975503,0.022806723113466657,0.019066666666666666,0.0027932458220182167,0.0015666666666666667,0.0003858612300930075
8,forward_kl,1.0,3,-1.4173524777094524,0.03693096218168237,0.0003,0.00021602468994692868,0.001,0.00032659863237109043
8,l2_constraint,0.03,3,-0.662069837252299,0.0016123007099811094,0.0,0.0,6.666666666666667e-05,4.7140452079103176e-05
8,l2_constraint,0.05,3,-0.6583382288614908,0.004046931983463176,0.0,0.0,6.666666666666667e-05,9.428090415820635e-05
8,l2_constraint,0.1,3,-0.660612960656484,0.0018085477638958747,0.0,0.0,3.3333333333333335e-05,4.7140452079103176e-05
8,l2_constraint,0.3,3,-0.6707695722579956,0.0038101019291486085,0.0,0.0,0.0001,8.164965809277261e-05
8,l2_constraint,1.0,3,-0.6811755100886027,0.009245674294406866,0.0,0.0,0.00016666666666666666,0.0001247219128924647
8,partial_ot,0.03,3,-0.9307242433230082,0.024228662233215226,0.0,0.0,0.0017000000000000001,8.164965809277255e-05
8,partial_ot,0.05,3,-1.1147252519925435,0.11917792535291595,0.0,0.0,0.0026,0.0009899494936611666
8,partial_ot,0.1,3,-1.9044959942499797,0.07776510171336426,0.0,0.0,0.0042,0.00024494897427831773
8,partial_ot,0.3,3,-3.1579789320627847,0.2764021226115283,0.003233333333333334,0.0037383894333730874,0.0015666666666666667,0.0006342099196813483
