scenario,modality,q_quality,dim,forward_kl_mean_reward,reverse_kl_mean_reward,best_wasserstein_reward,best_partial_reward,best_unbalanced_reward,best_l2_reward,best_ot_minus_kl,best_ot_minus_reverse_kl,best_pot_minus_kl,best_l2_minus_kl,best_l2_minus_reverse_kl,all_ot_beat_kl
baseline,low,clean,2,-0.10436764856179555,-0.05905421823263168,-0.16438153386116028,-0.195235475897789,-0.16439939538637796,-0.16430571675300598,-0.06001388529936473,-0.1053273156285286,-0.09086782733599345,-0.059938068191210433,-0.1052514985203743,0
baseline,low,clean,4,-0.19335384170214334,-0.08358495185772578,-0.331535001595815,-0.3738718231519063,-0.32781825462977093,-0.33029382427533466,-0.1344644129276276,-0.24423330277204514,-0.18051798144976297,-0.13693998257319132,-0.24670887241760886,0
baseline,low,clean,8,-0.3713521460692088,-0.13447567323843637,-0.6591456731160482,-0.7180725336074829,-0.6561373273531595,-0.658337394396464,-0.28478518128395075,-0.5216616541147232,-0.3467203875382741,-0.2869852483272552,-0.5238617211580276,0
baseline,low,mid,2,-0.1845585803190867,-0.1636181672414144,-0.1656956970691681,-0.197475994626681,-0.16357714434464773,-0.164063091079394,0.020981435974438967,4.10228967666626e-05,-0.0129174143075943,0.020495489239692688,-0.0004449238379796161,0
baseline,low,mid,4,-0.3245701193809509,-0.24508023262023926,-0.3306668698787689,-0.3741100033124288,-0.3298106590906779,-0.33019954959551495,-0.005240539709726988,-0.08473042647043866,-0.049539883931477846,-0.005629430214564024,-0.0851193169752757,0
baseline,low,mid,8,-0.4996154109636943,-0.282416969537735,-0.6604356567064921,-0.7192556858062744,-0.6565836866696676,-0.6589007576306661,-0.15696827570597333,-0.3741667171319326,-0.21964027484258014,-0.15928534666697186,-0.37648378809293115,0
baseline,low,noisy,2,-0.3501809736092885,-0.32635600368181866,-0.1661825180053711,-0.19511958956718445,-0.16444700956344604,-0.1643504003683726,0.18573396404584247,0.16190899411837262,0.15506138404210407,0.18583057324091592,0.16200560331344607,1
baseline,low,noisy,4,-0.5475263098875681,-0.47818248470624286,-0.32943472266197205,-0.3728199005126953,-0.32953767975171405,-0.32758091886838275,0.21809158722559607,0.14874776204427081,0.1747064093748728,0.21994539101918537,0.1506015658378601,1
baseline,low,noisy,8,-0.899113655090332,-0.6192901929219564,-0.6608443657557169,-0.7145628333091736,-0.6572139461835226,-0.658189058303833,0.24189970890680945,-0.03792375326156616,0.18455082178115845,0.24092459678649902,-0.03889886538187659,1
baseline,mid,clean,2,-0.10355174541473389,-0.05742077281077703,-0.16624564925829569,-0.22004014253616333,-0.16464782257874808,-0.1643639157215754,-0.06109607716401419,-0.10722704976797104,-0.11648839712142944,-0.06081217030684152,-0.10694314291079837,0
baseline,mid,clean,4,-0.18927274147669473,-0.07566643009583156,-0.3341068625450134,-0.3569212853908539,-0.3290295700232188,-0.3300258318583171,-0.13975682854652408,-0.25336313992738724,-0.16764854391415915,-0.14075309038162234,-0.2543594017624855,0
baseline,mid,clean,8,-0.3616248468557994,-0.11906294524669647,-0.664819339911143,-0.6912393172581991,-0.6589501897493998,-0.658322791258494,-0.2973253428936004,-0.5398872445027033,-0.3296144704023997,-0.29669794440269465,-0.5392598460117976,0
baseline,mid,mid,2,-0.2742825746536255,-0.20726244151592255,-0.1673708955446879,-0.22732789814472198,-0.1640835553407669,-0.16447177032629648,0.11019901931285858,0.04317888617515564,0.0469546765089035,0.10981080432732901,0.04279067118962607,1
baseline,mid,mid,4,-0.3445044259230296,-0.30598321557044983,-0.3337067166964213,-0.3586256404717763,-0.33103976647059125,-0.33039402961730957,0.013464659452438354,-0.025056550900141417,-0.014121214548746708,0.01411039630572003,-0.02441081404685974,0
baseline,mid,mid,8,-0.5459361672401428,-0.3846226930618286,-0.6631966829299927,-0.689885675907135,-0.6581720113754272,-0.6592344641685486,-0.11223584413528442,-0.27354931831359863,-0.1439495086669922,-0.11329829692840576,-0.27461177110671997,0
baseline,mid,noisy,2,-0.43088165918986004,-0.36071790258089703,-0.1688586970170339,-0.2216670165459315,-0.16532321274280548,-0.1643716941277186,0.26555844644705456,0.19539468983809155,0.20921464264392856,0.2665099650621414,0.19634620845317843,1
baseline,mid,noisy,4,-0.6380033095677694,-0.5274884502092997,-0.3324290414651235,-0.35450929403305054,-0.33197734753290814,-0.32746289173762005,0.30602596203486127,0.19551110267639155,0.28349401553471887,0.31054041783014935,0.20002555847167963,1
baseline,mid,noisy,8,-0.8429877956708273,-0.6689874132474264,-0.6623809337615967,-0.6859080592791239,-0.6600329081217448,-0.6581990122795105,0.1829548875490825,0.008954505125681633,0.15707973639170336,0.18478878339131677,0.01078840096791589,1
baseline,high,clean,2,-0.09946271032094955,-0.04862339670459429,-0.16742510596911112,-0.2638834665218989,-0.16493172446886697,-0.16438055038452148,-0.06546901414791742,-0.11630832776427269,-0.16442075620094937,-0.06491784006357193,-0.1157571536799272,0
baseline,high,clean,4,-0.18278797964255014,-0.06566609690586726,-0.33526724576950073,-0.3971686859925588,-0.32957351207733154,-0.3307279447714488,-0.1467855324347814,-0.26390741517146427,-0.21438070635000864,-0.14793996512889865,-0.2650618478655815,0
baseline,high,clean,8,-0.35212041934331256,-0.10958435138066609,-0.6660545865694681,-0.7269888122876486,-0.6604411204655966,-0.6583425601323446,-0.308320701122284,-0.5508567690849304,-0.374868392944336,-0.30622214078903204,-0.5487582087516785,0
baseline,high,mid,2,-0.3430686891078949,-0.322025070587794,-0.16860127945741019,-0.2748269985119502,-0.16450575987497965,-0.16459507743517557,0.17856292923291525,0.15751931071281436,0.0682416905959447,0.17847361167271933,0.15742999315261844,1
baseline,high,mid,4,-0.43250393867492676,-0.3834364712238312,-0.3359319567680359,-0.3991374472777049,-0.33160073558489483,-0.3302663763364156,0.10090320309003192,0.05183573563893634,0.033366491397221865,0.10223756233851117,0.05317009488741559,1
baseline,high,mid,8,-0.593602697054545,-0.4551535447438558,-0.6656760573387146,-0.7248179713884989,-0.6597008109092712,-0.659404436747233,-0.06609811385472619,-0.20454726616541546,-0.13121527433395386,-0.06580173969268799,-0.20425089200337726,0
baseline,high,noisy,2,-0.5270363688468933,-0.6120339433352152,-0.17012823124726614,-0.2639356404542923,-0.1656080981095632,-0.16441396375497183,0.3614282707373301,0.446425845225652,0.263100728392601,0.36262240509192145,0.44761997958024335,1
baseline,high,noisy,4,-0.69988880554835,-0.6825636227925619,-0.3350147108236949,-0.3963128626346588,-0.3322838842868805,-0.3275671104590098,0.3676049212614695,0.3502797385056814,0.30357594291369117,0.37232169508934015,0.35499651233355206,1
baseline,high,noisy,8,-0.9207224448521932,-0.8559598326683044,-0.6635672251383463,-0.7197883526484171,-0.6614266236623129,-0.658221423625946,0.25929582118988037,0.19453320900599158,0.20093409220377612,0.2625010212262472,0.1977384090423584,1
good_shift,low,clean,2,-0.19734702507654825,-0.2027344157298406,-0.16473734378814697,-0.32299062609672546,-0.16469486554463705,-0.16472985843817392,0.032652159531911196,0.03803955018520355,-0.12564360102017721,0.03261716663837433,0.038004557291666685,0
good_shift,low,clean,4,-0.4138655463854472,-0.4083546996116638,-0.3321973482767741,-0.5146225094795227,-0.32909587025642395,-0.3321872353553772,0.08476967612902325,0.07925882935523987,-0.1007569630940755,0.08167831103007,0.07616746425628662,0
good_shift,low,clean,8,-0.9156406919161478,-0.8033283750216166,-0.660818080107371,-0.8786881566047668,-0.6589950720469157,-0.6585827469825745,0.2566456198692322,0.14433330297470093,0.036952535311380985,0.25705794493357337,0.14474562803904212,1
