dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.6335499286651611,0.005,0.0276,8.996026992797852
2,0,forward_kl,1.0,-0.10272619873285294,0.0,0.1647,-0.5794023871421814
2,0,l2_constraint,0.03,-0.16431643068790436,0.0,0.1074,0.9118025898933411
2,0,l2_constraint,0.05,-0.16315092146396637,0.0,0.1072,1.440919280052185
2,0,l2_constraint,0.1,-0.16383108496665955,0.0,0.0985,2.6736502647399902
2,0,l2_constraint,0.3,-0.16524635255336761,0.0,0.104,7.717006206512451
2,0,l2_constraint,1.0,-0.17665471136569977,0.0,0.0965,25.139968872070312
2,0,partial_ot,0.03,-0.21821483969688416,0.0,0.0799,-0.028937503695487976
2,0,partial_ot,0.05,-0.5726138353347778,0.0,0.026,-0.650723397731781
2,0,partial_ot,0.1,-1.5354076623916626,0.0,0.0007,-2.9425253868103027
2,0,partial_ot,0.3,-3.1978514194488525,0.0098,0.0077,-11.897427558898926
2,0,partial_ot,1.0,-9.794876098632812,0.2745,0.006,-115.02598571777344
2,0,reverse_kl,1.0,-0.05874548479914665,0.0,0.2755,-0.7425791621208191
2,0,unbalanced_ot,0.03,-0.16690020263195038,0.0,0.1029,0.4814388155937195
2,0,unbalanced_ot,0.05,-0.1664332151412964,0.0,0.11,0.6696721315383911
2,0,unbalanced_ot,0.1,-0.17240656912326813,0.0,0.1009,1.0383250713348389
2,0,unbalanced_ot,0.3,-0.19740596413612366,0.0,0.0902,2.6554794311523438
2,0,unbalanced_ot,1.0,-2.3339743614196777,0.0202,0.0206,14.640740394592285
2,0,wasserstein,0.03,-0.16697703301906586,0.0,0.1036,0.8498045206069946
2,0,wasserstein,0.05,-0.16967754065990448,0.0,0.1027,1.3695671558380127
2,0,wasserstein,0.1,-0.183781236410141,0.0,0.0965,2.6969478130340576
2,0,wasserstein,0.3,-0.6744686365127563,0.0,0.0394,6.618284225463867
2,0,wasserstein,1.0,-2.704921007156372,0.0289,0.02,20.321155548095703
2,1,bc,1.0,-1.6279798746109009,0.0056,0.0254,9.17552375793457
2,1,forward_kl,1.0,-0.10443505644798279,0.0,0.1632,-0.6101871728897095
2,1,l2_constraint,0.03,-0.16428205370903015,0.0,0.1063,0.927864670753479
2,1,l2_constraint,0.05,-0.16726329922676086,0.0,0.1063,1.5854992866516113
2,1,l2_constraint,0.1,-0.16778825223445892,0.0,0.1056,2.6874308586120605
2,1,l2_constraint,0.3,-0.1676522195339203,0.0,0.1015,7.991058349609375
2,1,l2_constraint,1.0,-0.17721182107925415,0.0,0.098,25.18423843383789
2,1,partial_ot,0.03,-0.28159481287002563,0.0,0.06,-0.24153545498847961
2,1,partial_ot,0.05,-0.49619990587234497,0.0,0.0267,-0.15313595533370972
2,1,partial_ot,0.1,-1.7125201225280762,0.0,0.0004,-3.4238791465759277
2,1,partial_ot,0.3,-3.3206534385681152,0.0017,0.0009,-14.638235092163086
2,1,partial_ot,1.0,-8.11352252960205,0.2224,0.006,-65.14694213867188
2,1,reverse_kl,1.0,-0.06033588945865631,0.0,0.2664,-0.6508215665817261
