dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
2,bc,1.0,3,-1.632727821667989,0.0035884574842010015,0.0056,0.0004898979485566355,0.026066666666666665,0.0010873004286866726
2,forward_kl,1.0,3,-0.10449654857317607,0.0014712313238939162,0.0,0.0,0.1633,0.0011045361017187293
2,l2_constraint,0.03,3,-0.16503114998340607,0.001035169055800789,0.0,0.0,0.10786666666666667,0.001506283137025998
2,l2_constraint,0.05,3,-0.16439341008663177,0.002035393008596041,0.0,0.0,0.107,0.0005099019513592759
2,l2_constraint,0.1,3,-0.16519510249296823,0.0018344604471314046,0.0,0.0,0.1032,0.0033236526092037125
2,l2_constraint,0.3,3,-0.16768304506937662,0.0020022542267419383,0.0,0.0,0.10086666666666667,0.0028522895287041838
2,l2_constraint,1.0,3,-0.17357978721459708,0.004747986041618593,0.0,0.0,0.0999,0.0037973675092095043
2,partial_ot,0.03,3,-0.2590937713781993,0.028954739228892083,0.0,0.0,0.06853333333333333,0.008367529835952518
2,partial_ot,0.05,3,-0.6086897452672323,0.10958591320319816,0.0,0.0,0.021133333333333334,0.00738301353709235
2,partial_ot,0.1,3,-1.6405096451441448,0.07599777049168736,0.0,0.0,0.00046666666666666666,0.0001699673171197595
2,partial_ot,0.3,3,-3.288244088490804,0.06476435713959931,0.009133333333333334,0.0058162607308208675,0.005166666666666667,0.0030346151137976116
2,partial_ot,1.0,3,-8.617048422495523,0.835762975644595,0.23653333333333335,0.02713697764224226,0.0061,0.00014142135623730948
2,reverse_kl,1.0,3,-0.05911634241541227,0.000884138772232142,0.0,0.0,0.2728333333333333,0.004571165667043311
2,unbalanced_ot,0.03,3,-0.16495442390441895,0.0014261091770525149,0.0,0.0,0.10473333333333334,0.0012970050972229124
2,unbalanced_ot,0.05,3,-0.16710526744524637,0.001196011438488721,0.0,0.0,0.10856666666666666,0.0019567546828585533
2,unbalanced_ot,0.1,3,-0.16904842853546143,0.00291747770613862,0.0,0.0,0.10443333333333334,0.0032262809686834306
2,unbalanced_ot,0.3,3,-0.19453959663709006,0.0026092818660341196,0.0,0.0,0.0917,0.0015297058540778322
2,unbalanced_ot,1.0,3,-2.2655181090037027,0.049028811858623345,0.018233333333333334,0.001391242450313947,0.021133333333333337,0.0011264496832477206
2,wasserstein,0.03,3,-0.16729228695233664,0.0014490142395168835,0.0,0.0,0.10493333333333334,0.0010624918300339505
2,wasserstein,0.05,3,-0.1697932332754135,0.0005791887821732006,0.0,0.0,0.10416666666666667,0.001087300428686674
2,wasserstein,0.1,3,-0.18448391556739807,0.0023424523071406515,0.0,0.0,0.09626666666666667,0.0034740306401770424
2,wasserstein,0.3,3,-0.6727367639541626,0.01213762785646592,0.0,0.0,0.04103333333333333,0.0020336065390226202
2,wasserstein,1.0,3,-2.7543959617614746,0.03512683054703548,0.03186666666666666,0.0021013223349965996,0.01813333333333333,0.001552059563576376
4,bc,1.0,3,-1.7605242331822712,0.012985070935952716,0.005833333333333334,0.0004496912521077348,0.0075,0.0005354126134736336
4,forward_kl,1.0,3,-0.18740318218866983,0.0011180499327292617,0.0,0.0,0.06253333333333333,0.0028709270666845985
4,l2_constraint,0.03,3,-0.3319979210694631,0.0014871360357262599,0.0,0.0,0.021099999999999997,0.0012027745701779144
4,l2_constraint,0.05,3,-0.3350658019383748,0.0018426753667451423,0.0,0.0,0.021500000000000002,0.00043204937989385796
4,l2_constraint,0.1,3,-0.330718457698822,0.0025585136285109075,0.0,0.0,0.0219,0.001430617582258329
4,l2_constraint,0.3,3,-0.3353799482186635,0.0021080588134547293,0.0,0.0,0.021566666666666665,0.0010530379332620871
4,l2_constraint,1.0,3,-0.3442439138889313,0.0023093584491870396,0.0,0.0,0.020100000000000003,0.00024494897427831773
4,partial_ot,0.03,3,-0.39131860931714374,0.011792995169995827,0.0,0.0,0.015833333333333335,0.0012970050972229141
4,partial_ot,0.05,3,-0.6706566214561462,0.03262108965557622,0.0,0.0,0.005933333333333333,0.0008339997335464539
4,partial_ot,0.1,3,-1.7676920890808105,0.35205442859665886,0.0,0.0,0.0006000000000000001,0.0007118052168020875
4,partial_ot,0.3,3,-3.4673403898874917,0.16798781434383742,0.0005,0.0004546060565661952,0.00019999999999999998,0.000282842712474619
4,partial_ot,1.0,3,-9.083707809448242,0.16788311395441105,0.24346666666666664,0.007141117248411174,0.0010666666666666665,0.00041096093353126513
4,reverse_kl,1.0,3,-0.07491884380578995,6.761613446574336e-05,0.0,0.0,0.2597666666666667,0.0013299958228839993
4,unbalanced_ot,0.03,3,-0.3338787257671356,0.002442603528237141,0.0,0.0,0.02153333333333333,0.0007930251502246876
4,unbalanced_ot,0.05,3,-0.3296111623446147,0.002863662339039743,0.0,0.0,0.0212,0.0015121728296285007
4,unbalanced_ot,0.1,3,-0.33032965660095215,0.0035020789967143595,0.0,0.0,0.022000000000000002,0.0008831760866327852
4,unbalanced_ot,0.3,3,-0.35774346192677814,0.0028711434954690022,0.0,0.0,0.016766666666666666,0.00024944382578492944
4,unbalanced_ot,1.0,3,-2.4272417227427163,0.02986774262021163,0.018966666666666666,0.00044969125210773454,0.004166666666666667,0.00020548046676563273
4,wasserstein,0.03,3,-0.33513496319452923,0.0010244896188763763,0.0,0.0,0.021733333333333337,0.0010624918300339477
4,wasserstein,0.05,3,-0.3368152181307475,0.0044803901320962,0.0,0.0,0.021333333333333333,0.001960158723731887
4,wasserstein,0.1,3,-0.35117581486701965,0.0028136901188144906,0.0,0.0,0.02036666666666667,0.0007760297817881873
4,wasserstein,0.3,3,-0.8424277504285177,0.0037772918709998004,0.0,0.0,0.0085,0.0002943920288775947
