dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.6335499286651611,0.005,0.0276,8.996026992797852
2,0,forward_kl,1.0,-0.4009559154510498,0.0,0.0526,1.0417940616607666
2,0,l2_constraint,0.03,-0.16689838469028473,0.0,0.1044,0.7726657390594482
2,0,l2_constraint,0.05,-0.1693352460861206,0.0,0.1052,1.4733591079711914
2,0,l2_constraint,0.1,-0.16492629051208496,0.0,0.1059,2.8173887729644775
2,0,l2_constraint,0.3,-0.16778208315372467,0.0,0.1022,7.493346691131592
2,0,l2_constraint,1.0,-0.17496000230312347,0.0,0.1006,25.392196655273438
2,0,partial_ot,0.03,-0.23316147923469543,0.0,0.0801,-0.20619669556617737
2,0,partial_ot,0.05,-0.41672852635383606,0.0,0.0416,-0.537539005279541
2,0,partial_ot,0.1,-1.578000545501709,0.0,0.0007,-2.890636444091797
2,0,partial_ot,0.3,-3.2991387844085693,0.0099,0.0041,-12.842880249023438
2,0,partial_ot,1.0,-9.892221450805664,0.2727,0.0051,-119.80648803710938
2,0,reverse_kl,1.0,-0.3710383474826813,0.0,0.0688,-0.020219236612319946
2,0,unbalanced_ot,0.03,-0.1655619591474533,0.0,0.1064,0.19410094618797302
2,0,unbalanced_ot,0.05,-0.16887031495571136,0.0,0.1126,0.8280026912689209
2,0,unbalanced_ot,0.1,-0.1719323992729187,0.0,0.0998,0.5656200647354126
2,0,unbalanced_ot,0.3,-0.18818530440330505,0.0,0.093,2.7104289531707764
2,0,unbalanced_ot,1.0,-2.410829544067383,0.0217,0.0204,13.420483589172363
2,0,wasserstein,0.03,-0.17115388810634613,0.0,0.1035,1.0250978469848633
2,0,wasserstein,0.05,-0.17450512945652008,0.0,0.0971,1.2102837562561035
2,0,wasserstein,0.1,-0.18197356164455414,0.0,0.0989,2.574233293533325
2,0,wasserstein,0.3,-0.6839350461959839,0.0,0.0376,6.989657402038574
2,0,wasserstein,1.0,-2.8261544704437256,0.0357,0.0167,19.799224853515625
2,1,bc,1.0,-1.6279798746109009,0.0056,0.0254,9.17552375793457
2,1,forward_kl,1.0,-0.3110080659389496,0.0,0.0619,2.855400800704956
2,1,l2_constraint,0.03,-0.16248102486133575,0.0,0.1078,0.7970656156539917
2,1,l2_constraint,0.05,-0.16466903686523438,0.0,0.1041,1.6713508367538452
2,1,l2_constraint,0.1,-0.1660350263118744,0.0,0.1055,2.5867836475372314
2,1,l2_constraint,0.3,-0.16763566434383392,0.0,0.1085,7.946625232696533
2,1,l2_constraint,1.0,-0.171819806098938,0.0,0.1014,25.20897102355957
