dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
2,bc,1.0,3,-1.632727821667989,0.0035884574842010015,0.0056,0.0004898979485566355,0.026066666666666665,0.0010873004286866726
2,forward_kl,1.0,3,-0.34478195508321124,0.039991468265775924,0.0,0.0,0.06036666666666666,0.005817406829698456
2,l2_constraint,0.03,3,-0.16459304094314575,0.0018085535019713396,0.0,0.0,0.10563333333333334,0.0015369522511198017
2,l2_constraint,0.05,3,-0.16636444131533304,0.002107662466142828,0.0,0.0,0.10453333333333333,0.00047842333648024494
2,l2_constraint,0.1,3,-0.164977565407753,0.0008432601342959235,0.0,0.0,0.10763333333333332,0.002739018477889888
2,l2_constraint,0.3,3,-0.16824490328629813,0.0007604133140384349,0.0,0.0,0.10573333333333333,0.002628476533828843
2,l2_constraint,1.0,3,-0.17516900102297464,0.0028237993974723832,0.0,0.0,0.10066666666666668,0.000573488351136175
2,partial_ot,0.03,3,-0.2713906566301982,0.031241737234258306,0.0,0.0,0.06616666666666667,0.010354172535209606
2,partial_ot,0.05,3,-0.5514129896958669,0.13834657704351305,0.0,0.0,0.026899999999999997,0.01168959651427998
2,partial_ot,0.1,3,-1.6402214368184407,0.044889401307800024,0.0,0.0,0.0005666666666666667,0.00026246692913372703
2,partial_ot,0.3,3,-3.301340103149414,0.004365156044575205,0.008466666666666666,0.005282886416428891,0.0041333333333333335,0.002572072229848057
2,partial_ot,1.0,3,-8.565289179484049,0.9410473473766955,0.23749999999999996,0.02505367571169282,0.006433333333333333,0.0009463379711052258
2,reverse_kl,1.0,3,-0.31027349829673767,0.042968045071601006,0.0,0.0,0.07546666666666667,0.006567258856546535
2,unbalanced_ot,0.03,3,-0.16652646164099374,0.0012076414047456996,0.0,0.0,0.10379999999999999,0.0018832595855767383
2,unbalanced_ot,0.05,3,-0.16454888383547464,0.0031175956188905078,0.0,0.0,0.10810000000000002,0.003341656275960573
2,unbalanced_ot,0.1,3,-0.1676065723101298,0.0031570329288611206,0.0,0.0,0.10453333333333333,0.00368902275526851
2,unbalanced_ot,0.3,3,-0.19089853763580322,0.002054667476822036,0.0,0.0,0.09403333333333334,0.0013224556283251568
2,unbalanced_ot,1.0,3,-2.349036773045858,0.04851460880324535,0.020300000000000002,0.0025664502073226877,0.021666666666666667,0.0010208928554075699
2,wasserstein,0.03,3,-0.16846424341201782,0.0028539245414245474,0.0,0.0,0.10406666666666665,0.0005436502143433394
2,wasserstein,0.05,3,-0.17207313080628714,0.0020073910205606073,0.0,0.0,0.10186666666666666,0.0034120700787384464
2,wasserstein,0.1,3,-0.18482992549737295,0.0020202116102507792,0.0,0.0,0.09670000000000001,0.0016309506430300102
2,wasserstein,0.3,3,-0.6880120635032654,0.00898024058157503,3.3333333333333335e-05,4.7140452079103176e-05,0.039200000000000006,0.0016673332000533073
2,wasserstein,1.0,3,-2.7545674641927085,0.06351674721607298,0.03196666666666667,0.0030619528989773116,0.017333333333333336,0.0010402991022884825
