dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.6335499286651611,0.005,0.0276,8.996026992797852
2,0,forward_kl,1.0,-0.5775813460350037,0.0,0.0453,0.481315553188324
2,0,l2_constraint,0.03,-0.1628645956516266,0.0,0.1044,1.3803422451019287
2,0,l2_constraint,0.05,-0.16614408791065216,0.0,0.1085,1.3028327226638794
2,0,l2_constraint,0.1,-0.16285009682178497,0.0,0.1085,2.6441385746002197
2,0,l2_constraint,0.3,-0.16706059873104095,0.0,0.1027,8.450096130371094
2,0,l2_constraint,1.0,-0.17080222070217133,0.0,0.1072,25.45229721069336
2,0,partial_ot,0.03,-0.21639448404312134,0.0,0.0812,0.24198463559150696
2,0,partial_ot,0.05,-0.5466505885124207,0.0,0.0288,-0.538955569267273
2,0,partial_ot,0.1,-1.5174024105072021,0.0,0.0009,-2.976869583129883
2,0,partial_ot,0.3,-3.2017180919647217,0.0133,0.0084,-13.00049114227295
2,0,partial_ot,1.0,-9.865253448486328,0.2679,0.0048,-100.42554473876953
2,0,reverse_kl,1.0,-0.6493344902992249,0.0,0.0419,2.4508118629455566
2,0,unbalanced_ot,0.03,-0.16498039662837982,0.0,0.1048,0.8548442125320435
2,0,unbalanced_ot,0.05,-0.1648445427417755,0.0,0.1048,1.1759774684906006
2,0,unbalanced_ot,0.1,-0.16469664871692657,0.0,0.1057,1.165293574333191
2,0,unbalanced_ot,0.3,-0.1945134699344635,0.0,0.0853,2.794156074523926
2,0,unbalanced_ot,1.0,-2.270601272583008,0.0179,0.0196,14.585470199584961
2,0,wasserstein,0.03,-0.16967961192131042,0.0,0.1002,0.5437151789665222
2,0,wasserstein,0.05,-0.17512023448944092,0.0,0.1007,2.645179033279419
2,0,wasserstein,0.1,-0.18256130814552307,0.0,0.0969,2.6317405700683594
2,0,wasserstein,0.3,-0.687653124332428,0.0,0.0382,6.759982585906982
2,0,wasserstein,1.0,-2.85249662399292,0.0357,0.0183,20.333770751953125
2,1,bc,1.0,-1.6279798746109009,0.0056,0.0254,9.17552375793457
2,1,forward_kl,1.0,-0.5473206043243408,0.0,0.0395,4.1756439208984375
2,1,l2_constraint,0.03,-0.16717080771923065,0.0,0.1041,1.7210538387298584
2,1,l2_constraint,0.05,-0.16719084978103638,0.0,0.1019,1.5712192058563232
2,1,l2_constraint,0.1,-0.16602477431297302,0.0,0.1076,3.5821847915649414
