dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
2,bc,1.0,3,-1.632727821667989,0.0035884574842010015,0.0056,0.0004898979485566355,0.026066666666666665,0.0010873004286866726
2,forward_kl,1.0,3,-0.5614480376243591,0.012435051894796814,0.0,0.0,0.0429,0.0024711670657134185
2,l2_constraint,0.03,3,-0.1644087185462316,0.0019576255999336767,0.0,0.0,0.10416666666666667,0.00016996731711976435
2,l2_constraint,0.05,3,-0.16696561872959137,0.0006003374955571768,0.0,0.0,0.10416666666666667,0.003065217048686039
2,l2_constraint,0.1,3,-0.16499847173690796,0.001519633518061334,0.0,0.0,0.10959999999999999,0.0022226110770892844
2,l2_constraint,0.3,3,-0.16747975846131644,0.0007227174318634466,0.0,0.0,0.10246666666666666,0.002251419305435773
2,l2_constraint,1.0,3,-0.17366119225819907,0.0021099132366127647,0.0,0.0,0.1028,0.0033436506994601015
2,partial_ot,0.03,3,-0.26074665784835815,0.03334607251652854,0.0,0.0,0.06773333333333333,0.009812350494260902
2,partial_ot,0.05,3,-0.6023439367612203,0.07459631742458682,0.0,0.0,0.020633333333333333,0.006256907294253999
2,partial_ot,0.1,3,-1.6401580969492595,0.08792335083363433,0.0,0.0,0.0005666666666666666,0.00024944382578492944
2,partial_ot,0.3,3,-3.277867635091146,0.05471856334959277,0.0116,0.008051086883148137,0.005633333333333333,0.003496982826507572
2,partial_ot,1.0,3,-8.5503617922465,0.9350356024844086,0.23416666666666666,0.02393342618366391,0.007033333333333332,0.002075786330258702
2,reverse_kl,1.0,3,-0.5867758591969808,0.045206254165543615,0.0,0.0,0.045566666666666665,0.002718251071716681
2,unbalanced_ot,0.03,3,-0.16562786201635996,0.001277773586279146,0.0,0.0,0.10466666666666667,0.000498887651569862
2,unbalanced_ot,0.05,3,-0.1665257215499878,0.0018404578608097828,0.0,0.0,0.10686666666666667,0.0017594190960528858
2,unbalanced_ot,0.1,3,-0.16685892144838968,0.0015328196684763328,0.0,0.0,0.10660000000000001,0.003047403266170507
2,unbalanced_ot,0.3,3,-0.1934584081172943,0.0011571334433275139,0.0,0.0,0.08853333333333334,0.004431954672852847
2,unbalanced_ot,1.0,3,-2.2615110079447427,0.01476261776898845,0.017900000000000003,0.00016329931618554565,0.020866666666666662,0.0010208928554075712
2,wasserstein,0.03,3,-0.16999246180057526,0.000724276664766804,0.0,0.0,0.10196666666666666,0.0022895899681432534
2,wasserstein,0.05,3,-0.17159630358219147,0.0025825793924014436,0.0,0.0,0.10303333333333332,0.002624669291337273
2,wasserstein,0.1,3,-0.18457989394664764,0.0015603884298394488,0.0,0.0,0.09613333333333333,0.0012283683848458879
2,wasserstein,0.3,3,-0.6822768052419027,0.019611587557609587,0.0,0.0,0.03926666666666667,0.0007717224601860169
2,wasserstein,1.0,3,-2.835176150004069,0.014990959347971022,0.0347,0.0016309506430300096,0.017733333333333334,0.0005436502143433358
4,bc,1.0,3,-1.7605242331822712,0.012985070935952716,0.005833333333333334,0.0004496912521077348,0.0075,0.0005354126134736336
4,forward_kl,1.0,3,-0.714506983757019,0.04299594338902255,0.0,0.0,0.008533333333333332,0.0020072092289766127
