dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.118209719657898,0.1356,0.0506,2.0767898559570312
2,0,forward_kl,1.0,-0.10815965384244919,0.0,0.3192,-0.5432237386703491
2,0,l2_constraint,0.03,-0.16408859193325043,0.0,0.2264,0.18288975954055786
2,0,l2_constraint,0.05,-0.16284769773483276,0.0001,0.2244,0.24274380505084991
2,0,l2_constraint,0.1,-0.163138285279274,0.0,0.2177,0.27452531456947327
2,0,l2_constraint,0.3,-0.16412916779518127,0.0,0.2232,0.5804024934768677
2,0,l2_constraint,1.0,-0.1661299765110016,0.0,0.2194,1.525708556175232
2,0,partial_ot,0.03,-0.1967659294605255,0.0,0.1827,-2.064704418182373
2,0,partial_ot,0.05,-0.518852710723877,0.0029,0.0544,-3.831223726272583
2,0,partial_ot,0.1,-0.9892773628234863,0.0676,0.0184,-5.190787315368652
2,0,partial_ot,0.3,-1.6362911462783813,0.098,0.02,-23.368053436279297
2,0,partial_ot,1.0,-8.385278701782227,0.5641,0.0039,-86.47972869873047
2,0,reverse_kl,1.0,-0.06666998565196991,0.0,0.4671,-0.6180087924003601
2,0,unbalanced_ot,0.03,-0.16639530658721924,0.0,0.2279,0.18184849619865417
2,0,unbalanced_ot,0.05,-0.16542285680770874,0.0,0.2264,0.18267092108726501
2,0,unbalanced_ot,0.1,-0.16988807916641235,0.0,0.212,0.23610976338386536
2,0,unbalanced_ot,0.3,-0.1695709526538849,0.0,0.2134,0.4177565574645996
2,0,unbalanced_ot,1.0,-0.16678056120872498,0.0,0.2177,0.8420636653900146
2,0,wasserstein,0.03,-0.16429635882377625,0.0,0.2247,0.19784456491470337
2,0,wasserstein,0.05,-0.16397160291671753,0.0,0.2269,0.2214679718017578
2,0,wasserstein,0.1,-0.16633419692516327,0.0,0.2179,0.2788863480091095
2,0,wasserstein,0.3,-0.16905882954597473,0.0,0.2158,0.5793870687484741
2,0,wasserstein,1.0,-0.17457236349582672,0.0,0.2086,1.1701165437698364
2,1,bc,1.0,-1.1510142087936401,0.1412,0.047,1.865875005722046
2,1,forward_kl,1.0,-0.10649670660495758,0.0,0.3274,-0.5579091310501099
2,1,l2_constraint,0.03,-0.16445428133010864,0.0,0.2191,0.19425426423549652
2,1,l2_constraint,0.05,-0.16701146960258484,0.0,0.2245,0.2553976774215698
2,1,l2_constraint,0.1,-0.16734328866004944,0.0,0.2163,0.29367339611053467
2,1,l2_constraint,0.3,-0.16561342775821686,0.0,0.2162,0.7499885559082031
2,1,l2_constraint,1.0,-0.16756507754325867,0.0,0.2166,1.6042156219482422
2,1,partial_ot,0.03,-0.205947145819664,0.0,0.1846,-2.089787244796753
2,1,partial_ot,0.05,-0.22067256271839142,0.0,0.1732,-3.6451146602630615
2,1,partial_ot,0.1,-1.2094173431396484,0.0679,0.0091,-7.625893592834473
2,1,partial_ot,0.3,-1.773443579673767,0.1622,0.0215,-15.626710891723633
2,1,partial_ot,1.0,-6.814828872680664,0.4918,0.0057,-64.82276153564453
2,1,reverse_kl,1.0,-0.06580489873886108,0.0,0.4669,-0.4676227867603302
2,1,unbalanced_ot,0.03,-0.1629842072725296,0.0,0.221,0.17544105648994446
