dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.118209719657898,0.1356,0.0506,2.0767898559570312
2,0,forward_kl,1.0,-0.19404996931552887,0.0002,0.2113,-0.2516556978225708
2,0,l2_constraint,0.03,-0.1666744202375412,0.0,0.2235,0.03951011225581169
2,0,l2_constraint,0.05,-0.16852125525474548,0.0,0.2209,0.27008017897605896
2,0,l2_constraint,0.1,-0.1636541187763214,0.0,0.2256,0.41250672936439514
2,0,l2_constraint,0.3,-0.16647346317768097,0.0,0.2197,0.3782966732978821
2,0,l2_constraint,1.0,-0.16559569537639618,0.0,0.2247,1.0810755491256714
2,0,partial_ot,0.03,-0.2020692229270935,0.0,0.1849,-2.226486921310425
2,0,partial_ot,0.05,-0.4562360942363739,0.0012,0.0715,-3.901242971420288
2,0,partial_ot,0.1,-1.0583325624465942,0.0742,0.0125,-5.096000671386719
2,0,partial_ot,0.3,-1.5311689376831055,0.0971,0.0204,-23.735458374023438
2,0,partial_ot,1.0,-8.142173767089844,0.5416,0.0049,-85.99541473388672
2,0,reverse_kl,1.0,-0.16863611340522766,0.0,0.2145,0.061985500156879425
2,0,unbalanced_ot,0.03,-0.16504508256912231,0.0,0.2211,-0.10141591727733612
2,0,unbalanced_ot,0.05,-0.16783830523490906,0.0,0.2237,0.3104435205459595
2,0,unbalanced_ot,0.1,-0.16938266158103943,0.0,0.216,-0.2705160081386566
2,0,unbalanced_ot,0.3,-0.16230610013008118,0.0,0.2186,0.1940595507621765
2,0,unbalanced_ot,1.0,-0.17385637760162354,0.0,0.2108,1.1067851781845093
2,0,wasserstein,0.03,-0.1683100163936615,0.0,0.22,0.37301990389823914
2,0,wasserstein,0.05,-0.1685461401939392,0.0,0.215,0.06558989733457565
2,0,wasserstein,0.1,-0.16379202902317047,0.0,0.2309,0.15966446697711945
2,0,wasserstein,0.3,-0.17244377732276917,0.0,0.2113,0.8190244436264038
2,0,wasserstein,1.0,-0.174463152885437,0.0,0.2155,1.3679815530776978
2,1,bc,1.0,-1.1510142087936401,0.1412,0.047,1.865875005722046
2,1,forward_kl,1.0,-0.1973038762807846,0.0,0.1891,-0.4358848035335541
2,1,l2_constraint,0.03,-0.16225527226924896,0.0,0.2239,0.046315304934978485
2,1,l2_constraint,0.05,-0.16474494338035583,0.0,0.2186,0.31255632638931274
2,1,l2_constraint,0.1,-0.167190819978714,0.0,0.2177,0.1667390912771225
2,1,l2_constraint,0.3,-0.1659664511680603,0.0,0.2247,0.8665117025375366
2,1,l2_constraint,1.0,-0.1627843677997589,0.0,0.2222,1.632784128189087
2,1,partial_ot,0.03,-0.20570166409015656,0.0001,0.1873,-2.0000126361846924
2,1,partial_ot,0.05,-0.23280155658721924,0.0001,0.164,-3.72695255279541
2,1,partial_ot,0.1,-1.1564550399780273,0.0652,0.0104,-8.133061408996582
2,1,partial_ot,0.3,-1.7292746305465698,0.162,0.0202,-17.742019653320312
2,1,partial_ot,1.0,-6.852904796600342,0.4949,0.004,-63.36018371582031
2,1,reverse_kl,1.0,-0.17194923758506775,0.0,0.2187,-0.4046792984008789
2,1,unbalanced_ot,0.03,-0.16522923111915588,0.0,0.2193,0.46286314725875854
2,1,unbalanced_ot,0.05,-0.1622726023197174,0.0,0.2317,0.286497563123703
2,1,unbalanced_ot,0.1,-0.16418702900409698,0.0,0.2177,0.3916971981525421
2,1,unbalanced_ot,0.3,-0.1651775985956192,0.0,0.2244,-0.2210429459810257
2,1,unbalanced_ot,1.0,-0.16935820877552032,0.0,0.2214,1.0468988418579102
2,1,wasserstein,0.03,-0.16170036792755127,0.0,0.2254,0.1449751853942871
2,1,wasserstein,0.05,-0.16662688553333282,0.0,0.2229,0.4897922873497009
2,1,wasserstein,0.1,-0.16823098063468933,0.0,0.2171,0.49662894010543823
2,1,wasserstein,0.3,-0.16715778410434723,0.0,0.2224,0.3930668532848358
2,1,wasserstein,1.0,-0.17624513804912567,0.0,0.2112,1.660775899887085
2,2,bc,1.0,-1.1298797130584717,0.1364,0.0502,1.8843647241592407
2,2,forward_kl,1.0,-0.19196967780590057,0.0,0.196,-0.4202383756637573
2,2,l2_constraint,0.03,-0.16423240303993225,0.0,0.2224,0.053436923772096634
2,2,l2_constraint,0.05,-0.16536127030849457,0.0,0.2237,0.12101783603429794
2,2,l2_constraint,0.1,-0.16448600590229034,0.0,0.2253,0.04188118875026703
2,2,l2_constraint,0.3,-0.16669046878814697,0.0,0.2238,0.6606401205062866
2,2,l2_constraint,1.0,-0.16432179510593414,0.0,0.2179,1.7481027841567993
2,2,partial_ot,0.03,-0.2055772989988327,0.0,0.1851,-2.3948302268981934
2,2,partial_ot,0.05,-0.554702639579773,0.0035,0.0418,-3.5593786239624023
2,2,partial_ot,0.1,-1.0020225048065186,0.0604,0.0149,-6.288503170013428
2,2,partial_ot,0.3,-2.2435989379882812,0.2921,0.0237,-18.646167755126953
2,2,partial_ot,1.0,-6.6443281173706055,0.5045,0.0077,-69.94908142089844
2,2,reverse_kl,1.0,-0.144384503364563,0.0,0.2604,0.6905667185783386
2,2,unbalanced_ot,0.03,-0.16762582957744598,0.0,0.2194,0.13727056980133057
2,2,unbalanced_ot,0.05,-0.16067299246788025,0.0,0.222,0.18359163403511047
2,2,unbalanced_ot,0.1,-0.1621735543012619,0.0,0.2285,-0.03470957279205322
2,2,unbalanced_ot,0.3,-0.16634336113929749,0.0,0.2212,0.06337476521730423
2,2,unbalanced_ot,1.0,-0.1677272766828537,0.0,0.2242,0.6872472763061523
2,2,wasserstein,0.03,-0.16701003909111023,0.0,0.2248,0.24788716435432434
2,2,wasserstein,0.05,-0.16435739398002625,0.0,0.2275,0.21180233359336853
2,2,wasserstein,0.1,-0.1673046350479126,0.0,0.2168,0.4558962285518646
2,2,wasserstein,0.3,-0.17168211936950684,0.0,0.2158,0.5253026485443115
2,2,wasserstein,1.0,-0.17405924201011658,0.0,0.2093,1.511723279953003
4,0,bc,1.0,-1.4022362232208252,0.1354,0.0134,3.024118661880493
4,0,forward_kl,1.0,-0.26617416739463806,0.0,0.1295,-1.5148546695709229
4,0,l2_constraint,0.03,-0.33405640721321106,0.0,0.0914,0.4793436825275421
4,0,l2_constraint,0.05,-0.33354640007019043,0.0,0.088,0.7710888981819153
4,0,l2_constraint,0.1,-0.3292143940925598,0.0,0.0889,0.8557001948356628
4,0,l2_constraint,0.3,-0.33222225308418274,0.0,0.0879,0.9656146168708801
4,0,l2_constraint,1.0,-0.3301231861114502,0.0,0.0946,3.4653000831604004
4,0,partial_ot,0.03,-0.39235758781433105,0.0001,0.0679,-2.7712838649749756
4,0,partial_ot,0.05,-0.5344277620315552,0.0005,0.0362,-4.103569030761719
4,0,partial_ot,0.1,-1.343204140663147,0.0878,0.0044,-5.474594593048096
4,0,partial_ot,0.3,-2.1113080978393555,0.1278,0.0027,-23.68304443359375
4,0,partial_ot,1.0,-10.66589069366455,0.5123,0.0002,-76.56787872314453
4,0,reverse_kl,1.0,-0.25817954540252686,0.0,0.1436,-1.3014086484909058
4,0,unbalanced_ot,0.03,-0.3349733054637909,0.0,0.0887,0.4267544150352478
4,0,unbalanced_ot,0.05,-0.32920217514038086,0.0,0.0909,0.3345063030719757
4,0,unbalanced_ot,0.1,-0.32806211709976196,0.0,0.0862,0.4912453889846802
4,0,unbalanced_ot,0.3,-0.32974594831466675,0.0,0.0893,0.5833228826522827
4,0,unbalanced_ot,1.0,-0.3306775391101837,0.0,0.0902,1.5755221843719482
4,0,wasserstein,0.03,-0.32890555262565613,0.0,0.0932,0.09411996603012085
4,0,wasserstein,0.05,-0.3317283093929291,0.0,0.0862,0.39734700322151184
4,0,wasserstein,0.1,-0.3316023647785187,0.0,0.082,1.0074498653411865
4,0,wasserstein,0.3,-0.33292117714881897,0.0,0.0867,0.7744837999343872
4,0,wasserstein,1.0,-0.3417752981185913,0.0,0.0887,1.7062790393829346
4,1,bc,1.0,-1.4408202171325684,0.1391,0.012,2.8025081157684326
4,1,forward_kl,1.0,-0.3134911358356476,0.0,0.1012,-1.0979290008544922
4,1,l2_constraint,0.03,-0.3289857804775238,0.0,0.0887,0.39736029505729675
4,1,l2_constraint,0.05,-0.3316023647785187,0.0,0.0942,0.21757644414901733
4,1,l2_constraint,0.1,-0.33194825053215027,0.0,0.0866,0.31247076392173767
4,1,l2_constraint,0.3,-0.33222779631614685,0.0,0.0907,0.6817278265953064
4,1,l2_constraint,1.0,-0.33137208223342896,0.0,0.0918,2.1442322731018066
4,1,partial_ot,0.03,-0.36579975485801697,0.0,0.0795,-1.6274104118347168
4,1,partial_ot,0.05,-0.46443021297454834,0.0,0.0474,-3.910494565963745
4,1,partial_ot,0.1,-0.7249878644943237,0.0055,0.0206,-6.737164497375488
4,1,partial_ot,0.3,-2.0589661598205566,0.2027,0.0052,-22.670961380004883
4,1,partial_ot,1.0,-9.721487045288086,0.5477,0.0005,-88.91622924804688
4,1,reverse_kl,1.0,-0.2192707061767578,0.0,0.1835,-0.6901195049285889
4,1,unbalanced_ot,0.03,-0.33008790016174316,0.0,0.0876,0.4532220959663391
4,1,unbalanced_ot,0.05,-0.3322538733482361,0.0,0.0901,0.0657728761434555
4,1,unbalanced_ot,0.1,-0.3329339027404785,0.0,0.0888,0.1959683895111084
4,1,unbalanced_ot,0.3,-0.33027929067611694,0.0,0.0925,0.2565278112888336
4,1,unbalanced_ot,1.0,-0.33366742730140686,0.0,0.0849,1.9889836311340332
4,1,wasserstein,0.03,-0.33477896451950073,0.0,0.0878,0.6816340684890747
4,1,wasserstein,0.05,-0.3291410505771637,0.0,0.0923,0.2941243648529053
4,1,wasserstein,0.1,-0.3345014154911041,0.0,0.0857,0.7319734692573547
4,1,wasserstein,0.3,-0.3379431366920471,0.0,0.0901,0.5393840670585632
4,1,wasserstein,1.0,-0.3438677191734314,0.0,0.0909,1.2258249521255493
4,2,bc,1.0,-1.4148637056350708,0.1382,0.0152,2.79327392578125
4,2,forward_kl,1.0,-0.35297006368637085,0.0,0.0929,-0.9270265698432922
4,2,l2_constraint,0.03,-0.3290739357471466,0.0,0.0911,0.6296979188919067
4,2,l2_constraint,0.05,-0.33157840371131897,0.0,0.091,0.2058095782995224
4,2,l2_constraint,0.1,-0.32949164509773254,0.0,0.0917,0.8978273868560791
4,2,l2_constraint,0.3,-0.33571889996528625,0.0,0.0908,0.7650669813156128
4,2,l2_constraint,1.0,-0.32911044359207153,0.0,0.0982,2.174626588821411
4,2,partial_ot,0.03,-0.3884263038635254,0.0001,0.0682,-1.9213707447052002
4,2,partial_ot,0.05,-0.6921601295471191,0.0023,0.0174,-2.9993393421173096
4,2,partial_ot,0.1,-1.3104076385498047,0.0518,0.0043,-9.476150512695312
4,2,partial_ot,0.3,-2.102806329727173,0.1632,0.0031,-20.770280838012695
4,2,partial_ot,1.0,-10.811907768249512,0.5004,0.0001,-88.75565338134766
4,2,reverse_kl,1.0,-0.27957504987716675,0.0001,0.1305,0.7408305406570435
4,2,unbalanced_ot,0.03,-0.3309911787509918,0.0,0.0881,0.48049235343933105
4,2,unbalanced_ot,0.05,-0.329906165599823,0.0,0.0878,0.43788236379623413
4,2,unbalanced_ot,0.1,-0.32887905836105347,0.0,0.0876,0.4527834951877594
4,2,unbalanced_ot,0.3,-0.329374760389328,0.0,0.0945,0.7744460105895996
4,2,unbalanced_ot,1.0,-0.33591488003730774,0.0,0.089,1.3395543098449707
4,2,wasserstein,0.03,-0.33557215332984924,0.0,0.0842,0.49499833583831787
4,2,wasserstein,0.05,-0.3309885263442993,0.0,0.0926,0.2661505937576294
4,2,wasserstein,0.1,-0.3337450325489044,0.0,0.0907,0.47186970710754395
4,2,wasserstein,0.3,-0.3343459367752075,0.0,0.0887,0.6379224061965942
4,2,wasserstein,1.0,-0.3440198302268982,0.0,0.0832,2.0269174575805664
8,0,bc,1.0,-1.988179087638855,0.134,0.0009,4.66889762878418
8,0,forward_kl,1.0,-0.5744736194610596,0.0,0.032,-2.0547471046447754
8,0,l2_constraint,0.03,-0.6602703928947449,0.0,0.0193,0.5562762022018433
8,0,l2_constraint,0.05,-0.6655851006507874,0.0,0.0198,0.7903105020523071
8,0,l2_constraint,0.1,-0.6593072414398193,0.0,0.0187,0.9830461740493774
8,0,l2_constraint,0.3,-0.6574831008911133,0.0,0.0199,1.4758845567703247
8,0,l2_constraint,1.0,-0.6614855527877808,0.0,0.0192,3.0209319591522217
8,0,partial_ot,0.03,-0.7321573495864868,0.0,0.016,-2.2753474712371826
8,0,partial_ot,0.05,-0.76393723487854,0.0,0.0092,-2.5937535762786865
8,0,partial_ot,0.1,-1.3648641109466553,0.0149,0.0017,-6.40998649597168
8,0,partial_ot,0.3,-2.413804531097412,0.0695,0.0003,-21.100154876708984
8,0,partial_ot,1.0,-10.454708099365234,0.4296,0.0,-74.91967010498047
8,0,reverse_kl,1.0,-0.31713226437568665,0.0,0.158,-4.122640609741211
8,0,unbalanced_ot,0.03,-0.6624009013175964,0.0,0.019,0.6387642025947571
8,0,unbalanced_ot,0.05,-0.6638221740722656,0.0,0.0185,0.8168172836303711
