dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
2,bc,1.0,3,-1.1330345471700032,0.013576900985809668,0.13773333333333335,0.002472964932132186,0.04926666666666666,0.0016110727964792763
2,forward_kl,1.0,3,-0.1944411744674047,0.0021951764462876965,6.666666666666667e-05,9.428090415820635e-05,0.1988,0.009276852914647292
2,l2_constraint,0.03,3,-0.1643873651822408,0.0018074341187766694,0.0,0.0,0.22326666666666664,0.0006342099196813509
2,l2_constraint,0.05,3,-0.16620915631453195,0.0016541495000129418,0.0,0.0,0.22106666666666666,0.0020853989759489484
2,l2_constraint,0.1,3,-0.16511031488577524,0.0015098311448406502,0.0,0.0,0.22286666666666669,0.0036554373503347305
2,l2_constraint,0.3,3,-0.16637679437796274,0.00030337987318235476,0.0,0.0,0.22273333333333334,0.002176133165859929
2,l2_constraint,1.0,3,-0.1642339527606964,0.0011493992326437152,0.0,0.0,0.22160000000000002,0.0028083209693100727
2,partial_ot,0.03,3,-0.20444939533869425,0.0016838016907569592,3.3333333333333335e-05,4.7140452079103176e-05,0.18576666666666664,0.0010873004286866704
2,partial_ot,0.05,3,-0.414580096801122,0.13467613844500945,0.0016,0.0014165686240583853,0.09243333333333333,0.05203757189655268
2,partial_ot,0.1,3,-1.0722700357437134,0.06381244315077197,0.0666,0.005720139858430037,0.0126,0.001838477631085024
2,partial_ot,0.3,3,-1.8346808354059856,0.30024654019750396,0.18373333333333333,0.08107816530292783,0.021433333333333332,0.001604853748961429
2,partial_ot,1.0,3,-7.213135560353597,0.6624248636443744,0.5136666666666666,0.02013692021028924,0.005533333333333334,0.0015755069730795299
2,reverse_kl,1.0,3,-0.16165661811828613,0.012287898084622278,0.0,0.0,0.2312,0.020718590685662005
2,unbalanced_ot,0.03,3,-0.16596671442190805,0.0011755778711259658,0.0,0.0,0.21993333333333334,0.0008259674462242524
2,unbalanced_ot,0.05,3,-0.16359463334083557,0.00307096632760608,0.0,0.0,0.2258,0.004229263135188753
2,unbalanced_ot,0.1,3,-0.1652477482954661,0.003037175332898129,0.0,0.0,0.22073333333333334,0.005535541727981306
2,unbalanced_ot,0.3,3,-0.1646090199549993,0.0016965318283803704,0.0,0.0,0.22139999999999996,0.0023720595832876254
2,unbalanced_ot,1.0,3,-0.17031395435333252,0.0025918534841880996,0.0,0.0,0.21880000000000002,0.00577119282875445
2,wasserstein,0.03,3,-0.16567347447077432,0.0028590985700203434,0.0,0.0,0.22340000000000002,0.0024166091947189113
2,wasserstein,0.05,3,-0.16651013990243277,0.0017120398881438166,0.0,0.0,0.2218,0.00516204094004171
2,wasserstein,0.1,3,-0.16644254823525748,0.0019119742164870465,0.0,0.0,0.2216,0.006577233460962141
2,wasserstein,0.3,3,-0.17042789359887442,0.002333129913383815,0.0,0.0,0.2165,0.0045585085280165916
2,wasserstein,1.0,3,-0.17492251098155975,0.0009496640699721295,0.0,0.0,0.212,0.002593581821856915
4,bc,1.0,3,-1.419306715329488,0.016062096125223364,0.13756666666666664,0.0015755069730795323,0.013533333333333333,0.0013097921802925666
4,forward_kl,1.0,3,-0.3108784556388855,0.03548240387036203,0.0,0.0,0.10786666666666667,0.015667872294036045
4,l2_constraint,0.03,3,-0.3307053744792938,0.0023698112619263147,0.0,0.0,0.0904,0.0012083045973594556
4,l2_constraint,0.05,3,-0.33224238952000934,0.0009221265890765728,0.0,0.0,0.09106666666666667,0.002531578339473008
4,l2_constraint,0.1,3,-0.3302180965741475,0.0012286283866604244,0.0,0.0,0.08906666666666667,0.002085398975948943
4,l2_constraint,0.3,3,-0.33338964978853863,0.001647030149747182,0.0,0.0,0.0898,0.0013441230102437295
4,l2_constraint,1.0,3,-0.3302019039789836,0.0009249863829707664,0.0,0.0,0.09486666666666667,0.002619584360585129
4,partial_ot,0.03,3,-0.38219454884529114,0.011703438263727928,6.666666666666667e-05,4.7140452079103176e-05,0.07186666666666668,0.005398971095392982
4,partial_ot,0.05,3,-0.5636727015177408,0.09524242258468829,0.0009333333333333333,0.0009877021593352703,0.03366666666666667,0.012377757829626853
4,partial_ot,0.1,3,-1.1261998812357585,0.2840155094603281,0.04836666666666667,0.03368642984282477,0.009766666666666667,0.0076604322477404774
4,partial_ot,0.3,3,-2.091026862462362,0.022934493754648455,0.16456666666666667,0.030593063847146065,0.003666666666666667,0.001096458946893235
4,partial_ot,1.0,3,-10.399761835734049,0.48330305539655916,0.5201333333333333,0.020088858161235106,0.0002666666666666667,0.0001699673171197595
4,reverse_kl,1.0,3,-0.25234176715215045,0.02496281512516418,3.3333333333333335e-05,4.714045207910317e-05,0.15253333333333333,0.02254038351246244
4,unbalanced_ot,0.03,3,-0.332017461458842,0.0021223789150609865,0.0,0.0,0.08813333333333334,0.0004496912521077363
4,unbalanced_ot,0.05,3,-0.3304540713628133,0.0013047007400920712,0.0,0.0,0.0896,0.0013140268896284651
4,unbalanced_ot,0.1,3,-0.32995835940043133,0.0021302960486709473,0.0,0.0,0.08753333333333334,0.0010624918300339505
4,unbalanced_ot,0.3,3,-0.32979999979337055,0.00037124558959640406,0.0,0.0,0.0921,0.002141650453894533
4,unbalanced_ot,1.0,3,-0.33341994881629944,0.002145284627141642,0.0,0.0,0.08803333333333334,0.0022691163233489998
4,wasserstein,0.03,3,-0.333085556825002,0.0029733946315199603,0.0,0.0,0.08839999999999999,0.003698648401781389
4,wasserstein,0.05,3,-0.3306192954381307,0.0010880335906246937,0.0,0.0,0.09036666666666666,0.0029488227406128625
4,wasserstein,0.1,3,-0.3332829376061757,0.0012278090406918918,0.0,0.0,0.08613333333333334,0.0035649528592800336
4,wasserstein,0.3,3,-0.3350700835386912,0.00211318256266908,0.0,0.0,0.08850000000000001,0.0013952299690970903
4,wasserstein,1.0,3,-0.34322094917297363,0.0010241141444924451,0.0,0.0,0.0876,0.003238312317653544
8,bc,1.0,3,-2.0090593099594116,0.017902156225239333,0.14033333333333334,0.005065789397736763,0.0011,0.00014142135623730948
8,forward_kl,1.0,3,-0.497387558221817,0.05911094272870122,3.3333333333333335e-05,4.714045207910317e-05,0.05273333333333333,0.01608339378226982
