dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.118209719657898,0.1356,0.0506,2.0767898559570312
2,0,forward_kl,1.0,-0.49827998876571655,0.0163,0.0898,1.1270971298217773
2,0,l2_constraint,0.03,-0.16271954774856567,0.0,0.2227,0.6692818403244019
2,0,l2_constraint,0.05,-0.16597458720207214,0.0,0.2259,0.095089390873909
2,0,l2_constraint,0.1,-0.1625666320323944,0.0,0.2207,0.2348863184452057
2,0,l2_constraint,0.3,-0.16382038593292236,0.0,0.2223,1.174589991569519
2,0,l2_constraint,1.0,-0.16601762175559998,0.0,0.2288,1.1935999393463135
2,0,partial_ot,0.03,-0.1983117163181305,0.0,0.1887,-1.7921311855316162
2,0,partial_ot,0.05,-0.5203429460525513,0.0031,0.0494,-3.765812397003174
2,0,partial_ot,0.1,-1.0191172361373901,0.0629,0.0162,-5.361822128295898
2,0,partial_ot,0.3,-1.566379427909851,0.0907,0.0207,-22.553388595581055
2,0,partial_ot,1.0,-8.23215103149414,0.5429,0.0068,-87.86917114257812
2,0,reverse_kl,1.0,-0.44392675161361694,0.0129,0.1002,0.2933169901371002
2,0,unbalanced_ot,0.03,-0.16444680094718933,0.0,0.2208,0.5661097764968872
2,0,unbalanced_ot,0.05,-0.16384458541870117,0.0,0.2183,0.6933135986328125
2,0,unbalanced_ot,0.1,-0.16239897906780243,0.0,0.2225,0.37457236647605896
2,0,unbalanced_ot,0.3,-0.16738295555114746,0.0,0.2144,0.4096047878265381
2,0,unbalanced_ot,1.0,-0.16721712052822113,0.0,0.2196,1.6075944900512695
2,0,wasserstein,0.03,-0.16671790182590485,0.0,0.2172,-0.09854108840227127
2,0,wasserstein,0.05,-0.16921769082546234,0.0,0.2176,1.4977715015411377
2,0,wasserstein,0.1,-0.16528373956680298,0.0,0.2139,0.21735602617263794
2,0,wasserstein,0.3,-0.17336693406105042,0.0,0.21,0.6354189515113831
2,0,wasserstein,1.0,-0.17638032138347626,0.0,0.2108,0.8562319874763489
