dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.6351839303970337,0.019,0.0372,5.384417533874512
2,0,forward_kl,1.0,-0.10813630372285843,0.0,0.2333,-0.5809087157249451
2,0,l2_constraint,0.03,-0.16421237587928772,0.0,0.161,0.5061193704605103
2,0,l2_constraint,0.05,-0.16286103427410126,0.0,0.1642,0.8722994923591614
2,0,l2_constraint,0.1,-0.16404910385608673,0.0,0.1531,1.5650039911270142
2,0,l2_constraint,0.3,-0.1649201214313507,0.0,0.1607,4.036932945251465
2,0,l2_constraint,1.0,-0.1729663610458374,0.0,0.1525,12.856038093566895
2,0,partial_ot,0.03,-0.20950917899608612,0.0,0.1245,-0.775903582572937
2,0,partial_ot,0.05,-0.46863895654678345,0.0,0.0499,-1.641024112701416
2,0,partial_ot,0.1,-1.0836162567138672,0.0,0.0088,-3.9805266857147217
2,0,partial_ot,0.3,-3.412118673324585,0.0728,0.0103,-18.82350730895996
2,0,partial_ot,1.0,-11.37291145324707,0.3915,0.0039,-129.4043426513672
2,0,reverse_kl,1.0,-0.0675554871559143,0.0,0.3496,-0.6126176118850708
2,0,unbalanced_ot,0.03,-0.166669562458992,0.0,0.1635,0.33094197511672974
2,0,unbalanced_ot,0.05,-0.1660137176513672,0.0,0.1674,0.4309059977531433
2,0,unbalanced_ot,0.1,-0.17094768583774567,0.0,0.1546,0.6314902305603027
2,0,unbalanced_ot,0.3,-0.176437109708786,0.0,0.1478,1.8231844902038574
2,0,unbalanced_ot,1.0,-0.7866706848144531,0.0006,0.0556,6.88914680480957
2,0,wasserstein,0.03,-0.16575956344604492,0.0,0.159,0.5154826045036316
2,0,wasserstein,0.05,-0.1669040024280548,0.0,0.1627,0.7706366777420044
2,0,wasserstein,0.1,-0.17369279265403748,0.0,0.1516,1.499178171157837
2,0,wasserstein,0.3,-0.2990100681781769,0.0,0.0991,3.2407889366149902
2,0,wasserstein,1.0,-1.495901346206665,0.0128,0.0407,10.903853416442871
2,1,bc,1.0,-1.6316314935684204,0.0212,0.0356,5.342101097106934
2,1,forward_kl,1.0,-0.1080615222454071,0.0,0.2356,-0.5576383471488953
2,1,l2_constraint,0.03,-0.16452258825302124,0.0,0.16,0.5536510944366455
2,1,l2_constraint,0.05,-0.16734007000923157,0.0,0.1619,0.886976420879364
2,1,l2_constraint,0.1,-0.16728554666042328,0.0,0.1581,1.3747202157974243
2,1,l2_constraint,0.3,-0.1666295975446701,0.0,0.1539,4.319960117340088
2,1,l2_constraint,1.0,-0.17193637788295746,0.0,0.1529,11.401065826416016
2,1,partial_ot,0.03,-0.24180848896503448,0.0,0.1127,-0.9223978519439697
2,1,partial_ot,0.05,-0.22029848396778107,0.0,0.1295,-1.3908154964447021
2,1,partial_ot,0.1,-1.42079496383667,0.0,0.0023,-4.881381511688232
2,1,partial_ot,0.3,-3.8825109004974365,0.0763,0.0037,-17.999563217163086
2,1,partial_ot,1.0,-7.655217170715332,0.2955,0.0091,-72.32734680175781
2,1,reverse_kl,1.0,-0.06737824529409409,0.0,0.3463,-0.6161892414093018
