dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
2,bc,1.0,3,-1.6338406403859456,0.0015742157544339729,0.0204,0.0009933109617167564,0.036000000000000004,0.0008640987597877127
2,forward_kl,1.0,3,-0.10831877340873082,0.0003124248029587982,0.0,0.0,0.23436666666666664,0.0009463379711052255
2,l2_constraint,0.03,3,-0.16506666938463846,0.0009968773405626314,0.0,0.0,0.1612,0.0010708252269472634
2,l2_constraint,0.05,3,-0.16437673072020212,0.0020955814832889557,0.0,0.0,0.1631,0.0009416297927883792
2,l2_constraint,0.1,3,-0.16506215433279672,0.0015742376045767932,0.0,0.0,0.15693333333333334,0.002778888666755501
2,l2_constraint,0.3,3,-0.16668002307415009,0.001457975879663796,0.0,0.0,0.15596666666666667,0.0033559234529741966
2,l2_constraint,1.0,3,-0.17025351524353027,0.003136548618838311,0.0,0.0,0.15523333333333333,0.0035863940416834025
2,partial_ot,0.03,3,-0.24172132213910422,0.026265591352536262,0.0,0.0,0.11216666666666668,0.01029476673957318
2,partial_ot,0.05,3,-0.3549221803744634,0.10245672929080858,0.0,0.0,0.08366666666666667,0.033598048885149404
2,partial_ot,0.1,3,-1.3736297686894734,0.22008157407962012,0.0,0.0,0.004033333333333333,0.0034120700787384516
2,partial_ot,0.3,3,-3.5953988234202066,0.20559347207810272,0.07526666666666666,0.0017518244457961224,0.0075,0.002785677655436824
2,partial_ot,1.0,3,-9.200640042622885,1.5811424166217452,0.3376666666666667,0.04005066236100917,0.0063,0.002141650453894535
2,reverse_kl,1.0,3,-0.0666614646712939,0.0011413058770701448,0.0,0.0,0.3512666666666666,0.004880118395649385
2,unbalanced_ot,0.03,3,-0.16466924051443735,0.0014652914884855962,0.0,0.0,0.16196666666666668,0.001357284871433488
2,unbalanced_ot,0.05,3,-0.166692316532135,0.0012074192508926766,0.0,0.0,0.16266666666666665,0.005216214037871609
2,unbalanced_ot,0.1,3,-0.16783432165781656,0.0027191013851187644,0.0,0.0,0.15880000000000002,0.0031026870075253664
2,unbalanced_ot,0.3,3,-0.17390109598636627,0.002076229072703133,0.0,0.0,0.1519,0.0033891985286593454
2,unbalanced_ot,1.0,3,-0.7683211962381998,0.02073970875532188,0.0006666666666666666,0.0001699673171197595,0.056133333333333334,0.0007542472332656527
2,wasserstein,0.03,3,-0.16612506409486136,0.0013792168940530193,0.0,0.0,0.16,0.0008164965809277268
2,wasserstein,0.05,3,-0.16723394890626272,0.0006117301040562852,0.0,0.0,0.15993333333333334,0.002075786330258706
2,wasserstein,0.1,3,-0.17407700916131338,0.002207761802201323,0.0,0.0,0.1522,0.005405552700695827
2,wasserstein,0.3,3,-0.3024185697237651,0.004220106123415403,0.0,0.0,0.10139999999999999,0.0028390139133156775
2,wasserstein,1.0,3,-1.5341837803522747,0.027079405310454916,0.015300000000000001,0.0017682382946499792,0.04006666666666667,0.0014197026292697892
4,bc,1.0,3,-1.8004384835561116,0.011401508150332721,0.021099999999999997,0.0015121728296285002,0.0123,0.0011313708498984765
4,forward_kl,1.0,3,-0.1935856988032659,0.0009641813075041052,0.0,0.0,0.12190000000000001,0.004010818702792071
4,l2_constraint,0.03,3,-0.3319467107454936,0.0014376831919418913,0.0,0.0,0.04676666666666667,0.001065624490876386
4,l2_constraint,0.05,3,-0.33512456218401593,0.0017211093839379816,0.0,0.0,0.04703333333333334,0.0006128258770283418
4,l2_constraint,0.1,3,-0.33002283175786334,0.0025502582882403714,0.0,0.0,0.04806666666666667,0.002503774927761856
4,l2_constraint,0.3,3,-0.3334582249323527,0.0024135013899986334,0.0,0.0,0.0473,0.0010198039027185563
4,l2_constraint,1.0,3,-0.3367564876874288,0.0013462729118693972,0.0,0.0,0.04816666666666666,0.0007586537784494041
4,partial_ot,0.03,3,-0.369286706050237,0.011882957748483695,0.0,0.0,0.040933333333333335,0.0033209770985191825
4,partial_ot,0.05,3,-0.4206475814183553,0.04482275875326882,0.0,0.0,0.03233333333333333,0.005292972279877872
4,partial_ot,0.1,3,-1.7568838198979695,0.22124593029195744,0.0,0.0,0.0008333333333333334,0.000771722460186015
4,partial_ot,0.3,3,-3.7077132066090903,0.2655684144275944,0.038766666666666665,0.018758523988369188,0.0011,0.0009899494936611664
4,partial_ot,1.0,3,-9.486743291219076,0.33940370321935515,0.33899999999999997,0.010454026337572843,0.001,0.00037416573867739413
4,reverse_kl,1.0,3,-0.08495195209980011,0.00047403363660157707,0.0,0.0,0.39576666666666666,0.0035197853469904825
4,unbalanced_ot,0.03,3,-0.3335600793361664,0.002407626586304938,0.0,0.0,0.04716666666666667,0.0008498365855987983
4,unbalanced_ot,0.05,3,-0.3290623227755229,0.002896979650048495,0.0,0.0,0.04803333333333334,0.0018208667044996892
4,unbalanced_ot,0.1,3,-0.3292118012905121,0.0035091746103965834,0.0,0.0,0.04953333333333334,0.0011841546445554407
4,unbalanced_ot,0.3,3,-0.3377075990041097,0.002289602478520647,0.0,0.0,0.043666666666666666,0.0007586537784494031
4,unbalanced_ot,1.0,3,-0.9288952549298605,0.012614689197874913,0.00039999999999999996,8.164965809277262e-05,0.017,0.0020461345670963744
4,wasserstein,0.03,3,-0.3339834411938985,0.0010550944453709262,0.0,0.0,0.04673333333333333,0.0008806563209081942
4,wasserstein,0.05,3,-0.3342936635017395,0.004397611736098261,0.0,0.0,0.0482,0.0018547236990991392
4,wasserstein,0.1,3,-0.34079709649086,0.002376684301278551,0.0,0.0,0.04676666666666666,0.0009285592184789419
4,wasserstein,0.3,3,-0.4636169672012329,0.0009303141306268263,0.0,0.0,0.03206666666666667,0.00033993463423951693
