dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.6351839303970337,0.019,0.0372,5.384417533874512
2,0,forward_kl,1.0,-0.2669517695903778,0.0,0.1074,0.39179325103759766
2,0,l2_constraint,0.03,-0.1667894721031189,0.0,0.1581,0.36283600330352783
2,0,l2_constraint,0.05,-0.16894438862800598,0.0,0.1608,0.8907803297042847
2,0,l2_constraint,0.1,-0.16359025239944458,0.0,0.164,1.672250509262085
2,0,l2_constraint,0.3,-0.16726969182491302,0.0,0.155,3.87454891204834
2,0,l2_constraint,1.0,-0.17196150124073029,0.0,0.157,12.492786407470703
2,0,partial_ot,0.03,-0.22643285989761353,0.0,0.1243,-0.9167211055755615
2,0,partial_ot,0.05,-0.40122687816619873,0.0,0.063,-1.707045316696167
2,0,partial_ot,0.1,-1.1641497611999512,0.0,0.0074,-3.878537654876709
2,0,partial_ot,0.3,-3.450636625289917,0.074,0.0095,-19.30183982849121
2,0,partial_ot,1.0,-11.186521530151367,0.3843,0.0063,-140.5504150390625
2,0,reverse_kl,1.0,-0.1999628096818924,0.0,0.1434,-0.34266698360443115
2,0,unbalanced_ot,0.03,-0.16531890630722046,0.0,0.1575,0.04550094157457352
2,0,unbalanced_ot,0.05,-0.1684381365776062,0.0,0.1606,0.5785214304924011
2,0,unbalanced_ot,0.1,-0.17047160863876343,0.0,0.1564,0.1397978663444519
2,0,unbalanced_ot,0.3,-0.16875199973583221,0.0,0.1533,1.6124746799468994
2,0,unbalanced_ot,1.0,-0.801711916923523,0.0003,0.0538,6.64976692199707
2,0,wasserstein,0.03,-0.16986408829689026,0.0,0.1571,0.6913930177688599
2,0,wasserstein,0.05,-0.17164048552513123,0.0,0.1496,0.6110621094703674
2,0,wasserstein,0.1,-0.17150652408599854,0.0,0.1576,1.3772625923156738
2,0,wasserstein,0.3,-0.3058024048805237,0.0,0.0944,3.5162179470062256
2,0,wasserstein,1.0,-1.565213918685913,0.0187,0.0396,10.71215534210205
2,1,bc,1.0,-1.6316314935684204,0.0212,0.0356,5.342101097106934
2,1,forward_kl,1.0,-0.27285659313201904,0.0,0.1184,-0.26166263222694397
2,1,l2_constraint,0.03,-0.16222506761550903,0.0,0.1603,0.418792724609375
2,1,l2_constraint,0.05,-0.16446232795715332,0.0,0.1574,0.9451427459716797
2,1,l2_constraint,0.1,-0.16707025468349457,0.0,0.1592,1.2263178825378418
2,1,l2_constraint,0.3,-0.1666555553674698,0.0,0.1622,4.357132434844971
2,1,l2_constraint,1.0,-0.16750109195709229,0.0,0.1554,11.671367645263672
2,1,partial_ot,0.03,-0.2419169694185257,0.0,0.1109,-0.8041350841522217
2,1,partial_ot,0.05,-0.2367687076330185,0.0,0.1171,-1.479676365852356
2,1,partial_ot,0.1,-1.2078791856765747,0.0,0.007,-5.150384902954102
2,1,partial_ot,0.3,-3.760378122329712,0.0744,0.0046,-18.369247436523438
2,1,partial_ot,1.0,-8.369490623474121,0.3186,0.0076,-70.66181945800781
2,1,reverse_kl,1.0,-0.18468330800533295,0.0,0.1601,0.4532776474952698
2,1,unbalanced_ot,0.03,-0.16550928354263306,0.0,0.1591,0.5761182308197021
2,1,unbalanced_ot,0.05,-0.16270214319229126,0.0,0.1647,0.4984789788722992
2,1,unbalanced_ot,0.1,-0.16511957347393036,0.0,0.1559,0.8127355575561523
2,1,unbalanced_ot,0.3,-0.1720985621213913,0.0,0.1539,0.9039570093154907
2,1,unbalanced_ot,1.0,-0.7608805894851685,0.0006,0.0607,6.558055877685547
2,1,wasserstein,0.03,-0.16329415142536163,0.0,0.1613,0.5032361745834351
2,1,wasserstein,0.05,-0.16961953043937683,0.0,0.1598,1.0541131496429443
2,1,wasserstein,0.1,-0.175510972738266,0.0,0.1536,1.5150527954101562
2,1,wasserstein,0.3,-0.30603164434432983,0.0,0.1008,4.001134395599365
2,1,wasserstein,1.0,-1.5273871421813965,0.016,0.0377,10.230537414550781
2,2,bc,1.0,-1.6347064971923828,0.021,0.0352,5.546313285827637
2,2,forward_kl,1.0,-0.27490898966789246,0.0,0.1036,0.4113898277282715
2,2,l2_constraint,0.03,-0.16437485814094543,0.0,0.163,0.3197047710418701
2,2,l2_constraint,0.05,-0.16518782079219818,0.0,0.1606,0.7432274222373962
2,2,l2_constraint,0.1,-0.16351374983787537,0.0,0.1637,1.1414752006530762
2,2,l2_constraint,0.3,-0.16897502541542053,0.0,0.1605,4.2019267082214355
2,2,l2_constraint,1.0,-0.17153893411159515,0.0,0.1502,13.224713325500488
2,2,partial_ot,0.03,-0.27372923493385315,0.0,0.0976,-1.0152862071990967
2,2,partial_ot,0.05,-0.42482513189315796,0.0,0.0529,-1.5658035278320312
2,2,partial_ot,0.1,-1.5923175811767578,0.0,0.0012,-4.811100006103516
2,2,partial_ot,0.3,-3.382976531982422,0.0748,0.0103,-17.674448013305664
2,2,partial_ot,1.0,-8.430268287658691,0.3238,0.0076,-80.78364562988281
2,2,reverse_kl,1.0,-0.21411782503128052,0.0,0.1436,-0.2854934334754944
2,2,unbalanced_ot,0.03,-0.1679241806268692,0.0,0.156,0.28431567549705505
2,2,unbalanced_ot,0.05,-0.1612308770418167,0.0,0.1593,0.3452393710613251
2,2,unbalanced_ot,0.1,-0.16351041197776794,0.0,0.1667,0.3941687345504761
2,2,unbalanced_ot,0.3,-0.172749862074852,0.0,0.1544,1.4064687490463257
2,2,unbalanced_ot,1.0,-0.8165428638458252,0.0008,0.0579,6.803715705871582
2,2,wasserstein,0.03,-0.16858632862567902,0.0,0.1585,0.5726803541183472
2,2,wasserstein,0.05,-0.16720694303512573,0.0,0.1601,0.6660884618759155
2,2,wasserstein,0.1,-0.17554381489753723,0.0,0.1496,1.6007499694824219
2,2,wasserstein,0.3,-0.3158213496208191,0.0,0.0963,4.105510711669922
2,2,wasserstein,1.0,-1.4836353063583374,0.0139,0.0399,11.183887481689453
4,0,bc,1.0,-1.7844176292419434,0.0197,0.0131,5.624790191650391
4,0,forward_kl,1.0,-0.3307516872882843,0.0,0.0503,-1.2467803955078125
4,0,l2_constraint,0.03,-0.33405736088752747,0.0,0.0493,0.8086951971054077
4,0,l2_constraint,0.05,-0.3336731791496277,0.0,0.0453,1.3467625379562378
