dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
2,bc,1.0,3,-1.6338406403859456,0.0015742157544339729,0.0204,0.0009933109617167564,0.036000000000000004,0.0008640987597877127
2,forward_kl,1.0,3,-0.2715724507967631,0.00337304056635335,0.0,0.0,0.10980000000000001,0.0062758797524065674
2,l2_constraint,0.03,3,-0.1644631326198578,0.001864455482502188,0.0,0.0,0.16046666666666667,0.0020038851153585577
2,l2_constraint,0.05,3,-0.16619817912578583,0.001964320906571116,0.0,0.0,0.1596,0.0015577761927397153
2,l2_constraint,0.1,3,-0.16472475230693817,0.0016588146790817112,0.0,0.0,0.16230000000000003,0.0021954498400100155
2,l2_constraint,0.3,3,-0.1676334242026011,0.000981227550153083,0.0,0.0,0.15923333333333334,0.003072819913731075
2,l2_constraint,1.0,3,-0.17033384243647257,0.00201047211760129,0.0,0.0,0.1542,0.002902872140943634
2,partial_ot,0.03,3,-0.24735968808333078,0.01968847654069627,0.0,0.0,0.11093333333333333,0.010900254839018924
2,partial_ot,0.05,3,-0.35427357256412506,0.08364514074987135,0.0,0.0,0.07766666666666666,0.028186797539904305
2,partial_ot,0.1,3,-1.321448842684428,0.19236332075976065,0.0,0.0,0.0052,0.0028331372481167705
2,partial_ot,0.3,3,-3.531330426534017,0.16429974085713517,0.0744,0.00032659863237109407,0.008133333333333333,0.0025197001585285676
2,partial_ot,1.0,3,-9.328760147094727,1.3138699830141298,0.34223333333333333,0.029821282482295902,0.007166666666666666,0.0006128258770283411
2,reverse_kl,1.0,3,-0.1995879809061686,0.012019513872477879,0.0,0.0,0.14903333333333332,0.007825741001478528
2,unbalanced_ot,0.03,3,-0.16625079015890756,0.0011858155046603907,0.0,0.0,0.15753333333333333,0.001265789169736498
2,unbalanced_ot,0.05,3,-0.16412371893723807,0.003109319936687433,0.0,0.0,0.16153333333333333,0.002301207412545769
2,unbalanced_ot,0.1,3,-0.1663671980301539,0.002975678075468142,0.0,0.0,0.15966666666666665,0.004977504952840875
2,unbalanced_ot,0.3,3,-0.17120014131069183,0.0017513986382815263,0.0,0.0,0.15386666666666668,0.0004496912521077421
2,unbalanced_ot,1.0,3,-0.7930451234181722,0.02353589002634839,0.0005666666666666667,0.00020548046676563257,0.057466666666666666,0.0028335294049804532
2,wasserstein,0.03,3,-0.1672481894493103,0.002844172986472212,0.0,0.0,0.15896666666666667,0.0017461067804945092
2,wasserstein,0.05,3,-0.16948898633321127,0.0018123384664408858,0.0,0.0,0.1565,0.004880573736764964
2,wasserstein,0.1,3,-0.17418710390726724,0.0018955035892872323,0.0,0.0,0.1536,0.0032659863237108956
2,wasserstein,0.3,3,-0.30921846628189087,0.004669881438435275,0.0,0.0,0.09716666666666667,0.0026836956277160474
2,wasserstein,1.0,3,-1.525412122408549,0.03333359691213031,0.016200000000000003,0.001964688270438851,0.039066666666666666,0.0009741092797468317
4,bc,1.0,3,-1.8004384835561116,0.011401508150332721,0.021099999999999997,0.0015121728296285002,0.0123,0.0011313708498984765
4,forward_kl,1.0,3,-0.326137512922287,0.01628703275705872,0.0,0.0,0.05656666666666666,0.006308900238727998
4,l2_constraint,0.03,3,-0.3306821087996165,0.0023881723415284596,0.0,0.0,0.04823333333333333,0.00172497987105808
4,l2_constraint,0.05,3,-0.33218244711558026,0.0010573143383952866,0.0,0.0,0.049166666666666664,0.0028534579412043595
4,l2_constraint,0.1,3,-0.3304040729999542,0.001377457027148817,0.0,0.0,0.04636666666666667,0.0021139746660943878
4,l2_constraint,0.3,3,-0.3351166745026906,0.002603866061052624,0.0,0.0,0.04736666666666667,0.0013274871834493254
4,l2_constraint,1.0,3,-0.3362393081188202,0.0026600133980727745,0.0,0.0,0.04956666666666667,0.00277648858972784
4,partial_ot,0.03,3,-0.3707211911678314,0.013500133993832774,0.0,0.0,0.0395,0.005232590180780453
4,partial_ot,0.05,3,-0.42938090364138287,0.04366197489518831,0.0,0.0,0.02946666666666667,0.005193799722318484
4,partial_ot,0.1,3,-1.7141335010528564,0.23021770571025751,0.0,0.0,0.0006666666666666666,0.0005436502143433363
4,partial_ot,0.3,3,-3.670029878616333,0.24486350222248204,0.037233333333333334,0.015591949489685019,0.0010333333333333334,0.0009104333522498442
4,partial_ot,1.0,3,-9.43611971537272,0.3330022048679185,0.3379666666666667,0.009098473620460864,0.0014,0.000565685424949238
4,reverse_kl,1.0,3,-0.2822912832101186,0.032257002215623054,0.0,0.0,0.0776,0.01687917849501766
4,unbalanced_ot,0.03,3,-0.332381139198939,0.0021565599000736954,0.0,0.0,0.04803333333333334,0.0007039570693980956
4,unbalanced_ot,0.05,3,-0.3310781220595042,0.0012255026949677113,0.0,0.0,0.04773333333333333,0.0014007934259633772
4,unbalanced_ot,0.1,3,-0.33139359951019287,0.0022062549378931173,0.0,0.0,0.046533333333333336,0.0007363574011458159
4,unbalanced_ot,0.3,3,-0.33680718143781024,0.0007863534833491289,0.0,0.0,0.0472,0.0007788880963698609
4,unbalanced_ot,1.0,3,-0.9274644255638123,0.01803597033575801,0.0005,0.0001414213562373095,0.017533333333333335,0.0005734883511361759
4,wasserstein,0.03,3,-0.3346185584863027,0.0030389881295427392,0.0,0.0,0.0464,0.003475629439396555
4,wasserstein,0.05,3,-0.3334699670473735,0.0012663788301544075,0.0,0.0,0.04726666666666667,0.0016357125528513748
4,wasserstein,0.1,3,-0.3405708173910777,0.001454578050793781,0.0,0.0,0.044199999999999996,0.001498888477061141
4,wasserstein,0.3,3,-0.4652637441953023,0.007818544564248913,0.0,0.0,0.02953333333333334,0.0008339997335464544
4,wasserstein,1.0,3,-1.7201457023620605,0.009073517537834749,0.016466666666666668,0.00044969125210773475,0.012333333333333333,0.0006944222218666554
8,bc,1.0,3,-2.1131609280904136,0.019967508522217643,0.020666666666666667,0.002946561084081276,0.0017333333333333333,0.000262466929133727
8,forward_kl,1.0,3,-0.5436334411303202,0.015698897955717606,0.0,0.0,0.011966666666666667,0.00135236418500672
8,l2_constraint,0.03,3,-0.6593923171361288,0.003986146515616949,0.0,0.0,0.006166666666666667,0.0004784233364802443
8,l2_constraint,0.05,3,-0.6612370014190674,0.004842240042440303,0.0,0.0,0.005966666666666666,0.0005734883511361752
8,l2_constraint,0.1,3,-0.6592699885368347,0.0005622507015754462,0.0,0.0,0.004899999999999999,0.00021602468994692857
8,l2_constraint,0.3,3,-0.6633045872052511,0.0036259000797729942,0.0,0.0,0.0061333333333333335,0.0007586537784494026
8,l2_constraint,1.0,3,-0.6658134659131368,0.0033840597390876483,0.0,0.0,0.0062,0.0006683312551921144
8,partial_ot,0.03,3,-0.69917893409729,0.010028478346937993,0.0,0.0,0.004633333333333333,0.00036817870057290897
8,partial_ot,0.05,3,-0.9317809144655863,0.1283295935493944,0.0,0.0,0.0019333333333333331,0.0008498365855987974
8,partial_ot,0.1,3,-1.301757534344991,0.11909526681442277,0.0,0.0,0.0007,0.00035590260840104364
8,partial_ot,0.3,3,-3.11049214998881,0.2112355963277019,0.010166666666666666,0.004999555535800713,0.00016666666666666666,0.0001247219128924647
8,partial_ot,1.0,3,-7.814395745595296,1.008614217129055,0.2738333333333333,0.03126471209242494,0.0,0.0
8,reverse_kl,1.0,3,-0.3914898633956909,0.02686308961841632,0.0,0.0,0.042,0.012395429265122958
8,unbalanced_ot,0.03,3,-0.6615636348724365,0.0010675028483863624,0.0,0.0,0.006966666666666666,0.00044969125210773465
8,unbalanced_ot,0.05,3,-0.6613293091456095,0.0027782867272557158,0.0,0.0,0.004966666666666667,0.0004496912521077345
8,unbalanced_ot,0.1,3,-0.6582422256469727,0.002485363101990655,0.0,0.0,0.0056,0.00014142135623730948
8,unbalanced_ot,0.3,3,-0.6644058624903361,0.004040194984317748,0.0,0.0,0.0048333333333333344,0.00030912061651652346
8,unbalanced_ot,1.0,3,-1.256170630455017,0.011293004203743526,0.0003333333333333333,9.428090415820634e-05,0.002166666666666667,0.00033993463423951905
8,wasserstein,0.03,3,-0.6652488708496094,0.002019960207189193,0.0,0.0,0.006233333333333334,0.0007542472332656506
