dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-1.6351839303970337,0.019,0.0372,5.384417533874512
2,0,forward_kl,1.0,-0.34778258204460144,0.0,0.0817,0.4380352199077606
2,0,l2_constraint,0.03,-0.16281092166900635,0.0,0.1602,0.9952468276023865
2,0,l2_constraint,0.05,-0.1660238355398178,0.0,0.1642,0.7221580743789673
2,0,l2_constraint,0.1,-0.16250228881835938,0.0,0.1613,1.5104076862335205
2,0,l2_constraint,0.3,-0.1641281694173813,0.0,0.1569,4.737263202667236
2,0,l2_constraint,1.0,-0.1711440235376358,0.0,0.1623,13.137320518493652
2,0,partial_ot,0.03,-0.2092747986316681,0.0,0.1279,-0.5055363774299622
2,0,partial_ot,0.05,-0.4601883888244629,0.0,0.0494,-1.6116276979446411
2,0,partial_ot,0.1,-1.0741652250289917,0.0,0.0106,-4.0854291915893555
2,0,partial_ot,0.3,-3.315722703933716,0.0731,0.0124,-20.103609085083008
2,0,partial_ot,1.0,-11.083441734313965,0.3781,0.0045,-122.98014831542969
2,0,reverse_kl,1.0,-0.3852916955947876,0.0,0.0816,0.161808043718338
2,0,unbalanced_ot,0.03,-0.1647079437971115,0.0,0.1574,0.7088260054588318
2,0,unbalanced_ot,0.05,-0.16439470648765564,0.0,0.1582,0.9403247833251953
2,0,unbalanced_ot,0.1,-0.16341987252235413,0.0,0.161,0.762783408164978
2,0,unbalanced_ot,0.3,-0.1738584041595459,0.0,0.1474,1.8715190887451172
2,0,unbalanced_ot,1.0,-0.7601172924041748,0.0006,0.0558,7.3722710609436035
2,0,wasserstein,0.03,-0.1683213859796524,0.0,0.1564,0.21323058009147644
2,0,wasserstein,0.05,-0.1722964346408844,0.0,0.1559,2.049081325531006
2,0,wasserstein,0.1,-0.17253507673740387,0.0,0.1497,1.4383230209350586
2,0,wasserstein,0.3,-0.3055030107498169,0.0,0.096,3.3177683353424072
2,0,wasserstein,1.0,-1.5745171308517456,0.0166,0.0408,10.681005477905273
2,1,bc,1.0,-1.6316314935684204,0.0212,0.0356,5.342101097106934
2,1,forward_kl,1.0,-0.4050596058368683,0.0,0.0754,2.3291220664978027
2,1,l2_constraint,0.03,-0.16705963015556335,0.0,0.158,1.3385378122329712
2,1,l2_constraint,0.05,-0.16724814474582672,0.0,0.1578,0.8814976811408997
2,1,l2_constraint,0.1,-0.1664794683456421,0.0,0.1588,2.1929712295532227
2,1,l2_constraint,0.3,-0.1646251678466797,0.0,0.1613,4.06326961517334
2,1,l2_constraint,1.0,-0.16673129796981812,0.0,0.1609,11.87979507446289
2,1,partial_ot,0.03,-0.23769208788871765,0.0,0.1098,-1.572939395904541
2,1,partial_ot,0.05,-0.25407958030700684,0.0,0.1143,-0.6362111568450928
2,1,partial_ot,0.1,-1.3366246223449707,0.0,0.0028,-5.011582374572754
2,1,partial_ot,0.3,-3.8590354919433594,0.0771,0.0054,-19.14699935913086
2,1,partial_ot,1.0,-8.292475700378418,0.3189,0.0075,-75.81262969970703
2,1,reverse_kl,1.0,-0.38158631324768066,0.0,0.0882,0.05464666709303856
2,1,unbalanced_ot,0.03,-0.16713562607765198,0.0,0.16,0.14805160462856293
2,1,unbalanced_ot,0.05,-0.16863732039928436,0.0,0.1555,0.6698403358459473
2,1,unbalanced_ot,0.1,-0.16672486066818237,0.0,0.1641,0.8145476579666138
2,1,unbalanced_ot,0.3,-0.1728644073009491,0.0,0.1541,1.5393146276474
2,1,unbalanced_ot,1.0,-0.7597478628158569,0.0005,0.0603,5.7522993087768555
2,1,wasserstein,0.03,-0.1697799563407898,0.0,0.1602,0.5530546307563782
2,1,wasserstein,0.05,-0.16671054065227509,0.0,0.1543,1.646183967590332
2,1,wasserstein,0.1,-0.17397524416446686,0.0,0.1557,0.9169481992721558
2,1,wasserstein,0.3,-0.3149425983428955,0.0,0.0991,4.251595497131348
2,1,wasserstein,1.0,-1.5591920614242554,0.0179,0.0358,10.00765323638916
2,2,bc,1.0,-1.6347064971923828,0.021,0.0352,5.546313285827637
2,2,forward_kl,1.0,-0.4249056279659271,0.0,0.0762,0.1396743655204773
2,2,l2_constraint,0.03,-0.16321305930614471,0.0,0.1633,0.2809200584888458
2,2,l2_constraint,0.05,-0.16715417802333832,0.0,0.1568,1.6452622413635254
2,2,l2_constraint,0.1,-0.16696210205554962,0.0,0.1662,1.0330249071121216
