dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-0.724906861782074,0.0,0.0413,19.15279769897461
2,0,forward_kl,1.0,-0.6679455637931824,0.0,0.0384,0.7801811099052429
2,0,reverse_kl,1.0,-0.6756548881530762,0.0,0.0418,1.0359247922897339
2,0,wasserstein,0.03,-0.6744285225868225,0.0,0.0414,1.017214298248291
2,0,unbalanced_ot,0.03,-0.6785753965377808,0.0,0.0418,1.064496397972107
2,0,wasserstein,0.05,-0.6815488934516907,0.0,0.0428,0.9558960199356079
2,0,unbalanced_ot,0.05,-0.6664780974388123,0.0,0.0431,1.15425443649292
2,0,wasserstein,0.1,-0.669718861579895,0.0,0.0406,1.5215948820114136
2,0,unbalanced_ot,0.1,-0.6837831735610962,0.0,0.0398,1.1783647537231445
2,0,wasserstein,0.3,-0.6847875118255615,0.0,0.0412,3.9045493602752686
2,0,unbalanced_ot,0.3,-0.6686490774154663,0.0,0.0447,1.948962688446045
2,0,wasserstein,1.0,-0.7240342497825623,0.0,0.0472,12.461523056030273
2,0,unbalanced_ot,1.0,-0.711692750453949,0.0,0.0388,5.715543270111084
2,0,partial_ot,0.03,-0.6634764671325684,0.0,0.0399,0.887421727180481
2,0,partial_ot,0.05,-0.676037073135376,0.0,0.0471,0.5217819809913635
2,0,partial_ot,0.1,-0.6692740321159363,0.0,0.0413,0.41591835021972656
2,0,partial_ot,0.3,-0.6660720705986023,0.0,0.0383,0.07797448337078094
2,0,partial_ot,1.0,-0.6859004497528076,0.0,0.0395,-0.12108278274536133
2,0,l2_constraint,0.03,-0.6756765842437744,0.0,0.0416,0.8790439367294312
2,0,l2_constraint,0.05,-0.6686947345733643,0.0,0.0425,1.4733681678771973
2,0,l2_constraint,0.1,-0.6621000170707703,0.0,0.045,2.187058687210083
2,0,l2_constraint,0.3,-0.6838796734809875,0.0,0.0414,4.794873237609863
2,0,l2_constraint,1.0,-0.6665583252906799,0.0,0.0405,18.09716033935547
