dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
2,bc,1.0,1,-0.724906861782074,0.0,0.0,0.0,0.0413,0.0
2,forward_kl,1.0,1,-0.6679455637931824,0.0,0.0,0.0,0.0384,0.0
2,l2_constraint,0.03,1,-0.6756765842437744,0.0,0.0,0.0,0.0416,0.0
2,l2_constraint,0.05,1,-0.6686947345733643,0.0,0.0,0.0,0.0425,0.0
2,l2_constraint,0.1,1,-0.6621000170707703,0.0,0.0,0.0,0.045,0.0
2,l2_constraint,0.3,1,-0.6838796734809875,0.0,0.0,0.0,0.0414,0.0
2,l2_constraint,1.0,1,-0.6665583252906799,0.0,0.0,0.0,0.0405,0.0
2,partial_ot,0.03,1,-0.6634764671325684,0.0,0.0,0.0,0.0399,0.0
2,partial_ot,0.05,1,-0.676037073135376,0.0,0.0,0.0,0.0471,0.0
2,partial_ot,0.1,1,-0.6692740321159363,0.0,0.0,0.0,0.0413,0.0
2,partial_ot,0.3,1,-0.6660720705986023,0.0,0.0,0.0,0.0383,0.0
2,partial_ot,1.0,1,-0.6859004497528076,0.0,0.0,0.0,0.0395,0.0
2,reverse_kl,1.0,1,-0.6756548881530762,0.0,0.0,0.0,0.0418,0.0
2,unbalanced_ot,0.03,1,-0.6785753965377808,0.0,0.0,0.0,0.0418,0.0
2,unbalanced_ot,0.05,1,-0.6664780974388123,0.0,0.0,0.0,0.0431,0.0
2,unbalanced_ot,0.1,1,-0.6837831735610962,0.0,0.0,0.0,0.0398,0.0
2,unbalanced_ot,0.3,1,-0.6686490774154663,0.0,0.0,0.0,0.0447,0.0
2,unbalanced_ot,1.0,1,-0.711692750453949,0.0,0.0,0.0,0.0388,0.0
2,wasserstein,0.03,1,-0.6744285225868225,0.0,0.0,0.0,0.0414,0.0
2,wasserstein,0.05,1,-0.6815488934516907,0.0,0.0,0.0,0.0428,0.0
2,wasserstein,0.1,1,-0.669718861579895,0.0,0.0,0.0,0.0406,0.0
2,wasserstein,0.3,1,-0.6847875118255615,0.0,0.0,0.0,0.0412,0.0
2,wasserstein,1.0,1,-0.7240342497825623,0.0,0.0,0.0,0.0472,0.0
