dim,seed,method,lambda,mean_reward,bad_mass,good_recall,final_loss
2,0,bc,1.0,-0.724906861782074,0.0,0.0413,19.15279769897461
2,0,forward_kl,1.0,-0.6900026202201843,0.0,0.0371,0.7806382179260254
2,0,reverse_kl,1.0,-0.7038761973381042,0.0,0.0404,0.7901705503463745
2,0,wasserstein,0.03,-0.6756291389465332,0.0,0.0413,0.8822124004364014
2,0,unbalanced_ot,0.03,-0.6736149191856384,0.0,0.0416,1.5829198360443115
2,0,wasserstein,0.05,-0.6795515418052673,0.0,0.0432,1.1600031852722168
2,0,unbalanced_ot,0.05,-0.6674389839172363,0.0,0.0421,0.7525114417076111
2,0,wasserstein,0.1,-0.6696814298629761,0.0,0.0417,2.3457939624786377
2,0,unbalanced_ot,0.1,-0.6787940859794617,0.0,0.0405,1.4703563451766968
2,0,wasserstein,0.3,-0.6841095089912415,0.0,0.0419,3.262756109237671
2,0,unbalanced_ot,0.3,-0.667571485042572,0.0,0.0458,2.5557680130004883
2,0,wasserstein,1.0,-0.7234120965003967,0.0,0.0464,12.811383247375488
2,0,unbalanced_ot,1.0,-0.713757336139679,0.0,0.0405,4.753170013427734
2,0,partial_ot,0.03,-0.6607242226600647,0.0,0.0404,0.6658568382263184
2,0,partial_ot,0.05,-0.6809134483337402,0.0,0.0439,0.0672687292098999
2,0,partial_ot,0.1,-0.6732177734375,0.0,0.04,1.0015578269958496
2,0,partial_ot,0.3,-0.6659408211708069,0.0,0.0373,0.15449611842632294
2,0,partial_ot,1.0,-0.6832219362258911,0.0,0.0404,0.060866475105285645
2,0,l2_constraint,0.03,-0.6762028336524963,0.0,0.0413,1.4167972803115845
2,0,l2_constraint,0.05,-0.6746447086334229,0.0,0.0423,0.7606933116912842
2,0,l2_constraint,0.1,-0.6601731181144714,0.0,0.0448,1.9721829891204834
2,0,l2_constraint,0.3,-0.6828814744949341,0.0,0.0414,4.7887492179870605
2,0,l2_constraint,1.0,-0.6658841967582703,0.0,0.0398,17.057571411132812
