dim,method,lambda,n_seeds,mean_reward_mean,mean_reward_std,bad_mass_mean,bad_mass_std,good_recall_mean,good_recall_std
2,bc,1.0,1,-0.724906861782074,0.0,0.0,0.0,0.0413,0.0
2,forward_kl,1.0,1,-0.6900026202201843,0.0,0.0,0.0,0.0371,0.0
2,l2_constraint,0.03,1,-0.6762028336524963,0.0,0.0,0.0,0.0413,0.0
2,l2_constraint,0.05,1,-0.6746447086334229,0.0,0.0,0.0,0.0423,0.0
2,l2_constraint,0.1,1,-0.6601731181144714,0.0,0.0,0.0,0.0448,0.0
2,l2_constraint,0.3,1,-0.6828814744949341,0.0,0.0,0.0,0.0414,0.0
2,l2_constraint,1.0,1,-0.6658841967582703,0.0,0.0,0.0,0.0398,0.0
2,partial_ot,0.03,1,-0.6607242226600647,0.0,0.0,0.0,0.0404,0.0
2,partial_ot,0.05,1,-0.6809134483337402,0.0,0.0,0.0,0.0439,0.0
2,partial_ot,0.1,1,-0.6732177734375,0.0,0.0,0.0,0.04,0.0
2,partial_ot,0.3,1,-0.6659408211708069,0.0,0.0,0.0,0.0373,0.0
2,partial_ot,1.0,1,-0.6832219362258911,0.0,0.0,0.0,0.0404,0.0
2,reverse_kl,1.0,1,-0.7038761973381042,0.0,0.0,0.0,0.0404,0.0
2,unbalanced_ot,0.03,1,-0.6736149191856384,0.0,0.0,0.0,0.0416,0.0
2,unbalanced_ot,0.05,1,-0.6674389839172363,0.0,0.0,0.0,0.0421,0.0
2,unbalanced_ot,0.1,1,-0.6787940859794617,0.0,0.0,0.0,0.0405,0.0
2,unbalanced_ot,0.3,1,-0.667571485042572,0.0,0.0,0.0,0.0458,0.0
2,unbalanced_ot,1.0,1,-0.713757336139679,0.0,0.0,0.0,0.0405,0.0
2,wasserstein,0.03,1,-0.6756291389465332,0.0,0.0,0.0,0.0413,0.0
2,wasserstein,0.05,1,-0.6795515418052673,0.0,0.0,0.0,0.0432,0.0
2,wasserstein,0.1,1,-0.6696814298629761,0.0,0.0,0.0,0.0417,0.0
2,wasserstein,0.3,1,-0.6841095089912415,0.0,0.0,0.0,0.0419,0.0
2,wasserstein,1.0,1,-0.7234120965003967,0.0,0.0,0.0,0.0464,0.0
